inv_id,dd,mm,yyyy,collection_origin,capture_mode,capture_region,capture_locality,collector,order,family,genus,species,caste,identifier,identification_year,specimen_state,device.1,n_photos_P,n_photos_S
ARLY_0001,19.0,5.0,2007.0,Arthropologia Lyon,net,Auvergne-Rhônes Alpes,Boussuivre,H.MOURET,Hymenoptera,Apidae,Bombus,rupestris,fondatrice,Gilles MAHÉ,2007.0,pinned,Canon EOS 70D - 40mm,5,5
ARLY_0004,30.0,4.0,2014.0,Arthropologia Lyon,net,Auvergne-Rhônes Alpes,,H.MOURET,Hymenoptera,Apidae,Bombus,rupestris,fondatrice,Gilles MAHÉ,2014.0,pinned,Canon EOS 70D - 40mm,5,5
ARLY_0005,13.0,5.0,2014.0,Arthropologia Lyon,net,Auvergne-Rhônes Alpes,Saint-Pierre-la-Palud,H.MOURET,Hymenoptera,Apidae,Bombus,rupestris,fondatrice,Gilles MAHÉ,2011.0,pinned,Canon EOS 70D - 40mm,5,5
ARLY_0006,15.0,9.0,2019.0,Arthropologia Lyon,net,Auvergne-Rhônes Alpes,Chalet des 2 ours,Frederic VYGHEN,Hymenoptera,Apidae,Bombus,rupestris,drone,Frederic VYGHEN,2019.0,pinned,Canon EOS 70D - 40mm,3,3
ARLY_0007,15.0,9.0,2019.0,Arthropologia Lyon,net,Auvergen-Rhône Alpes,Chalet des 2 ours,Frederic VYGHEN,Hymenoptera,Apidae,Bombus,rupestris,drone,Frederic VYGHEN,2019.0,pinned,Canon EOS 70D - 40mm,3,3
ARLY_0008,15.0,9.0,2019.0,Arthropologia Lyon,net,Auvergne-Rhônes Alpes,Chalet des 2 ours,Frederic VYGHEN,Hymenoptera,Apidae,Bombus,rupestris,drone,Frederic VYGHEN,2019.0,pinned,Canon EOS 70D - 40mm,3,3
ARLY_0009,15.0,9.0,2019.0,Arthropologia Lyon,net,Auvergne-Rhônes Alpes,Chalet des 2 ours,Frederic VYGHEN,Hymenoptera,Apidae,Bombus,rupestris,drone,Frederic VYGHEN,2019.0,pinned,Canon EOS 70D - 40mm,3,3
ARLY_0010,15.0,9.0,2019.0,Arthropologia Lyon,net,Auvergne-Rhônes Alpes,Chalet des 2 ours,Frederic VYGHEN,Hymenoptera,Apidae,Bombus,rupestris,drone,Frederic VYGHEN,2019.0,pinned,Smartphone Samsung s10,3,3
ARLY_0011,15.0,9.0,2019.0,Arthropologia Lyon,net,Auvergne-Rhônes Alpes,Chalet de la Marine,Frederic VYGHEN,Hymenoptera,Apidae,Bombus,rupestris,drone,Frederic VYGHEN,2019.0,pinned,Canon EOS 70D - 40mm,3,3
ARLY_0012,15.0,9.0,2019.0,Arthropologia Lyon,net,Auvergne-Rhônes Alpes,Chalet de la Marine,Frederic VYGHEN,Hymenoptera,Apidae,Bombus,rupestris,drone,Frederic VYGHEN,2019.0,pinned,Canon EOS 70D - 40mm,3,3
ARLY_0013,15.0,9.0,2019.0,Arthropologia Lyon,net,Auvergne-Rhônes Alpes,Chalet des 2 ours,Frederic VYGHEN,Hymenoptera,Apidae,Bombus,rupestris,drone,Frederic VYGHEN,2019.0,pinned,Canon EOS 70D - 40mm,3,3
ARLY_0014,15.0,9.0,2019.0,Arthropologia Lyon,net,Auvergne-Rhônes Alpes,Chalet de la Marine,Frederic VYGHEN,Hymenoptera,Apidae,Bombus,rupestris,drone,Frederic VYGHEN,2019.0,pinned,Canon EOS 70D - 40mm,3,3
ARLY_0015,15.0,9.0,2019.0,Arthropologia Lyon,net,Auvergne-Rhônes Alpes,Chalet de la Marine,Frederic VYGHEN,Hymenoptera,Apidae,Bombus,rupestris,drone,Frederic VYGHEN,2019.0,pinned,Smartphone Samsung s10,3,3
ARLY_0016,20.0,3.0,2021.0,Arthropologia Lyon,net,Auvergne-Rhônes Alpes,,,Hymenoptera,Apidae,Bombus,rupestris,fondatrice,Yvan BRUGEROLLES,2021.0,pinned,Canon EOS 70D - 40mm,5,5
ARLY_0028,,,2020.0,Arthropologia Lyon,net,Auvergne-Rhônes Alpes,,,Hymenoptera,Apidae,Bombus,rupestris,drone,Frederic VYGHEN,2020.0,pinned,Smartphone Samsung s10,3,3
ARLY_0029,,,2020.0,Arthropologia Lyon,net,Auvergne-Rhônes Alpes,,,Hymenoptera,Apidae,Bombus,rupestris,drone,Frederic VYGHEN,2020.0,pinned,Canon EOS 70D - 40mm,3,3
ARLY_0036,,,2020.0,Arthropologia Lyon,net,Auvergne-Rhônes Alpes,,,Hymenoptera,Apidae,Bombus,rupestris,drone,Frederic VYGHEN,,pinned,Smartphone Samsung s10,3,3
ARLY_0037,,,2020.0,Arthropologia Lyon,net,Auvergne-Rhônes Alpes,Col du Granier,,Hymenoptera,Apidae,Bombus,rupestris,drone,Frederic VYGHEN,2020.0,pinned,Smartphone Samsung s10,3,3
ARLY_0038,,,,Arthropologia Lyon,net,Auvergne-Rhônes Alpes,,,Hymenoptera,Apidae,Bombus,rupestris,fondatrice,Yvan BRUGEROLLES,2022.0,pinned,Canon EOS 70D - 40mm,5,0
ARLY_0049,,,2021.0,Arthropologia Lyon,net,Auvergne-Rhônes Alpes,,,Hymenoptera,Apidae,Bombus,lucorum,drone,Yvan BRUGEROLLES,2021.0,pinned,Smartphone Samsung s10,2,3
ARLY_0050,,,2021.0,Arthropologia Lyon,net,Auvergne-Rhônes Alpes,,,Hymenoptera,Apidae,Bombus,rupestris,fondatrice,Frederic VYGHEN,2021.0,pinned,Canon EOS 70D - 40mm,3,3
ARLY_0054,,,2021.0,Arthropologia Lyon,net,Auvergne-Rhônes Alpes,,Frederic VYGHEN,Hymenoptera,Apidae,Bombus,rupestris,fondatrice,Frederic VYGHEN,2021.0,pinned,Canon EOS 70D - 40mm,5,5
ARLY_0055,,,2021.0,Arthropologia Lyon,net,Auvergne-Rhônes Alpes,,Frederic VYGHEN,Hymenoptera,Apidae,Bombus,rupestris,fondatrice,Yvan BRUGEROLLES,2021.0,pinned,Canon EOS 70D - 40mm,5,6
ARLY_PRAT_0001,5.0,6.0,2007.0,Arthropologia Lyon (stock pratorum),net,Auvergne-Rhônes Alpes,Marcy l'etoile,H.Mouret,Hymenoptera,Apidae,Bombus,pratorum,drone,Frederic VYGHEN,,pinned,Smartphone Samsung s10,2,3
ARLY_PRAT_0002,11.0,6.0,2021.0,Arthropologia Lyon (stock pratorum),net,Auvergne-Rhônes Alpes,,,Hymenoptera,Apidae,Bombus,monticola,worker,Yvan BRUGEROLLES,2023.0,pinned,Smartphone Samsung s10,2,3
