id,tps_id,inv_id,species,caste,device,device_tag
1,1,ARLY_0001,rupestris,fondatrice,Canon EOS 70D - 40mm,S3
2,2,ARLY_0004,rupestris,fondatrice,Canon EOS 70D - 40mm,S3
3,3,ARLY_0004,rupestris,fondatrice,Canon EOS 70D - 40mm,S4
4,4,ARLY_0005,rupestris,fondatrice,Canon EOS 70D - 40mm,P1
5,5,ARLY_0005,rupestris,fondatrice,Canon EOS 70D - 40mm,P2
6,6,ARLY_0005,rupestris,fondatrice,Canon EOS 70D - 40mm,S2
7,7,ARLY_0006,rupestris,drone,Canon EOS 70D - 40mm,P1
8,8,ARLY_0006,rupestris,drone,Canon EOS 70D - 40mm,P2
9,9,ARLY_0006,rupestris,drone,Canon EOS 70D - 40mm,P3
10,10,ARLY_0006,rupestris,drone,Canon EOS 70D - 40mm,S1
11,11,ARLY_0006,rupestris,drone,Canon EOS 70D - 40mm,S2
12,12,ARLY_0006,rupestris,drone,Canon EOS 70D - 40mm,S3
13,13,ARLY_0007,rupestris,drone,Canon EOS 70D - 40mm,P1
14,14,ARLY_0007,rupestris,drone,Canon EOS 70D - 40mm,P2
15,15,ARLY_0007,rupestris,drone,Canon EOS 70D - 40mm,P3
16,16,ARLY_0007,rupestris,drone,Canon EOS 70D - 40mm,S1
17,17,ARLY_0007,rupestris,drone,Canon EOS 70D - 40mm,S2
18,18,ARLY_0008,rupestris,drone,Canon EOS 70D - 40mm,P1
19,19,ARLY_0008,rupestris,drone,Canon EOS 70D - 40mm,P2
20,20,ARLY_0008,rupestris,drone,Canon EOS 70D - 40mm,P3
21,21,ARLY_0008,rupestris,drone,Canon EOS 70D - 40mm,S1
22,22,ARLY_0008,rupestris,drone,Canon EOS 70D - 40mm,S2
23,23,ARLY_0008,rupestris,drone,Canon EOS 70D - 40mm,S3
24,24,ARLY_0009,rupestris,drone,Canon EOS 70D - 40mm,P1
25,25,ARLY_0009,rupestris,drone,Canon EOS 70D - 40mm,P2
26,26,ARLY_0009,rupestris,drone,Canon EOS 70D - 40mm,P3
27,27,ARLY_0009,rupestris,drone,Canon EOS 70D - 40mm,S1
28,28,ARLY_0009,rupestris,drone,Canon EOS 70D - 40mm,S2
29,29,ARLY_0009,rupestris,drone,Canon EOS 70D - 40mm,S3
30,30,ARLY_0010,rupestris,drone,Smartphone Samsung s10,P1
31,31,ARLY_0010,rupestris,drone,Smartphone Samsung s10,P2
32,32,ARLY_0010,rupestris,drone,Smartphone Samsung s10,P3
33,33,ARLY_0010,rupestris,drone,Smartphone Samsung s10,S1
34,34,ARLY_0010,rupestris,drone,Smartphone Samsung s10,S2
35,35,ARLY_0010,rupestris,drone,Smartphone Samsung s10,S3
36,36,ARLY_0011,rupestris,drone,Canon EOS 70D - 40mm,P1
37,37,ARLY_0011,rupestris,drone,Canon EOS 70D - 40mm,P2
38,38,ARLY_0011,rupestris,drone,Canon EOS 70D - 40mm,P3
39,39,ARLY_0011,rupestris,drone,Canon EOS 70D - 40mm,S1
40,40,ARLY_0011,rupestris,drone,Canon EOS 70D - 40mm,S2
41,41,ARLY_0011,rupestris,drone,Canon EOS 70D - 40mm,S3
42,42,ARLY_0012,rupestris,drone,Canon EOS 70D - 40mm,P1
43,43,ARLY_0012,rupestris,drone,Canon EOS 70D - 40mm,P2
44,44,ARLY_0012,rupestris,drone,Canon EOS 70D - 40mm,P3
45,45,ARLY_0012,rupestris,drone,Canon EOS 70D - 40mm,S1
46,46,ARLY_0012,rupestris,drone,Canon EOS 70D - 40mm,S2
47,47,ARLY_0012,rupestris,drone,Canon EOS 70D - 40mm,S3
48,48,ARLY_0013,rupestris,drone,Canon EOS 70D - 40mm,P1
49,49,ARLY_0013,rupestris,drone,Canon EOS 70D - 40mm,P2
50,50,ARLY_0013,rupestris,drone,Canon EOS 70D - 40mm,P3
51,51,ARLY_0013,rupestris,drone,Canon EOS 70D - 40mm,S1
52,52,ARLY_0013,rupestris,drone,Canon EOS 70D - 40mm,S3
53,53,ARLY_0014,rupestris,drone,Canon EOS 70D - 40mm,P1
54,54,ARLY_0014,rupestris,drone,Canon EOS 70D - 40mm,P2
55,55,ARLY_0014,rupestris,drone,Canon EOS 70D - 40mm,P3
56,56,ARLY_0014,rupestris,drone,Canon EOS 70D - 40mm,S1
57,57,ARLY_0014,rupestris,drone,Canon EOS 70D - 40mm,S2
58,58,ARLY_0014,rupestris,drone,Canon EOS 70D - 40mm,S3
59,59,ARLY_0015,rupestris,drone,Smartphone Samsung s10,P1
60,60,ARLY_0015,rupestris,drone,Smartphone Samsung s10,P2
61,61,ARLY_0015,rupestris,drone,Smartphone Samsung s10,P3
62,62,ARLY_0015,rupestris,drone,Smartphone Samsung s10,S1
63,63,ARLY_0015,rupestris,drone,Smartphone Samsung s10,S2
64,64,ARLY_0015,rupestris,drone,Smartphone Samsung s10,S3
65,65,ARLY_0028,rupestris,drone,Smartphone Samsung s10,P1
66,66,ARLY_0028,rupestris,drone,Smartphone Samsung s10,P2
67,67,ARLY_0028,rupestris,drone,Smartphone Samsung s10,P3
68,68,ARLY_0028,rupestris,drone,Smartphone Samsung s10,S1
69,69,ARLY_0028,rupestris,drone,Smartphone Samsung s10,S2
70,70,ARLY_0028,rupestris,drone,Smartphone Samsung s10,S3
71,71,ARLY_0029,rupestris,drone,Canon EOS 70D - 40mm,P1
72,72,ARLY_0029,rupestris,drone,Canon EOS 70D - 40mm,P2
73,73,ARLY_0029,rupestris,drone,Canon EOS 70D - 40mm,P3
74,74,ARLY_0029,rupestris,drone,Canon EOS 70D - 40mm,S1
75,75,ARLY_0029,rupestris,drone,Canon EOS 70D - 40mm,S2
76,76,ARLY_0029,rupestris,drone,Canon EOS 70D - 40mm,S3
77,77,ARLY_0036,rupestris,drone,Smartphone Samsung s10,P1
78,78,ARLY_0036,rupestris,drone,Smartphone Samsung s10,P2
79,79,ARLY_0036,rupestris,drone,Smartphone Samsung s10,P3
80,80,ARLY_0036,rupestris,drone,Smartphone Samsung s10,S1
81,81,ARLY_0036,rupestris,drone,Smartphone Samsung s10,S2
82,82,ARLY_0036,rupestris,drone,Smartphone Samsung s10,S3
83,83,ARLY_0037,rupestris,drone,Smartphone Samsung s10,P1
84,84,ARLY_0037,rupestris,drone,Smartphone Samsung s10,P2
85,85,ARLY_0037,rupestris,drone,Smartphone Samsung s10,P3
86,86,ARLY_0037,rupestris,drone,Smartphone Samsung s10,S1
87,87,ARLY_0037,rupestris,drone,Smartphone Samsung s10,S2
88,88,ARLY_0037,rupestris,drone,Smartphone Samsung s10,S3
89,89,ARLY_0049,lucorum,drone,Smartphone Samsung s10,P1
90,90,ARLY_0049,lucorum,drone,Smartphone Samsung s10,P2
91,91,ARLY_0049,lucorum,drone,Smartphone Samsung s10,S1
92,92,ARLY_0049,lucorum,drone,Smartphone Samsung s10,S2
93,93,ARLY_0049,lucorum,drone,Smartphone Samsung s10,S3
94,94,ARLY_0054,rupestris,fondatrice,Canon EOS 70D - 40mm,S3
95,95,ARLY_PRAT_0001,pratorum,drone,Smartphone Samsung s10,P1
96,96,ARLY_PRAT_0001,pratorum,drone,Smartphone Samsung s10,P2
