photo_id,inv_id,status,error_reason,aspect_ratio,output_path,processing_time_s,processed_at
ARLY_0001_P_1,ARLY_0001,OK,,1.9589,/Users/superbg/Documents/IEES/idmybee/data/Bombus/collection/extraction/light/images/ARLY_0001_P_1.jpg,0.0536,2026-09-10T14:48:38+00:00
ARLY_0001_P_2,ARLY_0001,OK,,1.9488,/Users/superbg/Documents/IEES/idmybee/data/Bombus/collection/extraction/light/images/ARLY_0001_P_2.jpg,0.0485,2026-09-10T14:48:38+00:00
ARLY_0001_P_3,ARLY_0001,OK,,1.9067,/Users/superbg/Documents/IEES/idmybee/data/Bombus/collection/extraction/light/images/ARLY_0001_P_3.jpg,0.0458,2026-09-10T14:48:38+00:00
ARLY_0001_P_4,ARLY_0001,OK,,1.9011,/Users/superbg/Documents/IEES/idmybee/data/Bombus/collection/extraction/light/images/ARLY_0001_P_4.jpg,0.0501,2026-09-10T14:48:38+00:00
ARLY_0001_P_5,ARLY_0001,OK,,1.9154,/Users/superbg/Documents/IEES/idmybee/data/Bombus/collection/extraction/light/images/ARLY_0001_P_5.jpg,0.0471,2026-09-10T14:48:38+00:00
ARLY_0001_S_1,ARLY_0001,OK,,1.2252,/Users/superbg/Documents/IEES/idmybee/data/Bombus/collection/extraction/light/images/ARLY_0001_S_1.jpg,0.1135,2026-09-10T14:48:39+00:00
ARLY_0001_S_2,ARLY_0001,OK,,1.3255,/Users/superbg/Documents/IEES/idmybee/data/Bombus/collection/extraction/light/images/ARLY_0001_S_2.jpg,0.1276,2026-09-10T14:48:39+00:00
ARLY_0001_S_3,ARLY_0001,OK,,1.2740,/Users/superbg/Documents/IEES/idmybee/data/Bombus/collection/extraction/light/images/ARLY_0001_S_3.jpg,0.1217,2026-09-10T14:48:39+00:00
ARLY_0001_S_4,ARLY_0001,OK,,1.5924,/Users/superbg/Documents/IEES/idmybee/data/Bombus/collection/extraction/light/images/ARLY_0001_S_4.jpg,0.1101,2026-09-10T14:48:39+00:00
ARLY_0001_S_5,ARLY_0001,OK,,1.4275,/Users/superbg/Documents/IEES/idmybee/data/Bombus/collection/extraction/light/images/ARLY_0001_S_5.jpg,0.1245,2026-09-10T14:48:39+00:00
ARLY_0004_P_1,ARLY_0004,OK,,2.3078,/Users/superbg/Documents/IEES/idmybee/data/Bombus/collection/extraction/light/images/ARLY_0004_P_1.jpg,0.0403,2026-09-10T14:48:39+00:00
ARLY_0004_P_2,ARLY_0004,OK,,2.2581,/Users/superbg/Documents/IEES/idmybee/data/Bombus/collection/extraction/light/images/ARLY_0004_P_2.jpg,0.0433,2026-09-10T14:48:39+00:00
ARLY_0004_P_3,ARLY_0004,OK,,2.2440,/Users/superbg/Documents/IEES/idmybee/data/Bombus/collection/extraction/light/images/ARLY_0004_P_3.jpg,0.0392,2026-09-10T14:48:39+00:00
ARLY_0004_P_4,ARLY_0004,OK,,2.3243,/Users/superbg/Documents/IEES/idmybee/data/Bombus/collection/extraction/light/images/ARLY_0004_P_4.jpg,0.0390,2026-09-10T14:48:39+00:00
ARLY_0004_P_5,ARLY_0004,OK,,2.3396,/Users/superbg/Documents/IEES/idmybee/data/Bombus/collection/extraction/light/images/ARLY_0004_P_5.jpg,0.0424,2026-09-10T14:48:39+00:00
ARLY_0004_S_1,ARLY_0004,OK,,2.1474,/Users/superbg/Documents/IEES/idmybee/data/Bombus/collection/extraction/light/images/ARLY_0004_S_1.jpg,0.1123,2026-09-10T14:48:39+00:00
ARLY_0004_S_2,ARLY_0004,OK,,1.6795,/Users/superbg/Documents/IEES/idmybee/data/Bombus/collection/extraction/light/images/ARLY_0004_S_2.jpg,0.1273,2026-09-10T14:48:40+00:00
ARLY_0004_S_3,ARLY_0004,OK,,1.7561,/Users/superbg/Documents/IEES/idmybee/data/Bombus/collection/extraction/light/images/ARLY_0004_S_3.jpg,0.1239,2026-09-10T14:48:40+00:00
ARLY_0004_S_4,ARLY_0004,OK,,1.8601,/Users/superbg/Documents/IEES/idmybee/data/Bombus/collection/extraction/light/images/ARLY_0004_S_4.jpg,0.1262,2026-09-10T14:48:40+00:00
ARLY_0004_S_5,ARLY_0004,FAILED,detection_not_OK,,,0.0000,2026-09-10T14:48:40+00:00
ARLY_0005_P_1,ARLY_0005,OK,,2.0066,/Users/superbg/Documents/IEES/idmybee/data/Bombus/collection/extraction/light/images/ARLY_0005_P_1.jpg,0.0399,2026-09-10T14:48:40+00:00
ARLY_0005_P_2,ARLY_0005,OK,,2.0496,/Users/superbg/Documents/IEES/idmybee/data/Bombus/collection/extraction/light/images/ARLY_0005_P_2.jpg,0.0403,2026-09-10T14:48:40+00:00
ARLY_0005_P_3,ARLY_0005,OK,,2.0622,/Users/superbg/Documents/IEES/idmybee/data/Bombus/collection/extraction/light/images/ARLY_0005_P_3.jpg,0.0395,2026-09-10T14:48:40+00:00
ARLY_0005_P_4,ARLY_0005,OK,,2.1142,/Users/superbg/Documents/IEES/idmybee/data/Bombus/collection/extraction/light/images/ARLY_0005_P_4.jpg,0.0415,2026-09-10T14:48:40+00:00
