photo_id,inv_id,status,error_reason,aspect_ratio,output_path,processing_time_s,processed_at
ARLY_0001_P_1,ARLY_0001,OK,,1.9589,/Users/superbg/Documents/IEES/idmybee/data/Bombus/collection/extraction/light/images/ARLY_0001_P_1.jpg,0.0651,2026-09-10T22:42:57+00:00
ARLY_0001_P_2,ARLY_0001,OK,,1.9488,/Users/superbg/Documents/IEES/idmybee/data/Bombus/collection/extraction/light/images/ARLY_0001_P_2.jpg,0.0481,2026-09-10T22:42:57+00:00
ARLY_0001_P_3,ARLY_0001,OK,,1.9067,/Users/superbg/Documents/IEES/idmybee/data/Bombus/collection/extraction/light/images/ARLY_0001_P_3.jpg,0.0455,2026-09-10T22:42:57+00:00
ARLY_0001_P_4,ARLY_0001,OK,,1.9011,/Users/superbg/Documents/IEES/idmybee/data/Bombus/collection/extraction/light/images/ARLY_0001_P_4.jpg,0.0507,2026-09-10T22:42:57+00:00
ARLY_0001_P_5,ARLY_0001,OK,,1.9154,/Users/superbg/Documents/IEES/idmybee/data/Bombus/collection/extraction/light/images/ARLY_0001_P_5.jpg,0.0486,2026-09-10T22:42:57+00:00
ARLY_0001_S_1,ARLY_0001,OK,,1.2252,/Users/superbg/Documents/IEES/idmybee/data/Bombus/collection/extraction/light/images/ARLY_0001_S_1.jpg,0.1127,2026-09-10T22:42:57+00:00
ARLY_0001_S_2,ARLY_0001,OK,,1.3255,/Users/superbg/Documents/IEES/idmybee/data/Bombus/collection/extraction/light/images/ARLY_0001_S_2.jpg,0.1305,2026-09-10T22:42:57+00:00
ARLY_0001_S_3,ARLY_0001,OK,,1.274,/Users/superbg/Documents/IEES/idmybee/data/Bombus/collection/extraction/light/images/ARLY_0001_S_3.jpg,0.1243,2026-09-10T22:42:58+00:00
ARLY_0001_S_4,ARLY_0001,OK,,1.5924,/Users/superbg/Documents/IEES/idmybee/data/Bombus/collection/extraction/light/images/ARLY_0001_S_4.jpg,0.1098,2026-09-10T22:42:58+00:00
ARLY_0001_S_5,ARLY_0001,OK,,1.4275,/Users/superbg/Documents/IEES/idmybee/data/Bombus/collection/extraction/light/images/ARLY_0001_S_5.jpg,0.1276,2026-09-10T22:42:58+00:00
ARLY_0004_P_1,ARLY_0004,OK,,2.3078,/Users/superbg/Documents/IEES/idmybee/data/Bombus/collection/extraction/light/images/ARLY_0004_P_1.jpg,0.0412,2026-09-10T22:42:58+00:00
ARLY_0004_P_2,ARLY_0004,OK,,2.2581,/Users/superbg/Documents/IEES/idmybee/data/Bombus/collection/extraction/light/images/ARLY_0004_P_2.jpg,0.0441,2026-09-10T22:42:58+00:00
ARLY_0004_P_3,ARLY_0004,OK,,2.244,/Users/superbg/Documents/IEES/idmybee/data/Bombus/collection/extraction/light/images/ARLY_0004_P_3.jpg,0.0391,2026-09-10T22:42:58+00:00
ARLY_0004_P_4,ARLY_0004,OK,,2.3243,/Users/superbg/Documents/IEES/idmybee/data/Bombus/collection/extraction/light/images/ARLY_0004_P_4.jpg,0.0402,2026-09-10T22:42:58+00:00
ARLY_0004_P_5,ARLY_0004,OK,,2.3396,/Users/superbg/Documents/IEES/idmybee/data/Bombus/collection/extraction/light/images/ARLY_0004_P_5.jpg,0.0415,2026-09-10T22:42:58+00:00
ARLY_0004_S_1,ARLY_0004,OK,,2.1474,/Users/superbg/Documents/IEES/idmybee/data/Bombus/collection/extraction/light/images/ARLY_0004_S_1.jpg,0.1134,2026-09-10T22:42:58+00:00
ARLY_0004_S_2,ARLY_0004,OK,,1.6795,/Users/superbg/Documents/IEES/idmybee/data/Bombus/collection/extraction/light/images/ARLY_0004_S_2.jpg,0.1276,2026-09-10T22:42:58+00:00
ARLY_0004_S_3,ARLY_0004,OK,,1.7561,/Users/superbg/Documents/IEES/idmybee/data/Bombus/collection/extraction/light/images/ARLY_0004_S_3.jpg,0.1238,2026-09-10T22:42:58+00:00
ARLY_0004_S_4,ARLY_0004,OK,,1.8601,/Users/superbg/Documents/IEES/idmybee/data/Bombus/collection/extraction/light/images/ARLY_0004_S_4.jpg,0.1257,2026-09-10T22:42:58+00:00
ARLY_0004_S_5,ARLY_0004,FAILED,detection_not_OK,,,0.0,2026-09-10T22:42:58+00:00
ARLY_0005_P_1,ARLY_0005,OK,,2.0066,/Users/superbg/Documents/IEES/idmybee/data/Bombus/collection/extraction/light/images/ARLY_0005_P_1.jpg,0.0406,2026-09-10T22:42:58+00:00
ARLY_0005_P_2,ARLY_0005,OK,,2.0496,/Users/superbg/Documents/IEES/idmybee/data/Bombus/collection/extraction/light/images/ARLY_0005_P_2.jpg,0.0402,2026-09-10T22:42:59+00:00
ARLY_0005_P_3,ARLY_0005,OK,,2.0622,/Users/superbg/Documents/IEES/idmybee/data/Bombus/collection/extraction/light/images/ARLY_0005_P_3.jpg,0.0399,2026-09-10T22:42:59+00:00
ARLY_0005_P_4,ARLY_0005,OK,,2.1142,/Users/superbg/Documents/IEES/idmybee/data/Bombus/collection/extraction/light/images/ARLY_0005_P_4.jpg,0.0418,2026-09-10T22:42:59+00:00
ARLY_0005_P_5,ARLY_0005,OK,,2.0755,/Users/superbg/Documents/IEES/idmybee/data/Bombus/collection/extraction/light/images/ARLY_0005_P_5.jpg,0.0431,2026-09-10T22:42:59+00:00
ARLY_0005_S_1,ARLY_0005,OK,,2.0154,/Users/superbg/Documents/IEES/idmybee/data/Bombus/collection/extraction/light/images/ARLY_0005_S_1.jpg,0.1269,2026-09-10T22:42:59+00:00
ARLY_0005_S_2,ARLY_0005,OK,,1.9972,/Users/superbg/Documents/IEES/idmybee/data/Bombus/collection/extraction/light/images/ARLY_0005_S_2.jpg,0.1315,2026-09-10T22:42:59+00:00
ARLY_0005_S_3,ARLY_0005,OK,,1.8861,/Users/superbg/Documents/IEES/idmybee/data/Bombus/collection/extraction/light/images/ARLY_0005_S_3.jpg,0.1193,2026-09-10T22:42:59+00:00
ARLY_0005_S_4,ARLY_0005,OK,,2.0555,/Users/superbg/Documents/IEES/idmybee/data/Bombus/collection/extraction/light/images/ARLY_0005_S_4.jpg,0.118,2026-09-10T22:42:59+00:00
ARLY_0005_S_5,ARLY_0005,OK,,2.0484,/Users/superbg/Documents/IEES/idmybee/data/Bombus/collection/extraction/light/images/ARLY_0005_S_5.jpg,0.1181,2026-09-10T22:42:59+00:00
ARLY_0006_P_1,ARLY_0006,OK,,2.2367,/Users/superbg/Documents/IEES/idmybee/data/Bombus/collection/extraction/light/images/ARLY_0006_P_1.jpg,0.0425,2026-09-10T22:42:59+00:00
ARLY_0006_P_2,ARLY_0006,OK,,2.3652,/Users/superbg/Documents/IEES/idmybee/data/Bombus/collection/extraction/light/images/ARLY_0006_P_2.jpg,0.0384,2026-09-10T22:42:59+00:00
ARLY_0006_P_3,ARLY_0006,OK,,2.3921,/Users/superbg/Documents/IEES/idmybee/data/Bombus/collection/extraction/light/images/ARLY_0006_P_3.jpg,0.0421,2026-09-10T22:42:59+00:00
ARLY_0006_S_1,ARLY_0006,OK,,2.3282,/Users/superbg/Documents/IEES/idmybee/data/Bombus/collection/extraction/light/images/ARLY_0006_S_1.jpg,0.1014,2026-09-10T22:42:59+00:00
ARLY_0006_S_2,ARLY_0006,OK,,2.3385,/Users/superbg/Documents/IEES/idmybee/data/Bombus/collection/extraction/light/images/ARLY_0006_S_2.jpg,0.1029,2026-09-10T22:43:00+00:00
ARLY_0006_S_3,ARLY_0006,OK,,2.2615,/Users/superbg/Documents/IEES/idmybee/data/Bombus/collection/extraction/light/images/ARLY_0006_S_3.jpg,0.1045,2026-09-10T22:43:00+00:00
ARLY_0007_P_1,ARLY_0007,OK,,2.3049,/Users/superbg/Documents/IEES/idmybee/data/Bombus/collection/extraction/light/images/ARLY_0007_P_1.jpg,0.0402,2026-09-10T22:43:00+00:00
ARLY_0007_P_2,ARLY_0007,OK,,2.3084,/Users/superbg/Documents/IEES/idmybee/data/Bombus/collection/extraction/light/images/ARLY_0007_P_2.jpg,0.042,2026-09-10T22:43:00+00:00
ARLY_0007_P_3,ARLY_0007,OK,,2.2961,/Users/superbg/Documents/IEES/idmybee/data/Bombus/collection/extraction/light/images/ARLY_0007_P_3.jpg,0.0401,2026-09-10T22:43:00+00:00
ARLY_0007_S_1,ARLY_0007,OK,,2.2145,/Users/superbg/Documents/IEES/idmybee/data/Bombus/collection/extraction/light/images/ARLY_0007_S_1.jpg,0.1135,2026-09-10T22:43:00+00:00
ARLY_0007_S_2,ARLY_0007,OK,,2.2794,/Users/superbg/Documents/IEES/idmybee/data/Bombus/collection/extraction/light/images/ARLY_0007_S_2.jpg,0.1176,2026-09-10T22:43:00+00:00
ARLY_0007_S_3,ARLY_0007,FAILED,detection_not_OK,,,0.0,2026-09-10T22:43:00+00:00
ARLY_0008_P_1,ARLY_0008,OK,,2.1346,/Users/superbg/Documents/IEES/idmybee/data/Bombus/collection/extraction/light/images/ARLY_0008_P_1.jpg,0.0405,2026-09-10T22:43:00+00:00
ARLY_0008_P_2,ARLY_0008,OK,,2.0593,/Users/superbg/Documents/IEES/idmybee/data/Bombus/collection/extraction/light/images/ARLY_0008_P_2.jpg,0.038,2026-09-10T22:43:00+00:00
ARLY_0008_P_3,ARLY_0008,OK,,2.0735,/Users/superbg/Documents/IEES/idmybee/data/Bombus/collection/extraction/light/images/ARLY_0008_P_3.jpg,0.0471,2026-09-10T22:43:00+00:00
ARLY_0008_S_1,ARLY_0008,OK,,2.1394,/Users/superbg/Documents/IEES/idmybee/data/Bombus/collection/extraction/light/images/ARLY_0008_S_1.jpg,0.1211,2026-09-10T22:43:00+00:00
ARLY_0008_S_2,ARLY_0008,OK,,2.125,/Users/superbg/Documents/IEES/idmybee/data/Bombus/collection/extraction/light/images/ARLY_0008_S_2.jpg,0.1,2026-09-10T22:43:00+00:00
ARLY_0008_S_3,ARLY_0008,OK,,2.1057,/Users/superbg/Documents/IEES/idmybee/data/Bombus/collection/extraction/light/images/ARLY_0008_S_3.jpg,0.1018,2026-09-10T22:43:01+00:00
ARLY_0009_P_1,ARLY_0009,OK,,2.0105,/Users/superbg/Documents/IEES/idmybee/data/Bombus/collection/extraction/light/images/ARLY_0009_P_1.jpg,0.0475,2026-09-10T22:43:01+00:00
ARLY_0009_P_2,ARLY_0009,OK,,1.9664,/Users/superbg/Documents/IEES/idmybee/data/Bombus/collection/extraction/light/images/ARLY_0009_P_2.jpg,0.0401,2026-09-10T22:43:01+00:00
ARLY_0009_P_3,ARLY_0009,OK,,1.9822,/Users/superbg/Documents/IEES/idmybee/data/Bombus/collection/extraction/light/images/ARLY_0009_P_3.jpg,0.0425,2026-09-10T22:43:01+00:00
ARLY_0009_S_1,ARLY_0009,OK,,1.9516,/Users/superbg/Documents/IEES/idmybee/data/Bombus/collection/extraction/light/images/ARLY_0009_S_1.jpg,0.1124,2026-09-10T22:43:01+00:00
ARLY_0009_S_2,ARLY_0009,OK,,1.9871,/Users/superbg/Documents/IEES/idmybee/data/Bombus/collection/extraction/light/images/ARLY_0009_S_2.jpg,0.1206,2026-09-10T22:43:01+00:00
ARLY_0009_S_3,ARLY_0009,OK,,1.9823,/Users/superbg/Documents/IEES/idmybee/data/Bombus/collection/extraction/light/images/ARLY_0009_S_3.jpg,0.1315,2026-09-10T22:43:01+00:00
ARLY_0010_P_1,ARLY_0010,OK,,2.3341,/Users/superbg/Documents/IEES/idmybee/data/Bombus/collection/extraction/light/images/ARLY_0010_P_1.jpg,0.0415,2026-09-10T22:43:01+00:00
ARLY_0010_P_2,ARLY_0010,OK,,2.2665,/Users/superbg/Documents/IEES/idmybee/data/Bombus/collection/extraction/light/images/ARLY_0010_P_2.jpg,0.0394,2026-09-10T22:43:01+00:00
ARLY_0010_P_3,ARLY_0010,OK,,2.2893,/Users/superbg/Documents/IEES/idmybee/data/Bombus/collection/extraction/light/images/ARLY_0010_P_3.jpg,0.0389,2026-09-10T22:43:01+00:00
ARLY_0010_S_1,ARLY_0010,OK,,2.3282,/Users/superbg/Documents/IEES/idmybee/data/Bombus/collection/extraction/light/images/ARLY_0010_S_1.jpg,0.0934,2026-09-10T22:43:01+00:00
