photo_id,inv_id,status,error_reason,confidence,n_detections,x1,y1,x2,y2,x3,y3,x4,y4,processing_time_s,processed_at
ARLY_0001_P_1,ARLY_0001,OK,,0.9466,1,0.58963865,0.56317371,0.58217371,0.45287699,0.42012540,0.47237477,0.42759031,0.58267152,0.1586,2026-09-10T14:42:38+00:00
ARLY_0001_P_2,ARLY_0001,OK,,0.9493,1,0.59620959,0.55874372,0.58792245,0.44887304,0.42733312,0.47040656,0.43562025,0.58027720,0.1019,2026-09-10T14:42:38+00:00
ARLY_0001_P_3,ARLY_0001,OK,,0.9475,1,0.59330833,0.56850386,0.58647203,0.45463511,0.42363334,0.47201529,0.43046966,0.58588403,0.1010,2026-09-10T14:42:39+00:00
ARLY_0001_P_4,ARLY_0001,OK,,0.9623,1,0.59618849,0.56415176,0.58475685,0.45143417,0.42403793,0.48041174,0.43546957,0.59312934,0.0996,2026-09-10T14:42:39+00:00
ARLY_0001_P_5,ARLY_0001,OK,,0.9487,1,0.58675414,0.56169105,0.57743150,0.44975066,0.41662279,0.47355941,0.42594537,0.58549976,0.0989,2026-09-10T14:42:39+00:00
ARLY_0001_S_1,ARLY_0001,OK,,0.9021,2,0.63154995,0.74533635,0.63553590,0.45477909,0.16089992,0.45111650,0.15691397,0.74167377,0.1313,2026-09-10T14:42:39+00:00
ARLY_0001_S_2,ARLY_0001,OK,,0.7528,2,0.61403286,0.72580117,0.63955951,0.42792541,0.11309482,0.40254775,0.08756814,0.70042354,0.1296,2026-09-10T14:42:39+00:00
ARLY_0001_S_3,ARLY_0001,OK,,0.8629,1,0.64830083,0.70951319,0.66199988,0.41339663,0.15900742,0.40030736,0.14530830,0.69642389,0.1286,2026-09-10T14:42:39+00:00
ARLY_0001_S_4,ARLY_0001,OK,,0.9119,1,0.72625703,0.75339544,0.73077309,0.53455061,0.26612577,0.52915710,0.26160970,0.74800193,0.1257,2026-09-10T14:42:39+00:00
ARLY_0001_S_5,ARLY_0001,OK,,0.9048,1,0.69022995,0.73828703,0.70933527,0.47113746,0.20085771,0.45068270,0.18175238,0.71783221,0.1269,2026-09-10T14:42:39+00:00
ARLY_0004_P_1,ARLY_0004,OK,,0.9577,1,0.57346487,0.55981350,0.57364368,0.47395191,0.42503232,0.47340184,0.42485353,0.55926347,0.1001,2026-09-10T14:42:39+00:00
ARLY_0004_P_2,ARLY_0004,OK,,0.9461,1,0.57530951,0.56716049,0.57775211,0.48061877,0.43118823,0.47326458,0.42874563,0.55980635,0.0982,2026-09-10T14:42:40+00:00
ARLY_0004_P_3,ARLY_0004,OK,,0.9293,1,0.57276267,0.56547552,0.57248002,0.47834536,0.42583781,0.47919121,0.42612052,0.56632137,0.0990,2026-09-10T14:42:40+00:00
ARLY_0004_P_4,ARLY_0004,OK,,0.9515,1,0.57295340,0.57756704,0.57269937,0.49288052,0.42507106,0.49366790,0.42532516,0.57835442,0.0981,2026-09-10T14:42:40+00:00
ARLY_0004_P_5,ARLY_0004,OK,,0.9419,1,0.57691127,0.57263184,0.57841659,0.48727942,0.42865136,0.48258388,0.42714605,0.56793630,0.0993,2026-09-10T14:42:40+00:00
ARLY_0004_S_1,ARLY_0004,OK,,0.8885,1,0.56441790,0.54002863,0.57290590,0.40124753,0.17554948,0.38757730,0.16706151,0.52635843,0.1260,2026-09-10T14:42:40+00:00
ARLY_0004_S_2,ARLY_0004,OK,,0.7915,2,0.63625544,0.65620226,0.65897512,0.44079903,0.17660330,0.41218007,0.15388362,0.62758332,0.1263,2026-09-10T14:42:40+00:00
ARLY_0004_S_3,ARLY_0004,OK,,0.9777,1,0.59305781,0.63128322,0.61202556,0.42894405,0.13826728,0.40396276,0.11929955,0.60630190,0.1258,2026-09-10T14:42:40+00:00
ARLY_0004_S_4,ARLY_0004,OK,,0.9607,1,0.62803477,0.67678201,0.64831889,0.48746124,0.17877766,0.45916334,0.15849356,0.64848411,0.1263,2026-09-10T14:42:40+00:00
ARLY_0004_S_5,ARLY_0004,FAILED,no_detection,,0,,,,,,,,,0.1241,2026-09-10T14:42:41+00:00
ARLY_0005_P_1,ARLY_0005,OK,,0.9534,1,0.56906098,0.55576521,0.56921136,0.48017716,0.45545438,0.47977480,0.45530400,0.55536282,0.0993,2026-09-10T14:42:41+00:00
ARLY_0005_P_2,ARLY_0005,OK,,0.9629,1,0.55158395,0.56583083,0.55221045,0.49131998,0.43766984,0.48960793,0.43704334,0.56411874,0.0997,2026-09-10T14:42:41+00:00
ARLY_0005_P_3,ARLY_0005,OK,,0.9520,1,0.55365425,0.56198460,0.55337912,0.48696813,0.43735269,0.48772478,0.43762785,0.56274128,0.0987,2026-09-10T14:42:41+00:00
ARLY_0005_P_4,ARLY_0005,OK,,0.9506,1,0.55604964,0.57001603,0.55752867,0.49661067,0.44113198,0.49244148,0.43965301,0.56584680,0.1009,2026-09-10T14:42:41+00:00
ARLY_0005_P_5,ARLY_0005,OK,,0.9427,1,0.56464624,0.56863856,0.56674248,0.49441314,0.45120135,0.48861212,0.44910505,0.56283754,0.0996,2026-09-10T14:42:41+00:00
ARLY_0005_S_1,ARLY_0005,OK,,0.7959,1,0.53638929,0.65728730,0.55741405,0.49574527,0.12332062,0.46396559,0.10229591,0.62550759,0.1272,2026-09-10T14:42:41+00:00
ARLY_0005_S_2,ARLY_0005,OK,,0.9108,1,0.55310136,0.68618959,0.57810616,0.52251405,0.14224802,0.48505929,0.11724327,0.64873487,0.1268,2026-09-10T14:42:41+00:00
ARLY_0005_S_3,ARLY_0005,OK,,0.9265,1,0.54361737,0.71875817,0.55931163,0.53439546,0.09567737,0.51219487,0.07998314,0.69655758,0.1272,2026-09-10T14:42:41+00:00
ARLY_0005_S_4,ARLY_0005,OK,,0.9108,1,0.49167091,0.66869271,0.50441557,0.52149636,0.10100678,0.50184923,0.08826211,0.64904553,0.1256,2026-09-10T14:42:42+00:00
ARLY_0005_S_5,ARLY_0005,OK,,0.9789,1,0.53794307,0.65104783,0.55077004,0.50701338,0.15738975,0.48730749,0.14456272,0.63134199,0.1279,2026-09-10T14:42:42+00:00
ARLY_0006_P_1,ARLY_0006,OK,,0.9464,1,0.54448962,0.51855534,0.54596061,0.46568757,0.45727479,0.46130088,0.45580381,0.51416862,0.1018,2026-09-10T14:42:42+00:00
ARLY_0006_P_2,ARLY_0006,OK,,0.9179,1,0.54426658,0.52251613,0.54465622,0.47125328,0.45372245,0.47002462,0.45333284,0.52128744,0.0982,2026-09-10T14:42:42+00:00
