photo_id,inv_id,status,error_reason,n_landmarks_found,model_name,processing_time_s,processed_at
ARLY_0001_P_1,ARLY_0001,OK,,18,weights,0.1588,2026-09-11T09:37:19+00:00
ARLY_0001_P_2,ARLY_0001,OK,,18,weights,0.0908,2026-09-11T09:37:19+00:00
ARLY_0001_P_3,ARLY_0001,SUSPECT,only_13_of_18_expected_maxima,13,weights,0.0890,2026-09-11T09:37:19+00:00
ARLY_0001_P_4,ARLY_0001,SUSPECT,only_17_of_18_expected_maxima,17,weights,0.0898,2026-09-11T09:37:19+00:00
ARLY_0001_P_5,ARLY_0001,OK,,18,weights,0.0929,2026-09-11T09:37:19+00:00
ARLY_0001_S_1,ARLY_0001,OK,,18,weights,0.0965,2026-09-11T09:37:19+00:00
ARLY_0001_S_2,ARLY_0001,OK,,18,weights,0.0962,2026-09-11T09:37:20+00:00
ARLY_0001_S_3,ARLY_0001,OK,,18,weights,0.0941,2026-09-11T09:37:20+00:00
ARLY_0001_S_4,ARLY_0001,SUSPECT,only_16_of_18_expected_maxima,16,weights,0.0959,2026-09-11T09:37:20+00:00
ARLY_0001_S_5,ARLY_0001,SUSPECT,only_15_of_18_expected_maxima,15,weights,0.0979,2026-09-11T09:37:20+00:00
ARLY_0004_P_1,ARLY_0004,OK,,18,weights,0.0980,2026-09-11T09:37:20+00:00
ARLY_0004_P_2,ARLY_0004,OK,,18,weights,0.0958,2026-09-11T09:37:20+00:00
ARLY_0004_P_3,ARLY_0004,SUSPECT,only_12_of_18_expected_maxima,12,weights,0.0912,2026-09-11T09:37:20+00:00
ARLY_0004_P_4,ARLY_0004,OK,,18,weights,0.0925,2026-09-11T09:37:20+00:00
ARLY_0004_P_5,ARLY_0004,OK,,18,weights,0.0912,2026-09-11T09:37:20+00:00
ARLY_0004_S_1,ARLY_0004,OK,,18,weights,0.0936,2026-09-11T09:37:20+00:00
ARLY_0004_S_2,ARLY_0004,OK,,18,weights,0.0959,2026-09-11T09:37:20+00:00
ARLY_0004_S_3,ARLY_0004,OK,,18,weights,0.0923,2026-09-11T09:37:21+00:00
ARLY_0004_S_4,ARLY_0004,OK,,18,weights,0.0923,2026-09-11T09:37:21+00:00
ARLY_0005_P_1,ARLY_0005,OK,,18,weights,0.0928,2026-09-11T09:37:21+00:00
