photo_id,inv_id,tps_id,image_path,status,registration_cost,n_outlier_landmarks,error_reason,processing_time_s
ARLY_0001_P_1,ARLY_0001,1,/Users/superbg/Documents/IEES/idmybee/data/Bombus/collection/extraction/light/images/ARLY_0001_P_1.jpg,SUSPECT,0.0045064233859652,18.0,,0.0018
ARLY_0001_P_2,ARLY_0001,2,/Users/superbg/Documents/IEES/idmybee/data/Bombus/collection/extraction/light/images/ARLY_0001_P_2.jpg,OK,0.0050534710654404,1.0,,0.0012
ARLY_0001_P_3,ARLY_0001,3,/Users/superbg/Documents/IEES/idmybee/data/Bombus/collection/extraction/light/images/ARLY_0001_P_3.jpg,FAILED,inf,,"13 landmarks, 18 expected",0.0
ARLY_0001_P_4,ARLY_0001,4,/Users/superbg/Documents/IEES/idmybee/data/Bombus/collection/extraction/light/images/ARLY_0001_P_4.jpg,FAILED,inf,,"17 landmarks, 18 expected",0.0
ARLY_0001_P_5,ARLY_0001,5,/Users/superbg/Documents/IEES/idmybee/data/Bombus/collection/extraction/light/images/ARLY_0001_P_5.jpg,SUSPECT,0.0068064926316731,17.0,,0.0013
ARLY_0001_S_1,ARLY_0001,6,/Users/superbg/Documents/IEES/idmybee/data/Bombus/collection/extraction/light/images/ARLY_0001_S_1.jpg,OK,0.0039684332999501,7.0,,0.0013
ARLY_0001_S_2,ARLY_0001,7,/Users/superbg/Documents/IEES/idmybee/data/Bombus/collection/extraction/light/images/ARLY_0001_S_2.jpg,SUSPECT,0.0103392245230355,17.0,,0.0014
ARLY_0001_S_3,ARLY_0001,8,/Users/superbg/Documents/IEES/idmybee/data/Bombus/collection/extraction/light/images/ARLY_0001_S_3.jpg,OK,0.0052923462230039,3.0,,0.0014
ARLY_0001_S_4,ARLY_0001,9,/Users/superbg/Documents/IEES/idmybee/data/Bombus/collection/extraction/light/images/ARLY_0001_S_4.jpg,FAILED,inf,,"16 landmarks, 18 expected",0.0
ARLY_0001_S_5,ARLY_0001,10,/Users/superbg/Documents/IEES/idmybee/data/Bombus/collection/extraction/light/images/ARLY_0001_S_5.jpg,FAILED,inf,,"15 landmarks, 18 expected",0.0
ARLY_0004_P_1,ARLY_0004,11,/Users/superbg/Documents/IEES/idmybee/data/Bombus/collection/extraction/light/images/ARLY_0004_P_1.jpg,OK,0.0054441189095341,2.0,,0.0014
ARLY_0004_P_2,ARLY_0004,12,/Users/superbg/Documents/IEES/idmybee/data/Bombus/collection/extraction/light/images/ARLY_0004_P_2.jpg,SUSPECT,0.0063957333634893,15.0,,0.0013
ARLY_0004_P_3,ARLY_0004,13,/Users/superbg/Documents/IEES/idmybee/data/Bombus/collection/extraction/light/images/ARLY_0004_P_3.jpg,FAILED,inf,,"12 landmarks, 18 expected",0.0
ARLY_0004_P_4,ARLY_0004,14,/Users/superbg/Documents/IEES/idmybee/data/Bombus/collection/extraction/light/images/ARLY_0004_P_4.jpg,SUSPECT,0.0074797239639306,17.0,,0.0021
