photo_id,inv_id,tps_id,image_path,status,registration_cost,n_outlier_landmarks,error_reason,processing_time_s
ARLY_0001_P_1,ARLY_0001,1,/Users/superbg/Documents/IEES/idmybee/data/Bombus/collection/extraction/light/images/ARLY_0001_P_1.jpg,FAILED,inf,,"11 landmarks, 19 expected",0.0000
ARLY_0001_P_2,ARLY_0001,2,/Users/superbg/Documents/IEES/idmybee/data/Bombus/collection/extraction/light/images/ARLY_0001_P_2.jpg,FAILED,inf,,"12 landmarks, 19 expected",0.0000
ARLY_0001_P_3,ARLY_0001,3,/Users/superbg/Documents/IEES/idmybee/data/Bombus/collection/extraction/light/images/ARLY_0001_P_3.jpg,FAILED,inf,,"13 landmarks, 19 expected",0.0000
ARLY_0001_P_4,ARLY_0001,4,/Users/superbg/Documents/IEES/idmybee/data/Bombus/collection/extraction/light/images/ARLY_0001_P_4.jpg,FAILED,inf,,"18 landmarks, 19 expected",0.0000
ARLY_0001_P_5,ARLY_0001,5,/Users/superbg/Documents/IEES/idmybee/data/Bombus/collection/extraction/light/images/ARLY_0001_P_5.jpg,FAILED,inf,,"10 landmarks, 19 expected",0.0000
ARLY_0001_S_1,ARLY_0001,6,/Users/superbg/Documents/IEES/idmybee/data/Bombus/collection/extraction/light/images/ARLY_0001_S_1.jpg,SUSPECT,0.0053258884244714415,15,,0.0057
ARLY_0001_S_2,ARLY_0001,7,/Users/superbg/Documents/IEES/idmybee/data/Bombus/collection/extraction/light/images/ARLY_0001_S_2.jpg,FAILED,inf,,"14 landmarks, 19 expected",0.0000
ARLY_0001_S_3,ARLY_0001,8,/Users/superbg/Documents/IEES/idmybee/data/Bombus/collection/extraction/light/images/ARLY_0001_S_3.jpg,OK,0.004212344802332964,9,,0.0013
ARLY_0001_S_4,ARLY_0001,9,/Users/superbg/Documents/IEES/idmybee/data/Bombus/collection/extraction/light/images/ARLY_0001_S_4.jpg,FAILED,inf,,"15 landmarks, 19 expected",0.0000
ARLY_0001_S_5,ARLY_0001,10,/Users/superbg/Documents/IEES/idmybee/data/Bombus/collection/extraction/light/images/ARLY_0001_S_5.jpg,FAILED,inf,,"9 landmarks, 19 expected",0.0000
ARLY_0004_P_1,ARLY_0004,11,/Users/superbg/Documents/IEES/idmybee/data/Bombus/collection/extraction/light/images/ARLY_0004_P_1.jpg,FAILED,inf,,"17 landmarks, 19 expected",0.0000
ARLY_0004_P_2,ARLY_0004,12,/Users/superbg/Documents/IEES/idmybee/data/Bombus/collection/extraction/light/images/ARLY_0004_P_2.jpg,FAILED,inf,,"17 landmarks, 19 expected",0.0000
