photo_id,inv_id,tps_id,image_path,status,registration_cost,n_outlier_landmarks,error_reason,processing_time_s
ARLY_0001_P_1,ARLY_0001,1,data/Bombus/collection/extraction/light/images/ARLY_0001_P_1.jpg,FAILED,inf,,"11 landmarks, 19 expected",0.0000
ARLY_0001_P_2,ARLY_0001,2,data/Bombus/collection/extraction/light/images/ARLY_0001_P_2.jpg,FAILED,inf,,"12 landmarks, 19 expected",0.0000
ARLY_0001_P_3,ARLY_0001,3,data/Bombus/collection/extraction/light/images/ARLY_0001_P_3.jpg,FAILED,inf,,"13 landmarks, 19 expected",0.0000
ARLY_0001_P_4,ARLY_0001,4,data/Bombus/collection/extraction/light/images/ARLY_0001_P_4.jpg,FAILED,inf,,"18 landmarks, 19 expected",0.0000
ARLY_0001_P_5,ARLY_0001,5,data/Bombus/collection/extraction/light/images/ARLY_0001_P_5.jpg,FAILED,inf,,"10 landmarks, 19 expected",0.0000
ARLY_0001_S_1,ARLY_0001,6,data/Bombus/collection/extraction/light/images/ARLY_0001_S_1.jpg,SUSPECT,0.005325074206666945,15,,0.0019
ARLY_0001_S_2,ARLY_0001,7,data/Bombus/collection/extraction/light/images/ARLY_0001_S_2.jpg,FAILED,inf,,"14 landmarks, 19 expected",0.0000
ARLY_0001_S_3,ARLY_0001,8,data/Bombus/collection/extraction/light/images/ARLY_0001_S_3.jpg,OK,0.00421177879748377,9,,0.0011
ARLY_0001_S_4,ARLY_0001,9,data/Bombus/collection/extraction/light/images/ARLY_0001_S_4.jpg,FAILED,inf,,"15 landmarks, 19 expected",0.0000
ARLY_0001_S_5,ARLY_0001,10,data/Bombus/collection/extraction/light/images/ARLY_0001_S_5.jpg,FAILED,inf,,"9 landmarks, 19 expected",0.0000
ARLY_0004_P_1,ARLY_0004,11,data/Bombus/collection/extraction/light/images/ARLY_0004_P_1.jpg,FAILED,inf,,"17 landmarks, 19 expected",0.0000
ARLY_0004_P_2,ARLY_0004,12,data/Bombus/collection/extraction/light/images/ARLY_0004_P_2.jpg,FAILED,inf,,"17 landmarks, 19 expected",0.0000
ARLY_0004_P_3,ARLY_0004,13,data/Bombus/collection/extraction/light/images/ARLY_0004_P_3.jpg,FAILED,inf,,"6 landmarks, 19 expected",0.0000
ARLY_0004_P_4,ARLY_0004,14,data/Bombus/collection/extraction/light/images/ARLY_0004_P_4.jpg,FAILED,inf,,"11 landmarks, 19 expected",0.0000
ARLY_0004_P_5,ARLY_0004,15,data/Bombus/collection/extraction/light/images/ARLY_0004_P_5.jpg,FAILED,inf,,"8 landmarks, 19 expected",0.0000
ARLY_0004_S_1,ARLY_0004,16,data/Bombus/collection/extraction/light/images/ARLY_0004_S_1.jpg,SUSPECT,0.006701160667507388,17,,0.0009
ARLY_0004_S_2,ARLY_0004,17,data/Bombus/collection/extraction/light/images/ARLY_0004_S_2.jpg,FAILED,inf,,"16 landmarks, 19 expected",0.0000
ARLY_0004_S_3,ARLY_0004,18,data/Bombus/collection/extraction/light/images/ARLY_0004_S_3.jpg,OK,0.0001958847641279634,0,,0.0007
ARLY_0004_S_4,ARLY_0004,19,data/Bombus/collection/extraction/light/images/ARLY_0004_S_4.jpg,OK,0.00018384617090320832,0,,0.0007
ARLY_0005_P_1,ARLY_0005,20,data/Bombus/collection/extraction/light/images/ARLY_0005_P_1.jpg,OK,0.00017145591967684506,0,,0.0007
ARLY_0005_P_2,ARLY_0005,21,data/Bombus/collection/extraction/light/images/ARLY_0005_P_2.jpg,OK,0.0001896858544483846,0,,0.0008
ARLY_0005_P_3,ARLY_0005,22,data/Bombus/collection/extraction/light/images/ARLY_0005_P_3.jpg,FAILED,inf,,"17 landmarks, 19 expected",0.0000
ARLY_0005_P_4,ARLY_0005,23,data/Bombus/collection/extraction/light/images/ARLY_0005_P_4.jpg,FAILED,inf,,"16 landmarks, 19 expected",0.0000
ARLY_0005_P_5,ARLY_0005,24,data/Bombus/collection/extraction/light/images/ARLY_0005_P_5.jpg,FAILED,inf,,"16 landmarks, 19 expected",0.0000
ARLY_0005_S_1,ARLY_0005,25,data/Bombus/collection/extraction/light/images/ARLY_0005_S_1.jpg,SUSPECT,0.002709854035798419,16,,0.0009
ARLY_0005_S_2,ARLY_0005,26,data/Bombus/collection/extraction/light/images/ARLY_0005_S_2.jpg,OK,0.00011922778710049478,0,,0.0008
ARLY_0005_S_3,ARLY_0005,27,data/Bombus/collection/extraction/light/images/ARLY_0005_S_3.jpg,FAILED,inf,,"17 landmarks, 19 expected",0.0000
