photo_id,inv_id,device_type,device,photo_index,photographer,ext,content_hash,file_size_bytes,path,status,status_reason
ARLY_0001_P_1,ARLY_0001,P,Canon EOS 70D - 40mm,1,Basile PETIT,.jpg,1ebf04dff620b410,1336274,/Volumes/EXT DATA/IDMB/derived/Bombus/collection/images/ARLY_0001_P_1.jpg,OK,
ARLY_0001_P_2,ARLY_0001,P,Canon EOS 70D - 40mm,2,Basile PETIT,.jpg,66ffa83235160dd1,1308531,/Volumes/EXT DATA/IDMB/derived/Bombus/collection/images/ARLY_0001_P_2.jpg,OK,
ARLY_0001_P_3,ARLY_0001,P,Canon EOS 70D - 40mm,3,Basile PETIT,.jpg,292b6223e12c8b67,1344743,/Volumes/EXT DATA/IDMB/derived/Bombus/collection/images/ARLY_0001_P_3.jpg,OK,
ARLY_0001_P_4,ARLY_0001,P,Canon EOS 70D - 40mm,4,Basile PETIT,.jpg,ab35ad30818e2520,1344396,/Volumes/EXT DATA/IDMB/derived/Bombus/collection/images/ARLY_0001_P_4.jpg,OK,
ARLY_0001_P_5,ARLY_0001,P,Canon EOS 70D - 40mm,5,Basile PETIT,.jpg,60d675c52f1cdd26,1279620,/Volumes/EXT DATA/IDMB/derived/Bombus/collection/images/ARLY_0001_P_5.jpg,OK,
ARLY_0001_S_1,ARLY_0001,S,Canon EOS 70D - 40mm,1,Basile PETIT,.jpg,2ad968ff94872998,1940086,/Volumes/EXT DATA/IDMB/derived/Bombus/collection/images/ARLY_0001_S_1.jpg,OK,
ARLY_0001_S_2,ARLY_0001,S,Canon EOS 70D - 40mm,2,Basile PETIT,.jpg,ae0a9c84fdb42793,1941157,/Volumes/EXT DATA/IDMB/derived/Bombus/collection/images/ARLY_0001_S_2.jpg,OK,
ARLY_0001_S_3,ARLY_0001,S,Canon EOS 70D - 40mm,3,Basile PETIT,.jpg,4e55a04b3f9dfa1a,1920140,/Volumes/EXT DATA/IDMB/derived/Bombus/collection/images/ARLY_0001_S_3.jpg,OK,
ARLY_0001_S_4,ARLY_0001,S,Canon EOS 70D - 40mm,4,Basile PETIT,.jpg,925d2cf2dbec0858,2107755,/Volumes/EXT DATA/IDMB/derived/Bombus/collection/images/ARLY_0001_S_4.jpg,OK,
ARLY_0001_S_5,ARLY_0001,S,Canon EOS 70D - 40mm,5,Basile PETIT,.jpg,217dd625251a951a,2167618,/Volumes/EXT DATA/IDMB/derived/Bombus/collection/images/ARLY_0001_S_5.jpg,OK,
ARLY_0004_P_1,ARLY_0004,P,Canon EOS 70D - 40mm,1,Basile PETIT,.jpg,b31baa711c2715fa,1460897,/Volumes/EXT DATA/IDMB/derived/Bombus/collection/images/ARLY_0004_P_1.jpg,OK,
ARLY_0004_P_2,ARLY_0004,P,Canon EOS 70D - 40mm,2,Basile PETIT,.jpg,93e661cf4d65a246,1452273,/Volumes/EXT DATA/IDMB/derived/Bombus/collection/images/ARLY_0004_P_2.jpg,OK,
ARLY_0004_P_3,ARLY_0004,P,Canon EOS 70D - 40mm,3,Basile PETIT,.jpg,66fa71d4ec28964b,1478512,/Volumes/EXT DATA/IDMB/derived/Bombus/collection/images/ARLY_0004_P_3.jpg,OK,
ARLY_0004_P_4,ARLY_0004,P,Canon EOS 70D - 40mm,4,Basile PETIT,.jpg,d8865a7d3b9b1e8f,1469692,/Volumes/EXT DATA/IDMB/derived/Bombus/collection/images/ARLY_0004_P_4.jpg,OK,
ARLY_0004_P_5,ARLY_0004,P,Canon EOS 70D - 40mm,5,Basile PETIT,.jpg,b2c6f6d09fcc571d,1435881,/Volumes/EXT DATA/IDMB/derived/Bombus/collection/images/ARLY_0004_P_5.jpg,OK,
ARLY_0004_S_1,ARLY_0004,S,Canon EOS 70D - 40mm,1,Basile PETIT,.jpg,1603f3d19fa71610,2101033,/Volumes/EXT DATA/IDMB/derived/Bombus/collection/images/ARLY_0004_S_1.jpg,OK,
