photo_id,auto_status,reviewed_status
ARLY_0001_P_1,FAILED,FAILED
ARLY_0001_P_2,FAILED,FAILED
ARLY_0001_P_3,FAILED,FAILED
ARLY_0001_P_4,FAILED,FAILED
ARLY_0001_P_5,FAILED,FAILED
ARLY_0001_S_1,SUSPECT,SUSPECT
ARLY_0001_S_2,FAILED,FAILED
ARLY_0001_S_3,OK,OK
ARLY_0001_S_4,FAILED,FAILED
ARLY_0001_S_5,FAILED,FAILED
ARLY_0004_P_1,FAILED,FAILED
ARLY_0004_P_2,FAILED,FAILED
ARLY_0004_P_3,FAILED,FAILED
ARLY_0004_P_4,FAILED,FAILED
ARLY_0004_P_5,FAILED,FAILED
ARLY_0004_S_1,SUSPECT,SUSPECT
ARLY_0004_S_2,FAILED,FAILED
ARLY_0004_S_3,OK,OK
ARLY_0004_S_4,OK,OK
ARLY_0005_P_1,OK,OK
ARLY_0005_P_2,OK,OK
ARLY_0005_P_3,FAILED,FAILED
ARLY_0005_P_4,FAILED,FAILED
ARLY_0005_P_5,FAILED,FAILED
ARLY_0005_S_1,SUSPECT,SUSPECT
ARLY_0005_S_2,OK,OK
ARLY_0005_S_3,FAILED,FAILED
ARLY_0005_S_4,FAILED,FAILED
ARLY_0005_S_5,FAILED,FAILED
ARLY_0006_P_1,OK,OK
ARLY_0006_P_2,OK,OK
ARLY_0006_P_3,OK,OK
ARLY_0006_S_1,OK,OK
ARLY_0006_S_2,OK,OK
ARLY_0006_S_3,OK,OK
ARLY_0007_P_1,OK,OK
ARLY_0007_P_2,OK,OK
ARLY_0007_P_3,OK,OK
ARLY_0007_S_1,OK,OK
ARLY_0007_S_2,OK,OK
ARLY_0008_P_1,OK,OK
ARLY_0008_P_2,OK,OK
ARLY_0008_P_3,OK,OK
ARLY_0008_S_1,OK,OK
ARLY_0008_S_2,OK,OK
ARLY_0008_S_3,OK,OK
ARLY_0009_P_1,OK,OK
ARLY_0009_P_2,OK,OK
ARLY_0009_P_3,OK,OK
ARLY_0009_S_1,OK,OK
ARLY_0009_S_2,OK,OK
ARLY_0009_S_3,OK,OK
ARLY_0010_P_1,OK,OK
ARLY_0010_P_2,OK,OK
ARLY_0010_P_3,OK,OK
ARLY_0010_S_1,OK,OK
ARLY_0010_S_2,OK,OK
ARLY_0010_S_3,OK,OK
ARLY_0011_P_1,OK,OK
ARLY_0011_P_2,OK,OK
ARLY_0011_P_3,OK,OK
ARLY_0011_S_1,OK,OK
ARLY_0011_S_2,OK,OK
ARLY_0011_S_3,OK,OK
ARLY_0012_P_1,OK,OK
ARLY_0012_P_2,OK,OK
ARLY_0012_P_3,OK,OK
ARLY_0012_S_1,OK,OK
ARLY_0012_S_2,OK,OK
ARLY_0012_S_3,OK,OK
ARLY_0013_P_1,OK,OK
ARLY_0013_P_2,OK,OK
ARLY_0013_P_3,OK,OK
ARLY_0013_S_1,OK,OK
ARLY_0013_S_2,FAILED,FAILED
ARLY_0013_S_3,OK,OK
ARLY_0014_P_1,OK,OK
ARLY_0014_P_2,OK,OK
ARLY_0014_P_3,OK,OK
ARLY_0014_S_1,OK,OK
ARLY_0014_S_2,OK,OK
ARLY_0014_S_3,OK,OK
ARLY_0015_P_1,OK,OK
ARLY_0015_P_2,OK,OK
ARLY_0015_P_3,OK,OK
ARLY_0015_S_1,OK,OK
ARLY_0015_S_2,OK,OK
ARLY_0015_S_3,OK,OK
ARLY_0016_P_1,FAILED,FAILED
ARLY_0016_P_2,FAILED,FAILED
ARLY_0016_P_3,FAILED,FAILED
ARLY_0016_P_4,FAILED,FAILED
ARLY_0016_P_5,FAILED,FAILED
ARLY_0016_S_1,FAILED,FAILED
ARLY_0016_S_2,FAILED,FAILED
ARLY_0016_S_3,SUSPECT,SUSPECT
ARLY_0016_S_4,FAILED,FAILED
ARLY_0016_S_5,FAILED,FAILED
ARLY_0028_P_1,OK,OK
ARLY_0028_P_2,OK,OK
ARLY_0028_P_3,OK,OK
ARLY_0028_S_1,OK,OK
ARLY_0028_S_2,OK,OK
ARLY_0028_S_3,OK,OK
ARLY_0029_P_1,OK,OK
ARLY_0029_P_2,OK,OK
ARLY_0029_P_3,OK,OK
ARLY_0029_S_1,OK,OK
ARLY_0029_S_2,OK,OK
ARLY_0029_S_3,OK,OK
ARLY_0036_P_1,OK,OK
ARLY_0036_P_2,OK,OK
ARLY_0036_P_3,OK,OK
ARLY_0036_S_1,OK,OK
ARLY_0036_S_2,OK,OK
ARLY_0036_S_3,OK,OK
ARLY_0037_P_1,OK,OK
ARLY_0037_P_2,OK,OK
ARLY_0037_P_3,OK,OK
ARLY_0037_S_1,OK,OK
ARLY_0037_S_2,OK,OK
ARLY_0037_S_3,OK,OK
ARLY_0038_P_1,FAILED,FAILED
ARLY_0038_P_2,FAILED,FAILED
ARLY_0038_P_3,FAILED,FAILED
ARLY_0038_P_4,FAILED,FAILED
ARLY_0038_P_5,FAILED,FAILED
ARLY_0049_P_1,OK,OK
ARLY_0049_P_2,OK,OK
ARLY_0049_S_1,OK,OK
ARLY_0049_S_2,OK,OK
ARLY_0049_S_3,OK,OK
ARLY_0050_P_1,FAILED,FAILED
ARLY_0050_P_2,FAILED,FAILED
ARLY_0050_P_3,FAILED,FAILED
ARLY_0050_S_1,FAILED,FAILED
ARLY_0050_S_2,FAILED,FAILED
ARLY_0050_S_3,FAILED,FAILED
ARLY_0054_P_1,FAILED,FAILED
ARLY_0054_P_2,FAILED,FAILED
ARLY_0054_P_3,SUSPECT,SUSPECT
ARLY_0054_P_4,FAILED,FAILED
ARLY_0054_P_5,FAILED,FAILED
ARLY_0054_S_1,SUSPECT,SUSPECT
ARLY_0054_S_2,FAILED,FAILED
ARLY_0054_S_3,OK,OK
ARLY_0054_S_4,SUSPECT,SUSPECT
ARLY_0054_S_5,FAILED,FAILED
ARLY_0055_P_1,FAILED,FAILED
ARLY_0055_P_2,FAILED,FAILED
ARLY_0055_P_3,FAILED,FAILED
ARLY_0055_P_4,FAILED,FAILED
ARLY_0055_P_5,FAILED,FAILED
ARLY_0055_S_1,FAILED,FAILED
ARLY_0055_S_2,FAILED,FAILED
ARLY_0055_S_3,FAILED,FAILED
ARLY_0055_S_4,FAILED,FAILED
ARLY_0055_S_5,FAILED,FAILED
ARLY_0055_S_6,FAILED,FAILED
ARLY_PRAT_0001_P_1,OK,OK
ARLY_PRAT_0001_P_2,OK,OK
ARLY_PRAT_0001_S_1,OK,OK
ARLY_PRAT_0001_S_2,OK,OK
ARLY_PRAT_0001_S_3,OK,OK
ARLY_PRAT_0002_P_1,OK,OK
ARLY_PRAT_0002_P_2,OK,OK
ARLY_PRAT_0002_S_1,OK,OK
ARLY_PRAT_0002_S_2,OK,OK
ARLY_PRAT_0002_S_3,OK,OK
ARLY_PRAT_0003_P_1,OK,OK
ARLY_PRAT_0003_P_2,FAILED,FAILED
ARLY_PRAT_0003_S_1,OK,OK
ARLY_PRAT_0003_S_2,OK,OK
ARLY_PRAT_0003_S_3,OK,OK
ARLY_PRAT_0004_P_1,OK,OK
ARLY_PRAT_0004_P_2,OK,OK
ARLY_PRAT_0004_S_1,OK,OK
ARLY_PRAT_0004_S_2,OK,OK
ARLY_PRAT_0004_S_3,OK,OK
ARLY_PRAT_0005_P_1,OK,OK
ARLY_PRAT_0005_P_2,OK,OK
ARLY_PRAT_0005_S_1,OK,OK
ARLY_PRAT_0005_S_2,OK,OK
ARLY_PRAT_0005_S_3,OK,OK
ARLY_PRAT_0006_P_1,OK,OK
ARLY_PRAT_0006_P_2,OK,OK
ARLY_PRAT_0006_S_2,OK,OK
ARLY_PRAT_0006_S_3,OK,OK
ARLY_PRAT_0007_P_1,OK,OK
ARLY_PRAT_0007_P_2,OK,OK
ARLY_PRAT_0007_S_1,OK,OK
ARLY_PRAT_0007_S_2,OK,OK
ARLY_PRAT_0007_S_3,OK,OK
ARLY_PRAT_0008_P_1,OK,OK
ARLY_PRAT_0008_P_2,OK,OK
ARLY_PRAT_0008_S_2,OK,OK
ARLY_PRAT_0008_S_3,OK,OK
ARLY_PRAT_0009_P_1,OK,OK
ARLY_PRAT_0009_P_2,OK,OK
ARLY_PRAT_0009_S_1,OK,OK
ARLY_PRAT_0009_S_2,OK,OK
ARLY_PRAT_0009_S_3,OK,OK
ARLY_PRAT_0010_P_1,OK,OK
ARLY_PRAT_0010_P_2,OK,OK
ARLY_PRAT_0010_S_1,OK,OK
ARLY_PRAT_0010_S_2,OK,OK
ARLY_PRAT_0010_S_3,OK,OK
ARLY_PRAT_0011_P_1,OK,OK
ARLY_PRAT_0011_P_2,OK,OK
ARLY_PRAT_0011_S_1,OK,OK
ARLY_PRAT_0011_S_2,OK,OK
ARLY_PRAT_0012_P_1,OK,OK
ARLY_PRAT_0012_P_2,OK,OK
ARLY_PRAT_0012_S_1,OK,OK
ARLY_PRAT_0012_S_2,OK,OK
ARLY_PRAT_0012_S_3,OK,OK
ARLY_PRAT_0013_P_1,OK,OK
ARLY_PRAT_0013_P_2,OK,OK
ARLY_PRAT_0013_S_1,OK,OK
ARLY_PRAT_0013_S_2,OK,OK
ARLY_PRAT_0014_P_1,OK,OK
ARLY_PRAT_0014_P_2,OK,OK
ARLY_PRAT_0014_S_1,OK,OK
ARLY_PRAT_0014_S_2,OK,OK
ARLY_PRAT_0014_S_3,OK,OK
ARLY_PRAT_0015_P_1,OK,OK
ARLY_PRAT_0015_P_2,OK,OK
ARLY_PRAT_0015_S_1,OK,OK
ARLY_PRAT_0015_S_2,OK,OK
ARLY_PRAT_0015_S_3,OK,OK
ARLY_PRAT_0016_P_1,OK,OK
ARLY_PRAT_0016_P_2,OK,OK
ARLY_PRAT_0016_S_1,OK,OK
ARLY_PRAT_0016_S_2,OK,OK
ARLY_PRAT_0016_S_3,OK,OK
ARLY_PRAT_0017_P_1,OK,OK
ARLY_PRAT_0017_P_2,OK,OK
ARLY_PRAT_0017_S_1,OK,OK
ARLY_PRAT_0017_S_2,OK,OK
ARLY_PRAT_0017_S_3,OK,OK
ARLY_PRAT_0018_P_1,OK,OK
ARLY_PRAT_0018_P_2,OK,OK
ARLY_PRAT_0018_S_1,OK,OK
ARLY_PRAT_0018_S_2,OK,OK
ARLY_PRAT_0018_S_3,OK,OK
ARLY_PRAT_0019_P_1,OK,OK
ARLY_PRAT_0019_P_2,OK,OK
ARLY_PRAT_0019_S_1,OK,OK
ARLY_PRAT_0019_S_2,OK,OK
ARLY_PRAT_0019_S_3,OK,OK
ARLY_PRAT_0020_P_1,OK,OK
ARLY_PRAT_0020_P_2,OK,OK
ARLY_PRAT_0020_S_1,OK,OK
ARLY_PRAT_0020_S_2,OK,OK
ARLY_PRAT_0020_S_3,OK,OK
ARLY_PRAT_0021_P_1,OK,OK
ARLY_PRAT_0021_P_2,OK,OK
ARLY_PRAT_0021_S_1,OK,OK
ARLY_PRAT_0021_S_2,OK,OK
ARLY_PRAT_0021_S_3,OK,OK
ARLY_PRAT_0022_P_1,OK,OK
ARLY_PRAT_0022_P_2,OK,OK
ARLY_PRAT_0022_S_1,OK,OK
ARLY_PRAT_0022_S_2,OK,OK
ARLY_PRAT_0022_S_3,OK,OK
ARLY_PRAT_0023_P_1,OK,OK
