image_id,specimen_id,split,status,error_reason,confidence,n_detections,x1,y1,x2,y2,x3,y3,x4,y4,processing_time_s,processed_at
622cf37f9463bd75,FR15ABOM150820018,train,OK,,0.9033,2,0.61970669,0.56472677,0.62324655,0.41706312,0.35836059,0.40577424,0.35482070,0.55343789,1.4909,2026-08-25T21:46:19+00:00
54838c3f42c9cd04,FR15ABOM150820018,train,OK,,0.9393,1,0.61904275,0.57287812,0.62173390,0.42729741,0.35662791,0.41858512,0.35393676,0.56416583,0.2023,2026-08-25T21:46:19+00:00
23847567d6cc4c3f,FR15ABOM150820018,train,OK,,0.7539,2,0.63710052,0.48097834,0.63518631,0.37945071,0.31351355,0.38286221,0.31542778,0.48438984,0.1611,2026-08-25T21:46:20+00:00
415f3ba1a049b9e1,FR15ABOM150820018,train,OK,,0.9404,1,0.64925039,0.50220990,0.64993638,0.39442042,0.30774522,0.39319536,0.30705917,0.50098485,0.1565,2026-08-25T21:46:20+00:00
af0c75d9759875f5,FR15ABOM150820018,train,OK,,0.9515,1,0.64341861,0.46786192,0.64474028,0.36151230,0.30271196,0.35912126,0.30139026,0.46547091,0.1997,2026-08-25T21:46:20+00:00
90054c44163f685a,FR15ABOM170821029,train,OK,,0.9510,1,0.64632177,0.56820756,0.64710653,0.40700445,0.36760494,0.40458572,0.36682025,0.56578887,0.2227,2026-08-25T21:46:20+00:00
5f275ce47bf1aa6e,FR15ABOM170821029,train,OK,,0.9631,1,0.64420521,0.57865286,0.64653879,0.41613474,0.36712760,0.40900227,0.36479402,0.57152033,0.2115,2026-08-25T21:46:20+00:00
ed5f2c84a7ea30c8,FR15ABOM170821029,train,OK,,0.9477,1,0.65763462,0.58105171,0.65504694,0.46840322,0.30969557,0.47286570,0.31228328,0.58551419,0.1778,2026-08-25T21:46:21+00:00
e77bf19de662af84,FR15ABOM170821029,train,OK,,0.9093,2,0.61227173,0.60088289,0.61023825,0.48810896,0.26554155,0.49160504,0.26757503,0.60437894,0.1588,2026-08-25T21:46:21+00:00
8149584fdf26097b,FR15ABOM170821029,train,OK,,0.9683,1,0.56843388,0.62592763,0.56771719,0.51197970,0.21362957,0.51323241,0.21434624,0.62718034,0.1804,2026-08-25T21:46:21+00:00
303af0e2f7cbcfe6,FR15ABOM210821137,train,OK,,0.9399,1,0.65070212,0.59119749,0.65584975,0.42538995,0.36279601,0.40921563,0.35764837,0.57502317,0.3449,2026-08-25T21:46:21+00:00
5fee0d0f0b51942e,FR15ABOM210821137,train,OK,,0.9252,1,0.64539796,0.59178334,0.64901185,0.43138427,0.35452697,0.41958869,0.35091305,0.57998776,0.2345,2026-08-25T21:46:21+00:00
d820dd849dfa6a31,FR15ABOM210821137,train,OK,,0.9559,1,0.60719407,0.52173841,0.61009067,0.40618557,0.24946098,0.40110058,0.24656439,0.51665342,0.1757,2026-08-25T21:46:22+00:00
e7d6997e4d7df086,FR15ABOM210821137,train,OK,,0.9475,1,0.62932473,0.52836090,0.63289863,0.41323003,0.26489297,0.40680420,0.26131904,0.52193511,0.2223,2026-08-25T21:46:22+00:00
3d1dc6a9224ba360,FR15ABOM210821137,train,OK,,0.9539,1,0.56951368,0.50878733,0.57398319,0.39395982,0.20717975,0.38592875,0.20271018,0.50075620,0.1711,2026-08-25T21:46:22+00:00
92c3ebabbe6eb62e,FR15ABOM210821139,train,OK,,0.9190,1,0.65717214,0.56110758,0.65563273,0.40477178,0.37295333,0.40972030,0.37449273,0.56605607,0.1937,2026-08-25T21:46:22+00:00
cc268e948186c45a,FR15ABOM210821139,train,OK,,0.9387,1,0.64826632,0.55734640,0.65194416,0.40192631,0.36942616,0.39004105,0.36574832,0.54546112,0.1993,2026-08-25T21:46:22+00:00
bcf4d5841967ddcd,FR15ABOM210821139,train,OK,,0.8623,1,0.62130767,0.49663901,0.61995435,0.39291880,0.29402572,0.39531097,0.29537907,0.49903119,0.1532,2026-08-25T21:46:23+00:00
3b9b4b55a1fad9b1,FR15ABOM210821139,train,OK,,0.6047,1,0.65150625,0.50829977,0.64867109,0.40738481,0.32541832,0.41249323,0.32825348,0.51340818,0.1563,2026-08-25T21:46:23+00:00
d59ab6fb2a645417,FR15ABOM210821139,train,OK,,0.9444,1,0.59476703,0.52996796,0.59627944,0.42266366,0.25553691,0.41996226,0.25402451,0.52726656,0.1849,2026-08-25T21:46:23+00:00
b2513a410f9c7db4,FR15ABOM210821165,train,OK,,0.9765,1,0.65827614,0.58621711,0.65975106,0.41976041,0.36874714,0.41517648,0.36727229,0.58163321,0.2282,2026-08-25T21:46:23+00:00
09a0ba84119c668e,FR15ABOM210821165,train,OK,,0.9821,1,0.66012365,0.57890397,0.65859270,0.41086221,0.36869499,0.41555750,0.37022594,0.58359927,0.2116,2026-08-25T21:46:23+00:00
16a5e607bbb091de,FR15ABOM210821165,train,OK,,0.9011,1,0.64501745,0.56235105,0.64599770,0.44509456,0.28919062,0.44341657,0.28821030,0.56067306,0.1678,2026-08-25T21:46:23+00:00
4e699793fe35d096,FR15ABOM210821165,train,OK,,0.9653,1,0.61820501,0.55535120,0.61497104,0.44099826,0.26328662,0.44659272,0.26652056,0.56094569,0.1493,2026-08-25T21:46:24+00:00
bc9989011864927c,FR15ABOM210821165,train,OK,,0.9608,1,0.61633456,0.56071603,0.61405176,0.44826362,0.26686448,0.45222819,0.26914731,0.56468064,0.1497,2026-08-25T21:46:24+00:00
917e0938a6c8c870,FR15ABOM210821171,train,OK,,0.9235,1,0.66511339,0.58512735,0.67141455,0.42228100,0.39004520,0.40292582,0.38374400,0.56577224,0.1769,2026-08-25T21:46:24+00:00
221c491db00448f5,FR15ABOM210821171,train,OK,,0.9770,1,0.65255606,0.58668369,0.66006160,0.42221659,0.37711278,0.39926109,0.36960724,0.56372821,0.1656,2026-08-25T21:46:24+00:00
7c0bebb486c52ad1,FR15ABOM210821171,train,OK,,0.9139,1,0.58334160,0.55387855,0.58319396,0.44180068,0.24009545,0.44205499,0.24024311,0.55413288,0.1497,2026-08-25T21:46:24+00:00
d9f6d6fc75935966,FR15ABOM210821171,train,OK,,0.9440,1,0.58031207,0.56288803,0.58314478,0.45231646,0.23861127,0.44735149,0.23577854,0.55792302,0.1451,2026-08-25T21:46:24+00:00
dd47f932e32ab106,FR15ABOM210821171,train,OK,,0.9525,1,0.56154013,0.56505483,0.56425905,0.45602185,0.22900891,0.45131937,0.22629002,0.56035233,0.1151,2026-08-25T21:46:25+00:00
