specimen_id,species,caste,is_labeled,n_images,splits_present,in_identification_csv,in_images
1036L,sylvarum,worker,True,5,train,True,True
15300,cryptarum,worker,True,0,,True,False
15G2021-1200,sylvarum,drone,True,5,train,True,True
15G2021-1826,sylvarum,worker,True,5,train,True,True
15L2021-1420,rupestris,drone,True,5,train,True,True
15L2021-1483,soroeensis,drone,True,5,train,True,True
15L2021-1498,rupestris,drone,True,5,train,True,True
15L2021-1499,rupestris,drone,True,5,train,True,True
15L2021-1514,rupestris,drone,True,5,train,True,True
15L2021-1546,rupestris,drone,True,5,train,True,True
15L2021-1585,sylvarum,drone,True,5,train,True,True
15L2021-1731,rupestris,drone,True,5,train,True,True
15L2021-1732,soroeensis,drone,True,5,train,True,True
15L2021-1739,soroeensis,drone,True,5,train,True,True
15L2021-1740,soroeensis,drone,True,5,train,True,True
15L2021-1741,soroeensis,drone,True,5,train,True,True
15L2021-1742,soroeensis,drone,True,5,train,True,True
15L2021-1743,soroeensis,drone,True,5,train,True,True
15L2021-1748,pomorum,drone,True,5,train,True,True
15L2021-1757,rupestris,drone,True,5,train,True,True
15L2021-1758,rupestris,drone,True,5,train,True,True
2003.003,terrestris,queen,True,0,,True,False
2006.0473,lucorum,drone,True,0,,True,False
2007.0008,pratorum,drone,True,5,train,True,True
2007.0712,rupestris,queen,True,10,train,True,True
2012.0034,sylvarum,worker,True,5,train,True,True
2013.0265,pratorum,drone,True,5,train,True,True
2016.8252,terrestris,drone,True,0,,True,False
2016.8462,terrestris,queen,True,0,,True,False
2017.06254,sylvarum,worker,True,5,train,True,True
2017.06494,terrestris,drone,True,0,,True,False
2017.07639,terrestris,queen,True,0,,True,False
2017.07643,terrestris,drone,True,0,,True,False
2017.07656,terrestris,drone,True,0,,True,False
2017.07755,terrestris,queen,True,0,,True,False
2017.07838,terrestris,worker,True,0,,True,False
2017:06526,terrestris,drone,True,0,,True,False
2019.00316,pratorum,worker,True,5,train,True,True
2019.01788,pratorum,queen,True,5,train,True,True
2019.02059,pratorum,drone,True,5,train,True,True
2019.02073,pratorum,drone,True,5,train,True,True
2019.02080,pratorum,drone,True,5,train,True,True
2019.02118,pratorum,queen,True,5,train,True,True
2019.02167,pratorum,worker,True,5,train,True,True
2019.02175,pratorum,drone,True,5,train,True,True
2019.02184,pratorum,queen,True,5,train,True,True
2019.02188,pratorum,worker,True,5,train,True,True
2020-00471,rupestris,drone,True,0,,True,False
2020.00254,pyrenaeus,drone,True,5,train,True,True
2020.00294,soroeensis,worker,True,5,train,True,True
2020.00301,pratorum,drone,True,5,train,True,True
2020.00339,soroeensis,worker,True,5,train,True,True
2020.00377,ruderarius,worker,True,5,train,True,True
2020.00410,soroeensis,worker,True,5,train,True,True
2020.00449,soroeensis,worker,True,5,train,True,True
2020.00470,rupestris,drone,True,6,train,True,True
2020.00471,,,False,6,train,False,True
2020.03706,terrestris,drone,True,0,,True,False
2020.03886,sylvarum,worker,True,5,train,True,True
2020.03926,pratorum,drone,True,5,train,True,True
2020.03930,sylvarum,drone,True,5,train,True,True
2020.03936,pyrenaeus,drone,True,5,train,True,True
2020.04010,sylvarum,worker,True,5,train,True,True
2020.04013,sylvarum,worker,True,5,train,True,True
2020.04044,sylvarum,worker,True,5,train,True,True
2020.06110,lucorum,drone,True,0,,True,False
2020.06114,lucorum,drone,True,0,,True,False
2020.06124,lucorum,drone,True,0,,True,False
2020.06138,lucorum,drone,True,0,,True,False
2020.06145,lucorum,drone,True,0,,True,False
2020.06207,soroeensis,drone,True,5,train,True,True
2020.06243,rupestris,drone,True,6,train,True,True
2020.06244,rupestris,drone,True,6,train,True,True
2020.06348,sylvarum,drone,True,5,train,True,True
20A.07897,sylvarum,queen,True,5,train,True,True
