tps_id,photo_id,inv_id,species,caste,device,device_tag
1,WB1_23_0001_S_1,WB1_23_0001,soroeensis,,LG K40,S1
2,WB1_23_0001_S_2,WB1_23_0001,soroeensis,,LG K40,S2
3,WB1_23_0001_S_3,WB1_23_0001,soroeensis,,LG K40,S3
4,WB1_23_0002_S_1,WB1_23_0002,ruderarius,,LG K40,S1
5,WB1_23_0002_S_2,WB1_23_0002,ruderarius,,LG K40,S2
6,WB1_23_0002_S_3,WB1_23_0002,ruderarius,,LG K40,S3
7,WB1_23_0004_S_1,WB1_23_0004,pyrenaeus,,LG K40,S1
8,WB1_23_0004_S_2,WB1_23_0004,pyrenaeus,,LG K40,S2
9,WB1_23_0004_S_3,WB1_23_0004,pyrenaeus,,LG K40,S3
10,WB1_23_0005_S_2,WB1_23_0005,ruderarius,,LG K40,S2
11,WB1_23_0005_S_3,WB1_23_0005,ruderarius,,LG K40,S3
12,WB1_23_0006_S_1,WB1_23_0006,sichelii,,LG K40,S1
13,WB1_23_0006_S_2,WB1_23_0006,sichelii,,LG K40,S2
14,WB1_23_0006_S_3,WB1_23_0006,sichelii,,LG K40,S3
15,WB1_23_0007_S_2,WB1_23_0007,soroeensis,,LG K40,S2
16,WB1_23_0007_S_3,WB1_23_0007,soroeensis,,LG K40,S3
17,WB1_23_0008_S_1,WB1_23_0008,soroeensis,,LG K40,S1
18,WB1_23_0008_S_2,WB1_23_0008,soroeensis,,LG K40,S2
19,WB1_23_0008_S_3,WB1_23_0008,soroeensis,,LG K40,S3
20,WB1_23_0009_S_1,WB1_23_0009,rupestris,,LG K40,S1
21,WB1_23_0009_S_2,WB1_23_0009,rupestris,,LG K40,S2
22,WB1_23_0009_S_3,WB1_23_0009,rupestris,,LG K40,S3
23,WB1_23_0010_S_3,WB1_23_0010,ruderarius,,LG K40,S3
24,WB1_23_0016_S_2,WB1_23_0016,ruderarius,,Huawai mate 10 lite,S2
25,WB1_23_0017_S_2,WB1_23_0017,sichelii,,Huawai mate 10 lite,S2
26,WB1_23_0018_S_1,WB1_23_0018,sichelii,,Huawai mate 10 lite,S1
27,WB1_23_0019_S_1,WB1_23_0019,sichelii,,Huawai mate 10 lite,S1
28,WB1_23_0019_S_2,WB1_23_0019,sichelii,,Huawai mate 10 lite,S2
29,WB1_23_0020_S_1,WB1_23_0020,ruderarius,,Huawai mate 10 lite,S1
30,WB1_23_0020_S_2,WB1_23_0020,ruderarius,,Huawai mate 10 lite,S2
31,WB1_23_0020_S_3,WB1_23_0020,ruderarius,,Huawai mate 10 lite,S3
32,WB1_23_0021_S_1,WB1_23_0021,ruderarius,,Huawai mate 10 lite,S1
33,WB1_23_0021_S_2,WB1_23_0021,ruderarius,,Huawai mate 10 lite,S2
34,WB1_23_0021_S_3,WB1_23_0021,ruderarius,,Huawai mate 10 lite,S3
35,WB1_23_0022_S_1,WB1_23_0022,ruderarius,,Huawai mate 10 lite,S1
36,WB1_23_0022_S_2,WB1_23_0022,ruderarius,,Huawai mate 10 lite,S2
37,WB1_23_0022_S_3,WB1_23_0022,ruderarius,,Huawai mate 10 lite,S3
38,WB1_23_0023_S_1,WB1_23_0023,pyrenaeus,,Huawai mate 10 lite,S1
39,WB1_23_0023_S_2,WB1_23_0023,pyrenaeus,,Huawai mate 10 lite,S2
40,WB1_23_0023_S_3,WB1_23_0023,pyrenaeus,,Huawai mate 10 lite,S3
41,WB1_23_0024_S_1,WB1_23_0024,soroeensis,,Huawai mate 10 lite,S1
42,WB1_23_0024_S_2,WB1_23_0024,soroeensis,,Huawai mate 10 lite,S2
43,WB1_23_0024_S_3,WB1_23_0024,soroeensis,,Huawai mate 10 lite,S3
44,WB1_23_0025_S_1,WB1_23_0025,soroeensis,,Huawai mate 10 lite,S1
45,WB1_23_0025_S_2,WB1_23_0025,soroeensis,,Huawai mate 10 lite,S2
46,WB1_23_0025_S_3,WB1_23_0025,soroeensis,,Huawai mate 10 lite,S3
47,WB1_23_0026_S_1,WB1_23_0026,wurflenii,,Huawai mate 10 lite,S1
48,WB1_23_0026_S_2,WB1_23_0026,wurflenii,,Huawai mate 10 lite,S2
49,WB1_23_0026_S_3,WB1_23_0026,wurflenii,,Huawai mate 10 lite,S3
50,WB1_23_0031_S_1,WB1_23_0031,soroeensis,,Samsung S10,S1
51,WB1_23_0031_S_2,WB1_23_0031,soroeensis,,Samsung S10,S2
52,WB1_23_0031_S_3,WB1_23_0031,soroeensis,,Samsung S10,S3
53,WB1_23_0032_S_1,WB1_23_0032,wurflenii,,Samsung S10,S1
54,WB1_23_0032_S_2,WB1_23_0032,wurflenii,,Samsung S10,S2
55,WB1_23_0032_S_3,WB1_23_0032,wurflenii,,Samsung S10,S3
56,WB1_23_0033_S_1,WB1_23_0033,sichelii,,Samsung S10,S1
57,WB1_23_0033_S_2,WB1_23_0033,sichelii,,Samsung S10,S2
58,WB1_23_0033_S_3,WB1_23_0033,sichelii,,Samsung S10,S3
59,WB1_23_0035_S_1,WB1_23_0035,monticola,,Samsung S10,S1
60,WB1_23_0035_S_2,WB1_23_0035,monticola,,Samsung S10,S2
61,WB1_23_0035_S_3,WB1_23_0035,monticola,,Samsung S10,S3
62,WB1_23_0036_S_1,WB1_23_0036,sichelii,,Samsung S10,S1
63,WB1_23_0036_S_2,WB1_23_0036,sichelii,,Samsung S10,S2
64,WB1_23_0036_S_3,WB1_23_0036,sichelii,,Samsung S10,S3
65,WB1_23_0037_S_1,WB1_23_0037,rupestris,,Samsung S10,S1
66,WB1_23_0037_S_2,WB1_23_0037,rupestris,,Samsung S10,S2
67,WB1_23_0038_S_1,WB1_23_0038,wurflenii,,Samsung S10,S1
68,WB1_23_0038_S_2,WB1_23_0038,wurflenii,,Samsung S10,S2
69,WB1_23_0038_S_3,WB1_23_0038,wurflenii,,Samsung S10,S3
70,WB1_23_0039_S_1,WB1_23_0039,ruderarius,,Samsung S10,S1
71,WB1_23_0039_S_2,WB1_23_0039,ruderarius,,Samsung S10,S2
72,WB1_23_0039_S_3,WB1_23_0039,ruderarius,,Samsung S10,S3
73,WB1_23_0040_S_1,WB1_23_0040,pyrenaeus,,Samsung S10,S1
74,WB1_23_0040_S_2,WB1_23_0040,pyrenaeus,,Samsung S10,S2
75,WB1_23_0040_S_3,WB1_23_0040,pyrenaeus,,Samsung S10,S3
76,WB1_23_0062_S_1,WB1_23_0062,lapidarius,,Huawei P30 lite,S1
77,WB1_23_0062_S_2,WB1_23_0062,lapidarius,,Huawei P30 lite,S2
78,WB1_23_0062_S_3,WB1_23_0062,lapidarius,,Huawei P30 lite,S3
79,WB1_23_0063_S_1,WB1_23_0063,lapidarius,,Huawei P30 lite,S1
80,WB1_23_0063_S_2,WB1_23_0063,lapidarius,,Huawei P30 lite,S2
81,WB1_23_0063_S_3,WB1_23_0063,lapidarius,,Huawei P30 lite,S3
