photo_id,inv_id,status,error_reason,aspect_ratio,output_path,processing_time_s,processed_at
WB1_23_0001_S_1,WB1_23_0001,OK,,2.2418,/Users/superbg/Documents/IEES/idmybee/data/Bombus/terrain/extraction/light/images/WB1_23_0001_S_1.jpg,0.1741,2026-09-10T11:30:41+00:00
WB1_23_0001_S_2,WB1_23_0001,OK,,2.3153,/Users/superbg/Documents/IEES/idmybee/data/Bombus/terrain/extraction/light/images/WB1_23_0001_S_2.jpg,0.1793,2026-09-10T11:30:41+00:00
WB1_23_0001_S_3,WB1_23_0001,OK,,2.2679,/Users/superbg/Documents/IEES/idmybee/data/Bombus/terrain/extraction/light/images/WB1_23_0001_S_3.jpg,0.1663,2026-09-10T11:30:41+00:00
WB1_23_0002_S_1,WB1_23_0002,OK,,2.3062,/Users/superbg/Documents/IEES/idmybee/data/Bombus/terrain/extraction/light/images/WB1_23_0002_S_1.jpg,0.1790,2026-09-10T11:30:41+00:00
WB1_23_0002_S_2,WB1_23_0002,OK,,2.3793,/Users/superbg/Documents/IEES/idmybee/data/Bombus/terrain/extraction/light/images/WB1_23_0002_S_2.jpg,0.1074,2026-09-10T11:30:41+00:00
WB1_23_0002_S_3,WB1_23_0002,OK,,2.3273,/Users/superbg/Documents/IEES/idmybee/data/Bombus/terrain/extraction/light/images/WB1_23_0002_S_3.jpg,0.1365,2026-09-10T11:30:41+00:00
WB1_23_0003_S_1,WB1_23_0003,OK,,1.8349,/Users/superbg/Documents/IEES/idmybee/data/Bombus/terrain/extraction/light/images/WB1_23_0003_S_1.jpg,0.1697,2026-09-10T11:30:42+00:00
WB1_23_0003_S_2,WB1_23_0003,OK,,1.8515,/Users/superbg/Documents/IEES/idmybee/data/Bombus/terrain/extraction/light/images/WB1_23_0003_S_2.jpg,0.1565,2026-09-10T11:30:42+00:00
WB1_23_0003_S_3,WB1_23_0003,OK,,1.9022,/Users/superbg/Documents/IEES/idmybee/data/Bombus/terrain/extraction/light/images/WB1_23_0003_S_3.jpg,0.1759,2026-09-10T11:30:42+00:00
WB1_23_0004_S_1,WB1_23_0004,OK,,2.2251,/Users/superbg/Documents/IEES/idmybee/data/Bombus/terrain/extraction/light/images/WB1_23_0004_S_1.jpg,0.1803,2026-09-10T11:30:42+00:00
WB1_23_0004_S_2,WB1_23_0004,OK,,2.2058,/Users/superbg/Documents/IEES/idmybee/data/Bombus/terrain/extraction/light/images/WB1_23_0004_S_2.jpg,0.1593,2026-09-10T11:30:42+00:00
WB1_23_0004_S_3,WB1_23_0004,OK,,2.1647,/Users/superbg/Documents/IEES/idmybee/data/Bombus/terrain/extraction/light/images/WB1_23_0004_S_3.jpg,0.1000,2026-09-10T11:30:42+00:00
WB1_23_0005_S_1,WB1_23_0005,OK,,2.3601,/Users/superbg/Documents/IEES/idmybee/data/Bombus/terrain/extraction/light/images/WB1_23_0005_S_1.jpg,0.1711,2026-09-10T11:30:43+00:00
WB1_23_0005_S_2,WB1_23_0005,OK,,2.2044,/Users/superbg/Documents/IEES/idmybee/data/Bombus/terrain/extraction/light/images/WB1_23_0005_S_2.jpg,0.1596,2026-09-10T11:30:43+00:00
WB1_23_0005_S_3,WB1_23_0005,OK,,2.0992,/Users/superbg/Documents/IEES/idmybee/data/Bombus/terrain/extraction/light/images/WB1_23_0005_S_3.jpg,0.1012,2026-09-10T11:30:43+00:00
WB1_23_0006_S_1,WB1_23_0006,OK,,2.2073,/Users/superbg/Documents/IEES/idmybee/data/Bombus/terrain/extraction/light/images/WB1_23_0006_S_1.jpg,0.1441,2026-09-10T11:30:43+00:00
WB1_23_0006_S_2,WB1_23_0006,OK,,2.0355,/Users/superbg/Documents/IEES/idmybee/data/Bombus/terrain/extraction/light/images/WB1_23_0006_S_2.jpg,0.1367,2026-09-10T11:30:43+00:00
WB1_23_0006_S_3,WB1_23_0006,OK,,2.2785,/Users/superbg/Documents/IEES/idmybee/data/Bombus/terrain/extraction/light/images/WB1_23_0006_S_3.jpg,0.1174,2026-09-10T11:30:43+00:00
WB1_23_0007_S_1,WB1_23_0007,OK,,2.1771,/Users/superbg/Documents/IEES/idmybee/data/Bombus/terrain/extraction/light/images/WB1_23_0007_S_1.jpg,0.1920,2026-09-10T11:30:43+00:00
