photo_id,inv_id,status,error_reason,aspect_ratio,output_path,processing_time_s,processed_at
WB1_23_0001_S_1,WB1_23_0001,OK,,2.2418,data/Bombus/terrain/extraction/light/images/WB1_23_0001_S_1.jpg,0.1716,2026-09-08T15:23:48+00:00
WB1_23_0001_S_2,WB1_23_0001,OK,,2.3153,data/Bombus/terrain/extraction/light/images/WB1_23_0001_S_2.jpg,0.1802,2026-09-08T15:23:48+00:00
WB1_23_0001_S_3,WB1_23_0001,OK,,2.2679,data/Bombus/terrain/extraction/light/images/WB1_23_0001_S_3.jpg,0.1679,2026-09-08T15:23:49+00:00
WB1_23_0002_S_1,WB1_23_0002,OK,,2.3062,data/Bombus/terrain/extraction/light/images/WB1_23_0002_S_1.jpg,0.2135,2026-09-08T15:23:49+00:00
WB1_23_0002_S_2,WB1_23_0002,OK,,2.3793,data/Bombus/terrain/extraction/light/images/WB1_23_0002_S_2.jpg,0.108,2026-09-08T15:23:49+00:00
WB1_23_0002_S_3,WB1_23_0002,OK,,2.3273,data/Bombus/terrain/extraction/light/images/WB1_23_0002_S_3.jpg,0.1388,2026-09-08T15:23:49+00:00
WB1_23_0003_S_1,WB1_23_0003,OK,,1.8349,data/Bombus/terrain/extraction/light/images/WB1_23_0003_S_1.jpg,0.1722,2026-09-08T15:23:49+00:00
WB1_23_0003_S_2,WB1_23_0003,OK,,1.8515,data/Bombus/terrain/extraction/light/images/WB1_23_0003_S_2.jpg,0.1584,2026-09-08T15:23:49+00:00
WB1_23_0003_S_3,WB1_23_0003,OK,,1.9022,data/Bombus/terrain/extraction/light/images/WB1_23_0003_S_3.jpg,0.1767,2026-09-08T15:23:50+00:00
WB1_23_0004_S_1,WB1_23_0004,OK,,2.2251,data/Bombus/terrain/extraction/light/images/WB1_23_0004_S_1.jpg,0.1822,2026-09-08T15:23:50+00:00
WB1_23_0004_S_2,WB1_23_0004,OK,,2.2058,data/Bombus/terrain/extraction/light/images/WB1_23_0004_S_2.jpg,0.1604,2026-09-08T15:23:50+00:00
WB1_23_0004_S_3,WB1_23_0004,OK,,2.1647,data/Bombus/terrain/extraction/light/images/WB1_23_0004_S_3.jpg,0.1012,2026-09-08T15:23:50+00:00
WB1_23_0005_S_1,WB1_23_0005,OK,,2.3601,data/Bombus/terrain/extraction/light/images/WB1_23_0005_S_1.jpg,0.1725,2026-09-08T15:23:50+00:00
WB1_23_0005_S_2,WB1_23_0005,OK,,2.2044,data/Bombus/terrain/extraction/light/images/WB1_23_0005_S_2.jpg,0.1602,2026-09-08T15:23:50+00:00
WB1_23_0005_S_3,WB1_23_0005,OK,,2.0992,data/Bombus/terrain/extraction/light/images/WB1_23_0005_S_3.jpg,0.1007,2026-09-08T15:23:50+00:00
WB1_23_0006_S_1,WB1_23_0006,OK,,2.2073,data/Bombus/terrain/extraction/light/images/WB1_23_0006_S_1.jpg,0.1451,2026-09-08T15:23:51+00:00
WB1_23_0006_S_2,WB1_23_0006,OK,,2.0355,data/Bombus/terrain/extraction/light/images/WB1_23_0006_S_2.jpg,0.136,2026-09-08T15:23:51+00:00
WB1_23_0006_S_3,WB1_23_0006,OK,,2.2785,data/Bombus/terrain/extraction/light/images/WB1_23_0006_S_3.jpg,0.1182,2026-09-08T15:23:51+00:00
WB1_23_0007_S_1,WB1_23_0007,OK,,2.1771,data/Bombus/terrain/extraction/light/images/WB1_23_0007_S_1.jpg,0.1947,2026-09-08T15:23:51+00:00
WB1_23_0007_S_2,WB1_23_0007,OK,,2.1601,data/Bombus/terrain/extraction/light/images/WB1_23_0007_S_2.jpg,0.1563,2026-09-08T15:23:51+00:00
WB1_23_0007_S_3,WB1_23_0007,OK,,1.9729,data/Bombus/terrain/extraction/light/images/WB1_23_0007_S_3.jpg,0.1688,2026-09-08T15:23:51+00:00
WB1_23_0008_S_1,WB1_23_0008,OK,,2.3355,data/Bombus/terrain/extraction/light/images/WB1_23_0008_S_1.jpg,0.123,2026-09-08T15:23:51+00:00
WB1_23_0008_S_2,WB1_23_0008,OK,,2.1035,data/Bombus/terrain/extraction/light/images/WB1_23_0008_S_2.jpg,0.1659,2026-09-08T15:23:52+00:00
WB1_23_0008_S_3,WB1_23_0008,OK,,2.4076,data/Bombus/terrain/extraction/light/images/WB1_23_0008_S_3.jpg,0.1029,2026-09-08T15:23:52+00:00
WB1_23_0009_S_1,WB1_23_0009,OK,,2.4045,data/Bombus/terrain/extraction/light/images/WB1_23_0009_S_1.jpg,0.1537,2026-09-08T15:23:52+00:00
WB1_23_0009_S_2,WB1_23_0009,OK,,2.3424,data/Bombus/terrain/extraction/light/images/WB1_23_0009_S_2.jpg,0.1105,2026-09-08T15:23:52+00:00
WB1_23_0009_S_3,WB1_23_0009,OK,,2.3229,data/Bombus/terrain/extraction/light/images/WB1_23_0009_S_3.jpg,0.1074,2026-09-08T15:23:52+00:00
WB1_23_0010_S_1,WB1_23_0010,OK,,2.6956,data/Bombus/terrain/extraction/light/images/WB1_23_0010_S_1.jpg,0.134,2026-09-08T15:23:52+00:00
WB1_23_0010_S_2,WB1_23_0010,OK,,2.5558,data/Bombus/terrain/extraction/light/images/WB1_23_0010_S_2.jpg,0.1251,2026-09-08T15:23:52+00:00
