photo_id,inv_id,status,error_reason,confidence,n_detections,x1,y1,x2,y2,x3,y3,x4,y4,processing_time_s,processed_at
WB1_23_0001_S_1,WB1_23_0001,OK,,0.8727,1,0.61869246,0.75008887,0.63001859,0.71957088,0.50830084,0.70529968,0.49697468,0.73581767,0.1581,2026-09-08T15:23:14+00:00
WB1_23_0001_S_2,WB1_23_0001,OK,,0.9051,1,0.50969052,0.77555549,0.52746016,0.73771495,0.37158361,0.71458995,0.35381395,0.75243050,0.1165,2026-09-08T15:23:14+00:00
WB1_23_0001_S_3,WB1_23_0001,OK,,0.8949,1,0.49591833,0.70582694,0.51000637,0.66996568,0.36531019,0.65200746,0.35122216,0.68786865,0.1132,2026-09-08T15:23:14+00:00
WB1_23_0002_S_1,WB1_23_0002,OK,,0.9312,1,0.56604332,0.68264747,0.54820740,0.64670527,0.40073314,0.66982514,0.41856909,0.70576739,0.1115,2026-09-08T15:23:14+00:00
WB1_23_0002_S_2,WB1_23_0002,OK,,0.9174,1,0.47752231,0.62823594,0.47540677,0.59208268,0.32236654,0.59491187,0.32448208,0.63106513,0.1099,2026-09-08T15:23:14+00:00
WB1_23_0002_S_3,WB1_23_0002,OK,,0.9281,1,0.60331023,0.66569275,0.59495938,0.63129884,0.45255077,0.64222246,0.46090165,0.67661637,0.1111,2026-09-08T15:23:14+00:00
WB1_23_0003_S_1,WB1_23_0003,OK,,0.9314,1,0.56173027,0.66114420,0.54226166,0.61572772,0.39399949,0.63580614,0.41346812,0.68122262,0.1122,2026-09-08T15:23:14+00:00
WB1_23_0003_S_2,WB1_23_0003,OK,,0.9417,1,0.53043252,0.64709967,0.51445693,0.60260010,0.36787051,0.61922556,0.38384613,0.66372514,0.1104,2026-09-08T15:23:15+00:00
WB1_23_0003_S_3,WB1_23_0003,OK,,0.9163,1,0.55487049,0.72712523,0.54084724,0.69835317,0.44347471,0.71334642,0.45749801,0.74211854,0.1104,2026-09-08T15:23:15+00:00
WB1_23_0004_S_1,WB1_23_0004,OK,,0.4589,2,0.69201100,0.58126581,0.67307866,0.54473287,0.52845186,0.56841105,0.54738414,0.60494393,0.1089,2026-09-08T15:23:15+00:00
WB1_23_0004_S_2,WB1_23_0004,OK,,0.8882,1,0.65849185,0.63879728,0.64530969,0.60351318,0.50683767,0.61985683,0.52001983,0.65514094,0.1098,2026-09-08T15:23:15+00:00
WB1_23_0004_S_3,WB1_23_0004,OK,,0.9223,1,0.54800874,0.71130925,0.54823643,0.67473298,0.40736988,0.67445600,0.40714222,0.71103227,0.1101,2026-09-08T15:23:15+00:00
WB1_23_0005_S_1,WB1_23_0005,OK,,0.9272,1,0.63703328,0.65967166,0.62152249,0.62531424,0.47725683,0.64589000,0.49276760,0.68024743,0.1122,2026-09-08T15:23:15+00:00
WB1_23_0005_S_2,WB1_23_0005,OK,,0.9409,2,0.70723563,0.69029725,0.69121933,0.64810658,0.52575040,0.66795111,0.54176670,0.71014178,0.1102,2026-09-08T15:23:15+00:00
WB1_23_0005_S_3,WB1_23_0005,OK,,0.9378,1,0.61052555,0.78190637,0.61068106,0.73985815,0.45364103,0.73967475,0.45348555,0.78172290,0.1121,2026-09-08T15:23:15+00:00
WB1_23_0006_S_1,WB1_23_0006,OK,,0.9439,1,0.63015538,0.77083743,0.64110303,0.72967845,0.47947013,0.71609634,0.46852249,0.75725532,0.1110,2026-09-08T15:23:15+00:00
WB1_23_0006_S_2,WB1_23_0006,OK,,0.9268,1,0.54851204,0.69523817,0.55530274,0.66350758,0.44039434,0.65573841,0.43360361,0.68746901,0.1113,2026-09-08T15:23:16+00:00
WB1_23_0006_S_3,WB1_23_0006,OK,,0.9231,1,0.58690703,0.56516176,0.59004855,0.53619576,0.47262648,0.53217250,0.46948496,0.56113851,0.1088,2026-09-08T15:23:16+00:00
WB1_23_0007_S_1,WB1_23_0007,OK,,0.3157,1,0.54087001,0.67568719,0.56016004,0.64018542,0.42264754,0.61658043,0.40335754,0.65208215,0.1153,2026-09-08T15:23:16+00:00
WB1_23_0007_S_2,WB1_23_0007,OK,,0.9275,1,0.50165612,0.68834639,0.51497269,0.64863431,0.36235073,0.63246596,0.34903416,0.67217809,0.1097,2026-09-08T15:23:16+00:00
WB1_23_0007_S_3,WB1_23_0007,OK,,0.9213,1,0.50313973,0.76003420,0.52043557,0.71892411,0.37613258,0.69974422,0.35883683,0.74085438,0.1087,2026-09-08T15:23:16+00:00
WB1_23_0008_S_1,WB1_23_0008,OK,,0.9208,1,0.52459991,0.71291524,0.52000105,0.68031174,0.38452694,0.68634874,0.38912582,0.71895224,0.1099,2026-09-08T15:23:16+00:00
