source_type,original_id,inv_num,inv_id,inv_name,resolved_conflict,frozen_at
terrain,WB1_23_0001,1,WB1_23_0001,WB1_23,False,2026-09-11T11:24:02
terrain,WB1_23_0002,2,WB1_23_0002,WB1_23,False,2026-09-11T11:24:02
terrain,WB1_23_0003,3,WB1_23_0003,WB1_23,False,2026-09-11T11:24:02
terrain,WB1_23_0004,4,WB1_23_0004,WB1_23,False,2026-09-11T11:24:02
terrain,WB1_23_0005,5,WB1_23_0005,WB1_23,False,2026-09-11T11:24:02
terrain,WB1_23_0006,6,WB1_23_0006,WB1_23,False,2026-09-11T11:24:02
terrain,WB1_23_0007,7,WB1_23_0007,WB1_23,False,2026-09-11T11:24:02
terrain,WB1_23_0008,8,WB1_23_0008,WB1_23,False,2026-09-11T11:24:02
terrain,WB1_23_0009,9,WB1_23_0009,WB1_23,False,2026-09-11T11:24:02
terrain,WB1_23_0010,10,WB1_23_0010,WB1_23,False,2026-09-11T11:24:02
terrain,WB1_23_0016,16,WB1_23_0016,WB1_23,False,2026-09-11T11:24:02
terrain,WB1_23_0017,17,WB1_23_0017,WB1_23,False,2026-09-11T11:24:02
terrain,WB1_23_0018,18,WB1_23_0018,WB1_23,False,2026-09-11T11:24:02
terrain,WB1_23_0019,19,WB1_23_0019,WB1_23,False,2026-09-11T11:24:02
terrain,WB1_23_0020,20,WB1_23_0020,WB1_23,False,2026-09-11T11:24:02
terrain,WB1_23_0021,21,WB1_23_0021,WB1_23,False,2026-09-11T11:24:02
terrain,WB1_23_0022,22,WB1_23_0022,WB1_23,False,2026-09-11T11:24:02
terrain,WB1_23_0023,23,WB1_23_0023,WB1_23,False,2026-09-11T11:24:02
terrain,WB1_23_0024,24,WB1_23_0024,WB1_23,False,2026-09-11T11:24:02
terrain,WB1_23_0025,25,WB1_23_0025,WB1_23,False,2026-09-11T11:24:02
terrain,WB1_23_0026,26,WB1_23_0026,WB1_23,False,2026-09-11T11:24:02
terrain,WB1_23_0031,31,WB1_23_0031,WB1_23,False,2026-09-11T11:24:02
terrain,WB1_23_0032,32,WB1_23_0032,WB1_23,False,2026-09-11T11:24:02
terrain,WB1_23_0033,33,WB1_23_0033,WB1_23,False,2026-09-11T11:24:02
terrain,WB1_23_0034,34,WB1_23_0034,WB1_23,False,2026-09-11T11:24:02
terrain,WB1_23_0035,35,WB1_23_0035,WB1_23,False,2026-09-11T11:24:02
terrain,WB1_23_0036,36,WB1_23_0036,WB1_23,False,2026-09-11T11:24:02
terrain,WB1_23_0037,37,WB1_23_0037,WB1_23,False,2026-09-11T11:24:02
terrain,WB1_23_0038,38,WB1_23_0038,WB1_23,False,2026-09-11T11:24:02
terrain,WB1_23_0039,39,WB1_23_0039,WB1_23,False,2026-09-11T11:24:02
terrain,WB1_23_0040,40,WB1_23_0040,WB1_23,False,2026-09-11T11:24:02
terrain,WB1_23_0046,46,WB1_23_0046,WB1_23,False,2026-09-11T11:24:02
terrain,WB1_23_0047,47,WB1_23_0047,WB1_23,False,2026-09-11T11:24:02
terrain,WB1_23_0048,48,WB1_23_0048,WB1_23,False,2026-09-11T11:24:02
terrain,WB1_23_0049,49,WB1_23_0049,WB1_23,False,2026-09-11T11:24:02
terrain,WB1_23_0050,50,WB1_23_0050,WB1_23,False,2026-09-11T11:24:02
terrain,WB1_23_0051,51,WB1_23_0051,WB1_23,False,2026-09-11T11:24:02
terrain,WB1_23_0052,52,WB1_23_0052,WB1_23,False,2026-09-11T11:24:02
terrain,WB1_23_0053,53,WB1_23_0053,WB1_23,False,2026-09-11T11:24:02
terrain,WB1_23_0054,54,WB1_23_0054,WB1_23,False,2026-09-11T11:24:02
terrain,WB1_23_0055,55,WB1_23_0055,WB1_23,False,2026-09-11T11:24:02
terrain,WB1_23_0056,56,WB1_23_0056,WB1_23,False,2026-09-11T11:24:02
