photo_id,inv_id,tps_id,image_path,status,registration_cost,n_outlier_landmarks,error_reason,processing_time_s
WB1_23_0001_S_1,WB1_23_0001,1,data/Bombus/terrain/extraction/light/images/WB1_23_0001_S_1.jpg,OK,0.0053068968234939425,1,,0.0048
WB1_23_0001_S_2,WB1_23_0001,2,data/Bombus/terrain/extraction/light/images/WB1_23_0001_S_2.jpg,OK,0.004839029066233731,0,,0.0036
WB1_23_0001_S_3,WB1_23_0001,3,data/Bombus/terrain/extraction/light/images/WB1_23_0001_S_3.jpg,OK,0.004889051496430172,0,,0.0013
WB1_23_0002_S_1,WB1_23_0002,4,data/Bombus/terrain/extraction/light/images/WB1_23_0002_S_1.jpg,OK,0.004683034031660258,0,,0.0012
WB1_23_0002_S_2,WB1_23_0002,5,data/Bombus/terrain/extraction/light/images/WB1_23_0002_S_2.jpg,OK,0.004819499539457178,0,,0.0012
WB1_23_0002_S_3,WB1_23_0002,6,data/Bombus/terrain/extraction/light/images/WB1_23_0002_S_3.jpg,OK,0.004575185798799284,0,,0.0012
WB1_23_0003_S_1,WB1_23_0003,7,data/Bombus/terrain/extraction/light/images/WB1_23_0003_S_1.jpg,FAILED,inf,,"16 landmarks, 18 expected",0.0000
WB1_23_0003_S_2,WB1_23_0003,8,data/Bombus/terrain/extraction/light/images/WB1_23_0003_S_2.jpg,FAILED,inf,,"15 landmarks, 18 expected",0.0000
WB1_23_0003_S_3,WB1_23_0003,9,data/Bombus/terrain/extraction/light/images/WB1_23_0003_S_3.jpg,FAILED,inf,,"16 landmarks, 18 expected",0.0000
WB1_23_0004_S_1,WB1_23_0004,10,data/Bombus/terrain/extraction/light/images/WB1_23_0004_S_1.jpg,OK,0.006677882602561532,0,,0.0036
WB1_23_0004_S_2,WB1_23_0004,11,data/Bombus/terrain/extraction/light/images/WB1_23_0004_S_2.jpg,OK,0.004835243753489618,0,,0.0021
WB1_23_0004_S_3,WB1_23_0004,12,data/Bombus/terrain/extraction/light/images/WB1_23_0004_S_3.jpg,OK,0.004716085489367362,0,,0.0011
WB1_23_0005_S_2,WB1_23_0005,13,data/Bombus/terrain/extraction/light/images/WB1_23_0005_S_2.jpg,OK,0.004546416286734712,0,,0.0010
WB1_23_0005_S_3,WB1_23_0005,14,data/Bombus/terrain/extraction/light/images/WB1_23_0005_S_3.jpg,OK,0.004651090739204693,0,,0.0012
WB1_23_0006_S_1,WB1_23_0006,15,data/Bombus/terrain/extraction/light/images/WB1_23_0006_S_1.jpg,OK,0.0046701841635958235,0,,0.0011
WB1_23_0006_S_2,WB1_23_0006,16,data/Bombus/terrain/extraction/light/images/WB1_23_0006_S_2.jpg,OK,0.004968281516508647,1,,0.0013
WB1_23_0006_S_3,WB1_23_0006,17,data/Bombus/terrain/extraction/light/images/WB1_23_0006_S_3.jpg,OK,0.004650373310586549,0,,0.0011
WB1_23_0007_S_2,WB1_23_0007,18,data/Bombus/terrain/extraction/light/images/WB1_23_0007_S_2.jpg,OK,0.004610015273317548,1,,0.0013
WB1_23_0007_S_3,WB1_23_0007,19,data/Bombus/terrain/extraction/light/images/WB1_23_0007_S_3.jpg,OK,0.004762797900372374,1,,0.0027
WB1_23_0008_S_1,WB1_23_0008,20,data/Bombus/terrain/extraction/light/images/WB1_23_0008_S_1.jpg,OK,0.0046813138387357435,0,,0.0016
WB1_23_0008_S_2,WB1_23_0008,21,data/Bombus/terrain/extraction/light/images/WB1_23_0008_S_2.jpg,OK,0.004760914683417158,1,,0.0011
WB1_23_0008_S_3,WB1_23_0008,22,data/Bombus/terrain/extraction/light/images/WB1_23_0008_S_3.jpg,FAILED,inf,,"16 landmarks, 18 expected",0.0000
WB1_23_0009_S_1,WB1_23_0009,23,data/Bombus/terrain/extraction/light/images/WB1_23_0009_S_1.jpg,OK,0.00480618664933963,0,,0.0012
