photo_id,inv_id,tps_id,image_path,status,registration_cost,n_outlier_landmarks,error_reason,processing_time_s
WB1_23_0001_S_1,WB1_23_0001,1,data/Bombus/terrain/extraction/light/images/WB1_23_0001_S_1.jpg,OK,0.0053068968234939,1.0,,0.0048
WB1_23_0001_S_2,WB1_23_0001,2,data/Bombus/terrain/extraction/light/images/WB1_23_0001_S_2.jpg,OK,0.0048390290662337,0.0,,0.0036
WB1_23_0001_S_3,WB1_23_0001,3,data/Bombus/terrain/extraction/light/images/WB1_23_0001_S_3.jpg,OK,0.0048890514964301,0.0,,0.0013
WB1_23_0002_S_1,WB1_23_0002,4,data/Bombus/terrain/extraction/light/images/WB1_23_0002_S_1.jpg,OK,0.0046830340316602,0.0,,0.0012
WB1_23_0002_S_2,WB1_23_0002,5,data/Bombus/terrain/extraction/light/images/WB1_23_0002_S_2.jpg,OK,0.0048194995394571,0.0,,0.0012
WB1_23_0002_S_3,WB1_23_0002,6,data/Bombus/terrain/extraction/light/images/WB1_23_0002_S_3.jpg,OK,0.0045751857987992,0.0,,0.0012
WB1_23_0003_S_1,WB1_23_0003,7,data/Bombus/terrain/extraction/light/images/WB1_23_0003_S_1.jpg,FAILED,inf,,"16 landmarks, 18 expected",0.0
WB1_23_0003_S_2,WB1_23_0003,8,data/Bombus/terrain/extraction/light/images/WB1_23_0003_S_2.jpg,FAILED,inf,,"15 landmarks, 18 expected",0.0
WB1_23_0003_S_3,WB1_23_0003,9,data/Bombus/terrain/extraction/light/images/WB1_23_0003_S_3.jpg,FAILED,inf,,"16 landmarks, 18 expected",0.0
WB1_23_0004_S_1,WB1_23_0004,10,data/Bombus/terrain/extraction/light/images/WB1_23_0004_S_1.jpg,OK,0.0066778826025615,0.0,,0.0036
WB1_23_0004_S_2,WB1_23_0004,11,data/Bombus/terrain/extraction/light/images/WB1_23_0004_S_2.jpg,OK,0.0048352437534896,0.0,,0.0021
WB1_23_0004_S_3,WB1_23_0004,12,data/Bombus/terrain/extraction/light/images/WB1_23_0004_S_3.jpg,OK,0.0047160854893673,0.0,,0.0011
WB1_23_0005_S_2,WB1_23_0005,13,data/Bombus/terrain/extraction/light/images/WB1_23_0005_S_2.jpg,OK,0.0045464162867347,0.0,,0.001
WB1_23_0005_S_3,WB1_23_0005,14,data/Bombus/terrain/extraction/light/images/WB1_23_0005_S_3.jpg,OK,0.0046510907392046,0.0,,0.0012
WB1_23_0006_S_1,WB1_23_0006,15,data/Bombus/terrain/extraction/light/images/WB1_23_0006_S_1.jpg,OK,0.0046701841635958,0.0,,0.0011
WB1_23_0006_S_2,WB1_23_0006,16,data/Bombus/terrain/extraction/light/images/WB1_23_0006_S_2.jpg,OK,0.0049682815165086,1.0,,0.0013
WB1_23_0006_S_3,WB1_23_0006,17,data/Bombus/terrain/extraction/light/images/WB1_23_0006_S_3.jpg,OK,0.0046503733105865,0.0,,0.0011
WB1_23_0007_S_2,WB1_23_0007,18,data/Bombus/terrain/extraction/light/images/WB1_23_0007_S_2.jpg,OK,0.0046100152733175,1.0,,0.0013
WB1_23_0007_S_3,WB1_23_0007,19,data/Bombus/terrain/extraction/light/images/WB1_23_0007_S_3.jpg,OK,0.0047627979003723,1.0,,0.0027
WB1_23_0008_S_1,WB1_23_0008,20,data/Bombus/terrain/extraction/light/images/WB1_23_0008_S_1.jpg,OK,0.0046813138387357,0.0,,0.0016
