photo_id,inv_id,status,error_reason,n_landmarks_found,model_name,processing_time_s,processed_at
WB1_23_0001_S_1,WB1_23_0001,OK,,19,weights,0.1316,2026-09-11T09:27:58+00:00
WB1_23_0001_S_2,WB1_23_0001,OK,,19,weights,0.1027,2026-09-11T09:27:59+00:00
WB1_23_0001_S_3,WB1_23_0001,OK,,19,weights,0.0905,2026-09-11T09:27:59+00:00
WB1_23_0002_S_1,WB1_23_0002,OK,,19,weights,0.0896,2026-09-11T09:27:59+00:00
WB1_23_0002_S_2,WB1_23_0002,OK,,19,weights,0.0922,2026-09-11T09:27:59+00:00
WB1_23_0002_S_3,WB1_23_0002,OK,,19,weights,0.0938,2026-09-11T09:27:59+00:00
WB1_23_0003_S_1,WB1_23_0003,SUSPECT,only_17_of_19_expected_maxima,17,weights,0.0941,2026-09-11T09:27:59+00:00
WB1_23_0003_S_2,WB1_23_0003,SUSPECT,only_15_of_19_expected_maxima,15,weights,0.0900,2026-09-11T09:27:59+00:00
WB1_23_0003_S_3,WB1_23_0003,SUSPECT,only_16_of_19_expected_maxima,16,weights,0.0910,2026-09-11T09:27:59+00:00
WB1_23_0004_S_1,WB1_23_0004,OK,,19,weights,0.0918,2026-09-11T09:27:59+00:00
WB1_23_0004_S_2,WB1_23_0004,OK,,19,weights,0.0931,2026-09-11T09:27:59+00:00
WB1_23_0004_S_3,WB1_23_0004,OK,,19,weights,0.0927,2026-09-11T09:27:59+00:00
WB1_23_0005_S_1,WB1_23_0005,FAILED,no_local_maximum,0,weights,0.0866,2026-09-11T09:28:00+00:00
WB1_23_0005_S_2,WB1_23_0005,OK,,19,weights,0.0885,2026-09-11T09:28:00+00:00
WB1_23_0005_S_3,WB1_23_0005,OK,,19,weights,0.0907,2026-09-11T09:28:00+00:00
WB1_23_0006_S_1,WB1_23_0006,OK,,19,weights,0.0894,2026-09-11T09:28:00+00:00
WB1_23_0006_S_2,WB1_23_0006,OK,,19,weights,0.0884,2026-09-11T09:28:00+00:00
WB1_23_0006_S_3,WB1_23_0006,OK,,19,weights,0.0874,2026-09-11T09:28:00+00:00
