photo_id,inv_id,tps_id,image_path,status,registration_cost,n_outlier_landmarks,error_reason,processing_time_s
WB1_23_0001_S_1,WB1_23_0001,1,data/Bombus/terrain/extraction/light/images/WB1_23_0001_S_1.jpg,OK,3.2256409872958054e-05,0,,0.0053
WB1_23_0001_S_2,WB1_23_0001,2,data/Bombus/terrain/extraction/light/images/WB1_23_0001_S_2.jpg,OK,4.427068608330083e-05,0,,0.0010
WB1_23_0001_S_3,WB1_23_0001,3,data/Bombus/terrain/extraction/light/images/WB1_23_0001_S_3.jpg,OK,4.443185710379937e-05,0,,0.0009
WB1_23_0002_S_1,WB1_23_0002,4,data/Bombus/terrain/extraction/light/images/WB1_23_0002_S_1.jpg,OK,8.439784240726344e-05,0,,0.0010
WB1_23_0002_S_2,WB1_23_0002,5,data/Bombus/terrain/extraction/light/images/WB1_23_0002_S_2.jpg,OK,0.00014543303357751944,0,,0.0009
WB1_23_0002_S_3,WB1_23_0002,6,data/Bombus/terrain/extraction/light/images/WB1_23_0002_S_3.jpg,OK,0.00010533637433822696,0,,0.0010
WB1_23_0003_S_1,WB1_23_0003,7,data/Bombus/terrain/extraction/light/images/WB1_23_0003_S_1.jpg,FAILED,inf,,"17 landmarks, 19 expected",0.0000
WB1_23_0003_S_2,WB1_23_0003,8,data/Bombus/terrain/extraction/light/images/WB1_23_0003_S_2.jpg,FAILED,inf,,"15 landmarks, 19 expected",0.0000
WB1_23_0003_S_3,WB1_23_0003,9,data/Bombus/terrain/extraction/light/images/WB1_23_0003_S_3.jpg,FAILED,inf,,"16 landmarks, 19 expected",0.0000
WB1_23_0004_S_1,WB1_23_0004,10,data/Bombus/terrain/extraction/light/images/WB1_23_0004_S_1.jpg,OK,3.930674815553073e-05,0,,0.0013
WB1_23_0004_S_2,WB1_23_0004,11,data/Bombus/terrain/extraction/light/images/WB1_23_0004_S_2.jpg,OK,3.185993927661395e-05,0,,0.0009
WB1_23_0004_S_3,WB1_23_0004,12,data/Bombus/terrain/extraction/light/images/WB1_23_0004_S_3.jpg,OK,2.742378742423431e-05,0,,0.0008
WB1_23_0005_S_2,WB1_23_0005,13,data/Bombus/terrain/extraction/light/images/WB1_23_0005_S_2.jpg,OK,5.5101564503491416e-05,0,,0.0010
WB1_23_0005_S_3,WB1_23_0005,14,data/Bombus/terrain/extraction/light/images/WB1_23_0005_S_3.jpg,OK,8.687080305527744e-05,0,,0.0009
WB1_23_0006_S_1,WB1_23_0006,15,data/Bombus/terrain/extraction/light/images/WB1_23_0006_S_1.jpg,OK,8.253114190076608e-05,0,,0.0009
WB1_23_0006_S_2,WB1_23_0006,16,data/Bombus/terrain/extraction/light/images/WB1_23_0006_S_2.jpg,OK,0.0002872748227011762,3,,0.0013
WB1_23_0006_S_3,WB1_23_0006,17,data/Bombus/terrain/extraction/light/images/WB1_23_0006_S_3.jpg,OK,7.089127037081857e-05,0,,0.0010
WB1_23_0007_S_2,WB1_23_0007,18,data/Bombus/terrain/extraction/light/images/WB1_23_0007_S_2.jpg,OK,9.510062337185031e-05,2,,0.0009
WB1_23_0007_S_3,WB1_23_0007,19,data/Bombus/terrain/extraction/light/images/WB1_23_0007_S_3.jpg,OK,0.00015027108657309252,4,,0.0009
WB1_23_0008_S_1,WB1_23_0008,20,data/Bombus/terrain/extraction/light/images/WB1_23_0008_S_1.jpg,OK,1.9664565544882745e-05,0,,0.0008
