photo_id,inv_id,tps_id,image_path,status,registration_cost,n_outlier_landmarks,error_reason,processing_time_s
WB1_23_0001_S_1,WB1_23_0001,1,/Users/superbg/Documents/IEES/idmybee/data/Bombus/terrain/extraction/light/images/WB1_23_0001_S_1.jpg,OK,3.224984318539362e-05,0.0,,0.0014
WB1_23_0001_S_2,WB1_23_0001,2,/Users/superbg/Documents/IEES/idmybee/data/Bombus/terrain/extraction/light/images/WB1_23_0001_S_2.jpg,OK,4.424639176193043e-05,0.0,,0.0009
WB1_23_0001_S_3,WB1_23_0001,3,/Users/superbg/Documents/IEES/idmybee/data/Bombus/terrain/extraction/light/images/WB1_23_0001_S_3.jpg,OK,4.434154167514561e-05,0.0,,0.001
WB1_23_0002_S_1,WB1_23_0002,4,/Users/superbg/Documents/IEES/idmybee/data/Bombus/terrain/extraction/light/images/WB1_23_0002_S_1.jpg,OK,8.454072070609342e-05,0.0,,0.001
WB1_23_0002_S_2,WB1_23_0002,5,/Users/superbg/Documents/IEES/idmybee/data/Bombus/terrain/extraction/light/images/WB1_23_0002_S_2.jpg,OK,0.0001455585519248,0.0,,0.002
WB1_23_0002_S_3,WB1_23_0002,6,/Users/superbg/Documents/IEES/idmybee/data/Bombus/terrain/extraction/light/images/WB1_23_0002_S_3.jpg,OK,0.0001055176797534,0.0,,0.001
WB1_23_0003_S_1,WB1_23_0003,7,/Users/superbg/Documents/IEES/idmybee/data/Bombus/terrain/extraction/light/images/WB1_23_0003_S_1.jpg,FAILED,inf,,"17 landmarks, 19 expected",0.0
WB1_23_0003_S_2,WB1_23_0003,8,/Users/superbg/Documents/IEES/idmybee/data/Bombus/terrain/extraction/light/images/WB1_23_0003_S_2.jpg,FAILED,inf,,"15 landmarks, 19 expected",0.0
WB1_23_0003_S_3,WB1_23_0003,9,/Users/superbg/Documents/IEES/idmybee/data/Bombus/terrain/extraction/light/images/WB1_23_0003_S_3.jpg,FAILED,inf,,"16 landmarks, 19 expected",0.0
WB1_23_0004_S_1,WB1_23_0004,10,/Users/superbg/Documents/IEES/idmybee/data/Bombus/terrain/extraction/light/images/WB1_23_0004_S_1.jpg,OK,3.9248793658132976e-05,0.0,,0.001
WB1_23_0004_S_2,WB1_23_0004,11,/Users/superbg/Documents/IEES/idmybee/data/Bombus/terrain/extraction/light/images/WB1_23_0004_S_2.jpg,OK,3.1831857276620725e-05,0.0,,0.0008
WB1_23_0004_S_3,WB1_23_0004,12,/Users/superbg/Documents/IEES/idmybee/data/Bombus/terrain/extraction/light/images/WB1_23_0004_S_3.jpg,OK,2.7413288377847697e-05,0.0,,0.0008
WB1_23_0005_S_2,WB1_23_0005,13,/Users/superbg/Documents/IEES/idmybee/data/Bombus/terrain/extraction/light/images/WB1_23_0005_S_2.jpg,OK,5.5152828838291006e-05,0.0,,0.001
WB1_23_0005_S_3,WB1_23_0005,14,/Users/superbg/Documents/IEES/idmybee/data/Bombus/terrain/extraction/light/images/WB1_23_0005_S_3.jpg,OK,8.699331034195954e-05,0.0,,0.0009
WB1_23_0006_S_1,WB1_23_0006,15,/Users/superbg/Documents/IEES/idmybee/data/Bombus/terrain/extraction/light/images/WB1_23_0006_S_1.jpg,OK,8.255615425414941e-05,0.0,,0.0018
WB1_23_0006_S_2,WB1_23_0006,16,/Users/superbg/Documents/IEES/idmybee/data/Bombus/terrain/extraction/light/images/WB1_23_0006_S_2.jpg,OK,0.0002873924395084,3.0,,0.0035
WB1_23_0006_S_3,WB1_23_0006,17,/Users/superbg/Documents/IEES/idmybee/data/Bombus/terrain/extraction/light/images/WB1_23_0006_S_3.jpg,OK,7.087853567485367e-05,0.0,,0.001
WB1_23_0007_S_2,WB1_23_0007,18,/Users/superbg/Documents/IEES/idmybee/data/Bombus/terrain/extraction/light/images/WB1_23_0007_S_2.jpg,OK,9.51212919811949e-05,2.0,,0.0009
WB1_23_0007_S_3,WB1_23_0007,19,/Users/superbg/Documents/IEES/idmybee/data/Bombus/terrain/extraction/light/images/WB1_23_0007_S_3.jpg,OK,0.0001503336632828,4.0,,0.0009
WB1_23_0008_S_1,WB1_23_0008,20,/Users/superbg/Documents/IEES/idmybee/data/Bombus/terrain/extraction/light/images/WB1_23_0008_S_1.jpg,OK,1.963715990253548e-05,0.0,,0.0008
WB1_23_0008_S_2,WB1_23_0008,21,/Users/superbg/Documents/IEES/idmybee/data/Bombus/terrain/extraction/light/images/WB1_23_0008_S_2.jpg,OK,9.812181723784302e-05,3.0,,0.0009
WB1_23_0008_S_3,WB1_23_0008,22,/Users/superbg/Documents/IEES/idmybee/data/Bombus/terrain/extraction/light/images/WB1_23_0008_S_3.jpg,OK,5.580453882957729e-05,1.0,,0.0008
WB1_23_0009_S_1,WB1_23_0009,23,/Users/superbg/Documents/IEES/idmybee/data/Bombus/terrain/extraction/light/images/WB1_23_0009_S_1.jpg,OK,0.0044803129447276,0.0,,0.0012
