photo_id,inv_id,device_type,device,photo_index,photographer,ext,content_hash,file_size_bytes,path,status,status_reason
WB1_23_0001_S_1,WB1_23_0001,S,LG K40,1,Charlotte,.jpg,1ec2920b7711c492,2748820,/Volumes/EXT DATA/IDMB/derived/Bombus/terrain/images/WB1_23_0001_S_1.jpg,OK,
WB1_23_0001_S_2,WB1_23_0001,S,LG K40,2,Charlotte,.jpg,28135c20f1a071ce,3361738,/Volumes/EXT DATA/IDMB/derived/Bombus/terrain/images/WB1_23_0001_S_2.jpg,OK,
WB1_23_0001_S_3,WB1_23_0001,S,LG K40,3,Charlotte,.jpg,fbfc71dc4207f5b6,3276909,/Volumes/EXT DATA/IDMB/derived/Bombus/terrain/images/WB1_23_0001_S_3.jpg,OK,
WB1_23_0002_S_1,WB1_23_0002,S,LG K40,1,Charlotte,.jpg,96026cf46a1a1e7a,3063861,/Volumes/EXT DATA/IDMB/derived/Bombus/terrain/images/WB1_23_0002_S_1.jpg,OK,
WB1_23_0002_S_2,WB1_23_0002,S,LG K40,2,Charlotte,.jpg,96ba468f4d8fdcc9,2786647,/Volumes/EXT DATA/IDMB/derived/Bombus/terrain/images/WB1_23_0002_S_2.jpg,OK,
WB1_23_0002_S_3,WB1_23_0002,S,LG K40,3,Charlotte,.jpg,b8d21ceb5b7dbb19,2880691,/Volumes/EXT DATA/IDMB/derived/Bombus/terrain/images/WB1_23_0002_S_3.jpg,OK,
WB1_23_0003_S_1,WB1_23_0003,S,LG K40,1,Charlotte,.jpg,07e9a514519ce5a6,3307960,/Volumes/EXT DATA/IDMB/derived/Bombus/terrain/images/WB1_23_0003_S_1.jpg,OK,
WB1_23_0003_S_2,WB1_23_0003,S,LG K40,2,Charlotte,.jpg,fd3e02b1f5eb38c3,2970236,/Volumes/EXT DATA/IDMB/derived/Bombus/terrain/images/WB1_23_0003_S_2.jpg,OK,
WB1_23_0003_S_3,WB1_23_0003,S,LG K40,3,Charlotte,.jpg,942670a10ad97ab0,3155058,/Volumes/EXT DATA/IDMB/derived/Bombus/terrain/images/WB1_23_0003_S_3.jpg,OK,
WB1_23_0004_S_1,WB1_23_0004,S,LG K40,1,Charlotte,.jpg,d4ff3ebe9dd862f6,2939421,/Volumes/EXT DATA/IDMB/derived/Bombus/terrain/images/WB1_23_0004_S_1.jpg,OK,
WB1_23_0004_S_2,WB1_23_0004,S,LG K40,2,Charlotte,.jpg,860609a012ba54b2,3094337,/Volumes/EXT DATA/IDMB/derived/Bombus/terrain/images/WB1_23_0004_S_2.jpg,OK,
WB1_23_0004_S_3,WB1_23_0004,S,LG K40,3,Charlotte,.jpg,e12956c68cb4d960,3123385,/Volumes/EXT DATA/IDMB/derived/Bombus/terrain/images/WB1_23_0004_S_3.jpg,OK,
