image_id,specimen_id,split,status,error_reason,aspect_ratio,output_path,processing_time_s,processed_at
7d4d4b58cd03a62f,FR15ABOM060621003,train,OK,,1.2855,data/Tancrede/extraction/light/images/train/FR15ABOM060621003-P1.jpg,0.0443,2026-09-03T09:31:32+00:00
2c8ea2b2cbf8c506,FR15ABOM170821120,train,OK,,1.6825,data/Tancrede/extraction/light/images/train/FR15ABOM170821120-P1.jpg,0.0167,2026-09-03T09:31:32+00:00
a27fb2f758c0cd4e,NoName6,train,OK,,1.7974,data/Tancrede/extraction/light/images/train/NoName6-P1.jpg,0.0163,2026-09-03T09:31:32+00:00
53f0687d75dc891e,NoName7,train,FAILED,detection_not_OK,,,0.0000,2026-09-03T09:31:32+00:00
bfc083f5e58f98cb,CollecYvan10,train,OK,,1.8217,data/Tancrede/extraction/light/images/train/CollecYvan10-P1.jpg,0.0214,2026-09-03T09:31:32+00:00
00ea6c23df34943f,CollecYvan11,train,OK,,1.6444,data/Tancrede/extraction/light/images/train/CollecYvan11-P1.jpg,0.0223,2026-09-03T09:31:32+00:00
edac55944c4f2aa1,FR15ABOM210821211,train,OK,,1.6336,data/Tancrede/extraction/light/images/train/FR15ABOM210821211-P1.jpg,0.0180,2026-09-03T09:31:32+00:00
de8cc19a4a0cf858,FR15ABOM210821112,train,OK,,1.5776,data/Tancrede/extraction/light/images/train/FR15ABOM210821112-P1.jpg,0.0190,2026-09-03T09:31:32+00:00
17c61e59907c4306,FR15ABOM170821115,train,OK,,1.4270,data/Tancrede/extraction/light/images/train/FR15ABOM170821115-P1.jpg,0.0174,2026-09-03T09:31:32+00:00
429fd1473678aac6,FR15ABOM210821125,train,OK,,1.4317,data/Tancrede/extraction/light/images/train/FR15ABOM210821125-P1.jpg,0.0218,2026-09-03T09:31:32+00:00
7151c5a538b7b384,FR15_ABOM07082020049,train,OK,,1.2493,data/Tancrede/extraction/light/images/train/FR15_ABOM07082020049-P1.jpg,0.0196,2026-09-03T09:31:32+00:00
9767cb8629ea69a8,FR15ABOM210821147,train,OK,,1.7054,data/Tancrede/extraction/light/images/train/FR15ABOM210821147-P1.jpg,0.0187,2026-09-03T09:31:32+00:00
787aa56f1ca5d351,CollecYvan12,train,OK,,1.8612,data/Tancrede/extraction/light/images/train/CollecYvan12-P1.jpg,0.0188,2026-09-03T09:31:32+00:00
21bde48abb6c837b,FR15_ABOM023082020028,train,OK,,1.2612,data/Tancrede/extraction/light/images/train/FR15_ABOM023082020028-P1.jpg,0.0196,2026-09-03T09:31:32+00:00
c75b04a47ac2c0ed,FR15_ABOM09082020094,train,OK,,1.5192,data/Tancrede/extraction/light/images/train/FR15_ABOM09082020094-P1.jpg,0.0182,2026-09-03T09:31:32+00:00
83846ca2db06f257,CollecYvan8,train,OK,,1.7769,data/Tancrede/extraction/light/images/train/CollecYvan8-P1.jpg,0.0215,2026-09-03T09:31:32+00:00
03d2a0d51c0ca9d4,FR15ABOM170821018,train,OK,,1.6229,data/Tancrede/extraction/light/images/train/FR15ABOM170821018-P1.jpg,0.0190,2026-09-03T09:31:32+00:00
