specimen_id,species,caste,is_labeled,n_images,splits_present,in_identification_csv,in_images
15G2021-1200,,,False,1,train,False,True
15G2021-1826,,,False,1,train,False,True
15L2021-1420,,,False,1,train,False,True
15L2021-1483,,,False,1,train,False,True
15L2021-1498,,,False,1,train,False,True
15L2021-1499,,,False,1,train,False,True
15L2021-1514,,,False,1,train,False,True
15L2021-1546,,,False,1,train,False,True
15L2021-1731,,,False,1,train,False,True
15L2021-1732,,,False,1,train,False,True
15L2021-1739,,,False,1,train,False,True
15L2021-1740,,,False,1,train,False,True
15L2021-1741,,,False,1,train,False,True
15L2021-1742,,,False,1,train,False,True
15L2021-1743,,,False,1,train,False,True
15L2021-1748,,,False,1,train,False,True
15L2021-1757,,,False,1,train,False,True
15L2021-1758,,,False,1,train,False,True
2007.0008,,,False,1,train,False,True
2012.0034,,,False,1,train,False,True
2013.0265,,,False,1,train,False,True
2017.06254,,,False,1,train,False,True
2019.00316,,,False,1,train,False,True
2019.01788,,,False,1,train,False,True
2019.02059,,,False,1,train,False,True
2019.02073,,,False,1,train,False,True
2019.02080,,,False,1,train,False,True
2019.02118,,,False,1,train,False,True
2019.02167,,,False,1,train,False,True
2019.02175,,,False,1,train,False,True
2019.02184,,,False,1,train,False,True
2019.02188,,,False,1,train,False,True
2020.00254,,,False,1,train,False,True
2020.00294,,,False,1,train,False,True
2020.00301,,,False,1,train,False,True
2020.00339,,,False,1,train,False,True
2020.00377,,,False,1,train,False,True
2020.00410,,,False,1,train,False,True
2020.00449,,,False,1,train,False,True
2020.00470,,,False,1,train,False,True
2020.00471,,,False,1,train,False,True
2020.03886,,,False,1,train,False,True
2020.03926,,,False,1,train,False,True
2020.03930,,,False,1,train,False,True
2020.03936,,,False,1,train,False,True
2020.04010,,,False,1,train,False,True
2020.04013,,,False,1,train,False,True
2020.04044,,,False,1,train,False,True
2020.06207,,,False,1,train,False,True
2020.06243,,,False,1,train,False,True
2020.06244,,,False,1,train,False,True
2020.06348,,,False,1,train,False,True
20A.07897,,,False,1,train,False,True
ABAURA4898,,,False,1,train,False,True
ABAURA4902,,,False,1,train,False,True
ABAURA4904,,,False,1,train,False,True
ABAURA4915,,,False,1,train,False,True
ABAURA4923,,,False,1,train,False,True
ABAURA4923b,,,False,1,train,False,True
ABAURA4926,,,False,1,train,False,True
ABAURA4928,,,False,1,train,False,True
ABAURA4936,,,False,1,train,False,True
ABAURA5591,,,False,1,train,False,True
ABAURA5593,,,False,1,train,False,True
ABAURA5633,,,False,1,train,False,True
ABAURA5667,,,False,1,train,False,True
ABAURA57210,,,False,1,train,False,True
ABAURA7150,,,False,1,train,False,True
ABAURA7151,,,False,1,train,False,True
ABAURA7153,,,False,1,train,False,True
ABAURA7155,,,False,1,train,False,True
ABAURA7163,,,False,1,train,False,True
ABAURA7548,,,False,1,train,False,True
ABAURA7781,,,False,1,train,False,True
ABAURA7781b,,,False,1,train,False,True
ABAURA8150,,,False,1,train,False,True
ABAURA8150b,,,False,1,train,False,True
ABAURA8150c,,,False,1,train,False,True
ABAURA8150d,,,False,1,train,False,True
ABAURA8151,,,False,1,train,False,True
ABAURA8201,,,False,1,train,False,True
ABAURA8203,,,False,1,train,False,True
ABAURA8204,,,False,1,train,False,True
ABAURA8205,,,False,1,train,False,True
ABAURA8205b,,,False,1,train,False,True
ABAURA8205c,,,False,1,train,False,True
ABAURA8205d,,,False,1,train,False,True
ABAURA8206,,,False,1,train,False,True
ABAURA8207,,,False,1,train,False,True
ABAURA8207b,,,False,1,train,False,True
ABAURA8207c,,,False,1,train,False,True
ABAURA8207d,,,False,1,train,False,True
ABAURA8207e,,,False,1,train,False,True
ABAURA8207f,,,False,1,train,False,True
ABAURA8208,,,False,1,train,False,True
ABAURA8208b,,,False,1,train,False,True
ABAURA8212,,,False,1,train,False,True
ABAURA8228,,,False,1,train,False,True
ABAURA8228b,,,False,1,train,False,True
ABAURA8233,,,False,1,train,False,True
ABAURA8238,,,False,1,train,False,True
ABAURA8238a,,,False,1,train,False,True
ABAURA8238b,,,False,1,train,False,True
ABAURA8238c,,,False,1,train,False,True
ABAURA8238d,,,False,1,train,False,True
ABAURA8238e,,,False,1,train,False,True
ABAURA8239,,,False,1,train,False,True
ABAURA8239b,,,False,1,train,False,True
ABAURA8239c,,,False,1,train,False,True
ABAURA8239d,,,False,1,train,False,True
ABAURA8240,,,False,1,train,False,True
ABAURA8240b,,,False,1,train,False,True
ABAURA8240c,,,False,1,train,False,True
ABAURA8240d,,,False,1,train,False,True
ABAURA8526,,,False,1,train,False,True
ABAURA8526b,,,False,1,train,False,True
ABAURA8595,,,False,1,train,False,True
ABAURA8599,,,False,1,train,False,True
ABAURA8602,,,False,1,train,False,True
ABAURA8604,,,False,1,train,False,True
ABAURA8606,,,False,1,train,False,True
ABAURA8607,,,False,1,train,False,True
ABAURA8625,,,False,1,train,False,True
ABAURA8627,,,False,1,train,False,True
ABAURA8672b,,,False,1,train,False,True
ABAURA8747,,,False,1,train,False,True
ABAURA8764,,,False,1,train,False,True
ABAURA8852,,,False,1,train,False,True
ABAURA8867,,,False,1,train,False,True
ABAURA8885,,,False,1,train,False,True
ABAURA8885b,,,False,1,train,False,True
ABAURA8885c,,,False,1,train,False,True
ABAURA8885d,,,False,1,train,False,True
ABAURA8885e,,,False,1,train,False,True
ABAURA8885f,,,False,1,train,False,True
ABB-2020.00032,,,False,1,train,False,True
ABB-2020.00038,,,False,1,train,False,True
ABB-2020.00106,,,False,1,train,False,True
ABB.2017.20260,,,False,1,train,False,True
AGR.2016.1415,,,False,1,train,False,True
ATBI_GR5,,,False,1,train,False,True
ATBI_GR5b,,,False,1,train,False,True
BAR-2018.00332,,,False,1,train,False,True
BAR-2018.00871,,,False,1,train,False,True
BAR.2018.00342,,,False,1,train,False,True
CD387287,,,False,1,train,False,True
CD387303,,,False,1,train,False,True
CD387313,,,False,1,train,False,True
CD387324,,,False,1,train,False,True
CD387577,,,False,1,train,False,True
CD387577b,,,False,1,train,False,True
CD387759,,,False,1,train,False,True
CD387766,,,False,1,train,False,True
CD387766b,,,False,1,train,False,True
CD387770,,,False,1,train,False,True
