id,image,espece,caste,device
0,FR15_ABOM07082020038_P1.JPG,confusus,male,P1.JPG
1,FR15_ABOM07082020038_P2.JPG,confusus,male,P2.JPG
2,FR15_ABOM07082020038_S1.jpg,confusus,male,S1.jpg
3,FR15_ABOM07082020038_S2.jpg,confusus,male,S2.jpg
4,FR15_ABOM07082020038_S3.jpg,confusus,male,S3.jpg
5,FR15_ABOM07082020082_P1.JPG,confusus,male,P1.JPG
6,FR15_ABOM07082020082_P2.JPG,confusus,male,P2.JPG
7,FR15_ABOM07082020082_S1.jpg,confusus,male,S1.jpg
8,FR15_ABOM07082020082_S2.jpg,confusus,male,S2.jpg
9,FR15_ABOM07082020082_S3.jpg,confusus,male,S3.jpg
10,FR15_ABOM080820007_P1.JPG,confusus,male,P1.JPG
11,FR15_ABOM080820007_P2.JPG,confusus,male,P2.JPG
12,FR15_ABOM080820007_S1.jpg,confusus,male,S1.jpg
13,FR15_ABOM080820007_S2.jpg,confusus,male,S2.jpg
14,FR15_ABOM080820007_S3.jpg,confusus,male,S3.jpg
15,FR15_ABOM080820039_P1.JPG,confusus,male,P1.JPG
16,FR15_ABOM080820039_P2.JPG,confusus,male,P2.JPG
17,FR15_ABOM080820039_S1.jpg,confusus,male,S1.jpg
18,FR15_ABOM080820039_S2.jpg,confusus,male,S2.jpg
19,FR15_ABOM080820039_S3.jpg,confusus,male,S3.jpg
20,FR15_ABOM090820071_P1.JPG,confusus,male,P1.JPG
21,FR15_ABOM090820071_P2.JPG,confusus,male,P2.JPG
22,FR15_ABOM090820071_S1.jpg,confusus,male,S1.jpg
23,FR15_ABOM090820071_S2.jpg,confusus,male,S2.jpg
24,FR15_ABOM090820071_S3.jpg,confusus,male,S3.jpg
25,FR15_ABOM14080820006_P1.JPG,confusus,male,P1.JPG
26,FR15_ABOM14080820006_P2.JPG,confusus,male,P2.JPG
27,FR15_ABOM14080820006_S1.jpg,confusus,male,S1.jpg
28,FR15_ABOM14080820006_S2.jpg,confusus,male,S2.jpg
29,FR15_ABOM14080820006_S3.jpg,confusus,male,S3.jpg
30,FR15_ABOM170820009_P1.JPG,confusus,male,P1.JPG
31,FR15_ABOM170820009_P2.JPG,confusus,male,P2.JPG
32,FR15_ABOM170820009_S1.jpg,confusus,male,S1.jpg
33,FR15_ABOM170820009_S2.jpg,confusus,male,S2.jpg
34,FR15_ABOM170820009_S3.jpg,confusus,male,S3.jpg
35,FR15_ABOM170820030_P1.JPG,confusus,male,P1.JPG
36,FR15_ABOM170820030_P2.JPG,confusus,male,P2.JPG
37,FR15_ABOM170820030_S1.jpg,confusus,male,S1.jpg
38,FR15_ABOM170820030_S2.jpg,confusus,male,S2.jpg
39,FR15_ABOM170820030_S3.jpg,confusus,male,S3.jpg
40,FR15ABOM150820018_P1.JPG,confusus,male,P1.JPG
41,FR15ABOM150820018_P2.JPG,confusus,male,P2.JPG
42,FR15ABOM150820018_S1.jpg,confusus,male,S1.jpg
43,FR15ABOM150820018_S2.jpg,confusus,male,S2.jpg
44,FR15ABOM150820018_S3.jpg,confusus,male,S3.jpg
