id,name,espece,caste,device
0,FR15_ABOM07082020038_P1,confusus,male,P1
1,FR15_ABOM07082020038_P2,confusus,male,P2
2,FR15_ABOM07082020038_S1,confusus,male,S1
3,FR15_ABOM07082020038_S2,confusus,male,S2
4,FR15_ABOM07082020038_S3,confusus,male,S3
5,FR15_ABOM07082020082_P1,confusus,male,P1
6,FR15_ABOM07082020082_P2,confusus,male,P2
7,FR15_ABOM07082020082_S1,confusus,male,S1
8,FR15_ABOM07082020082_S2,confusus,male,S2
9,FR15_ABOM07082020082_S3,confusus,male,S3
10,FR15_ABOM080820007_P1,confusus,male,P1
11,FR15_ABOM080820007_P2,confusus,male,P2
12,FR15_ABOM080820007_S1,confusus,male,S1
13,FR15_ABOM080820007_S2,confusus,male,S2
14,FR15_ABOM080820007_S3,confusus,male,S3
15,FR15_ABOM080820039_P1,confusus,male,P1
16,FR15_ABOM080820039_P2,confusus,male,P2
17,FR15_ABOM080820039_S1,confusus,male,S1
18,FR15_ABOM080820039_S2,confusus,male,S2
19,FR15_ABOM080820039_S3,confusus,male,S3
20,FR15_ABOM090820071_P1,confusus,male,P1
21,FR15_ABOM090820071_P2,confusus,male,P2
22,FR15_ABOM090820071_S1,confusus,male,S1
23,FR15_ABOM090820071_S2,confusus,male,S2
24,FR15_ABOM090820071_S3,confusus,male,S3
25,FR15_ABOM14080820006_P1,confusus,male,P1
26,FR15_ABOM14080820006_P2,confusus,male,P2
27,FR15_ABOM14080820006_S1,confusus,male,S1
28,FR15_ABOM14080820006_S2,confusus,male,S2
29,FR15_ABOM14080820006_S3,confusus,male,S3
30,FR15_ABOM170820009_P1,confusus,male,P1
31,FR15_ABOM170820009_P2,confusus,male,P2
32,FR15_ABOM170820009_S1,confusus,male,S1
33,FR15_ABOM170820009_S2,confusus,male,S2
34,FR15_ABOM170820009_S3,confusus,male,S3
35,FR15_ABOM170820030_P1,confusus,male,P1
36,FR15_ABOM170820030_P2,confusus,male,P2
37,FR15_ABOM170820030_S1,confusus,male,S1
38,FR15_ABOM170820030_S2,confusus,male,S2
39,FR15_ABOM170820030_S3,confusus,male,S3
40,FR15ABOM150820018_P1,confusus,male,P1
41,FR15ABOM150820018_P2,confusus,male,P2
42,FR15ABOM150820018_S1,confusus,male,S1
43,FR15ABOM150820018_S2,confusus,male,S2
44,FR15ABOM150820018_S3,confusus,male,S3
45,FR15ABOM170821029_P1,confusus,male,P1
46,FR15ABOM170821029_P2,confusus,male,P2
47,FR15ABOM170821029_S1,confusus,male,S1
48,FR15ABOM170821029_S2,confusus,male,S2
49,FR15ABOM170821029_S3,confusus,male,S3
50,FR15ABOM210821137_P1,confusus,male,P1
51,FR15ABOM210821137_P2,confusus,male,P2
52,FR15ABOM210821137_S1,confusus,male,S1
53,FR15ABOM210821137_S2,confusus,male,S2
54,FR15ABOM210821137_S3,confusus,male,S3
55,FR15ABOM210821139_P1,confusus,male,P1
56,FR15ABOM210821139_P2,confusus,male,P2
57,FR15ABOM210821139_S1,confusus,male,S1
58,FR15ABOM210821139_S2,confusus,male,S2
59,FR15ABOM210821139_S3,confusus,male,S3
60,FR15ABOM210821165_P1,confusus,male,P1
61,FR15ABOM210821165_P2,confusus,male,P2
62,FR15ABOM210821165_S1,confusus,male,S1
63,FR15ABOM210821165_S2,confusus,male,S2
64,FR15ABOM210821165_S3,confusus,male,S3
65,FR15ABOM210821171_P1,confusus,male,P1
66,FR15ABOM210821171_P2,confusus,male,P2
67,FR15ABOM210821171_S1,confusus,male,S1
68,FR15ABOM210821171_S2,confusus,male,S2
69,FR15ABOM210821171_S3,confusus,male,S3
70,FR15ABOM210821210_P1,confusus,male,P1
71,FR15ABOM210821210_P2,confusus,male,P2
72,FR15ABOM210821210_S1,confusus,male,S1
73,FR15ABOM210821210_S2,confusus,male,S2
74,FR15ABOM210821210_S3,confusus,male,S3
75,FR15ABOM210821212_P1,confusus,male,P1
76,FR15ABOM210821212_P2,confusus,male,P2
77,FR15ABOM210821212_S1,confusus,male,S1
78,FR15ABOM210821212_S2,confusus,male,S2
79,FR15ABOM210821212_S3,confusus,male,S3
80,FR15ABOM220821043_P1,confusus,male,P1
81,FR15ABOM220821043_P2,confusus,male,P2
82,FR15ABOM220821043_S1,confusus,male,S1
83,FR15ABOM220821043_S2,confusus,male,S2
84,FR15ABOM220821043_S3,confusus,male,S3
85,FR15ABOM220821068_P1,confusus,male,P1
86,FR15ABOM220821068_P2,confusus,male,P2
87,FR15ABOM220821068_S1,confusus,male,S1
88,FR15ABOM220821068_S2,confusus,male,S2
89,FR15ABOM220821068_S3,confusus,male,S3
90,FR15ABOM220821070_P1,confusus,male,P1
91,FR15ABOM220821070_P2,confusus,male,P2
92,FR15ABOM220821070_S1,confusus,male,S1
93,FR15ABOM220821070_S2,confusus,male,S2
94,FR15ABOM220821070_S3,confusus,male,S3
95,NoName8_P1,confusus,male,P1
96,NoName8_P2,confusus,male,P2
97,NoName8_S1,confusus,male,S1
98,NoName8_S2,confusus,male,S2
99,NoName8_S3,confusus,male,S3
100,FR15ABOM060621003_P1,confusus,queen,P1
101,FR15ABOM060621003_P2,confusus,queen,P2
102,FR15ABOM060621003_S1,confusus,queen,S1
103,FR15ABOM060621003_S2,confusus,queen,S2
104,FR15ABOM060621003_S3,confusus,queen,S3
105,CollecYvan10_P1,confusus,worker,P1
106,CollecYvan10_P2,confusus,worker,P2
107,CollecYvan10_S1,confusus,worker,S1
108,CollecYvan10_S2,confusus,worker,S2
109,CollecYvan10_S3,confusus,worker,S3
110,CollecYvan11_P1,confusus,worker,P1
111,CollecYvan11_P2,confusus,worker,P2
112,CollecYvan11_S1,confusus,worker,S1
113,CollecYvan11_S2,confusus,worker,S2
114,CollecYvan11_S3,confusus,worker,S3
115,CollecYvan12_P1,confusus,worker,P1
116,CollecYvan12_P2,confusus,worker,P2
117,CollecYvan12_S1,confusus,worker,S1
118,CollecYvan12_S2,confusus,worker,S2
119,CollecYvan12_S3,confusus,worker,S3
120,CollecYvan8_P1,confusus,worker,P1
121,CollecYvan8_P2,confusus,worker,P2
122,CollecYvan8_S1,confusus,worker,S1
123,CollecYvan8_S2,confusus,worker,S2
124,CollecYvan8_S3,confusus,worker,S3
125,CollecYvan9_P1,confusus,worker,P1
126,CollecYvan9_P2,confusus,worker,P2
127,CollecYvan9_S1,confusus,worker,S1
128,CollecYvan9_S2,confusus,worker,S2
129,CollecYvan9_S3,confusus,worker,S3
130,FR15_ABOM023082020028_P1,confusus,worker,P1
131,FR15_ABOM023082020028_P2,confusus,worker,P2
132,FR15_ABOM023082020028_S1,confusus,worker,S1
133,FR15_ABOM023082020028_S2,confusus,worker,S2
134,FR15_ABOM023082020028_S3,confusus,worker,S3
135,FR15_ABOM07082020049_P1,confusus,worker,P1
136,FR15_ABOM07082020049_P2,confusus,worker,P2
137,FR15_ABOM07082020049_S1,confusus,worker,S1
138,FR15_ABOM07082020049_S2,confusus,worker,S2
139,FR15_ABOM07082020049_S3,confusus,worker,S3
140,FR15_ABOM07082020062_P1,confusus,worker,P1
141,FR15_ABOM07082020062_P2,confusus,worker,P2
142,FR15_ABOM07082020062_S1,confusus,worker,S1
143,FR15_ABOM07082020062_S2,confusus,worker,S2
144,FR15_ABOM07082020062_S3,confusus,worker,S3
145,FR15_ABOM09082020094_P1,confusus,worker,P1
146,FR15_ABOM09082020094_P2,confusus,worker,P2
147,FR15_ABOM09082020094_S1,confusus,worker,S1
148,FR15_ABOM09082020094_S2,confusus,worker,S2
149,FR15_ABOM09082020094_S3,confusus,worker,S3
150,FR15ABOM170821018_P1,confusus,worker,P1
151,FR15ABOM170821018_P2,confusus,worker,P2
152,FR15ABOM170821018_S1,confusus,worker,S1
153,FR15ABOM170821018_S2,confusus,worker,S2
154,FR15ABOM170821018_S3,confusus,worker,S3
155,FR15ABOM170821115_P1,confusus,worker,P1
156,FR15ABOM170821115_P2,confusus,worker,P2
157,FR15ABOM170821115_S1,confusus,worker,S1
158,FR15ABOM170821115_S2,confusus,worker,S2
159,FR15ABOM170821115_S3,confusus,worker,S3
160,FR15ABOM170821120_P1,confusus,worker,P1
161,FR15ABOM170821120_P2,confusus,worker,P2
162,FR15ABOM170821120_S1,confusus,worker,S1
163,FR15ABOM170821120_S2,confusus,worker,S2
164,FR15ABOM170821120_S3,confusus,worker,S3
165,FR15ABOM210821112_P1,confusus,worker,P1
166,FR15ABOM210821112_P2,confusus,worker,P2
167,FR15ABOM210821112_S1,confusus,worker,S1
168,FR15ABOM210821112_S2,confusus,worker,S2
169,FR15ABOM210821112_S3,confusus,worker,S3
170,FR15ABOM210821125_P1,confusus,worker,P1
171,FR15ABOM210821125_P2,confusus,worker,P2
172,FR15ABOM210821125_S1,confusus,worker,S1
173,FR15ABOM210821125_S2,confusus,worker,S2
174,FR15ABOM210821125_S3,confusus,worker,S3
175,FR15ABOM210821147_P1,confusus,worker,P1
176,FR15ABOM210821147_P2,confusus,worker,P2
177,FR15ABOM210821147_S1,confusus,worker,S1
178,FR15ABOM210821147_S2,confusus,worker,S2
179,FR15ABOM210821147_S3,confusus,worker,S3
180,FR15ABOM210821211_P1,confusus,worker,P1
181,FR15ABOM210821211_P2,confusus,worker,P2
182,FR15ABOM210821211_S1,confusus,worker,S1
183,FR15ABOM210821211_S2,confusus,worker,S2
184,FR15ABOM210821211_S3,confusus,worker,S3
185,FR15ABOM220821084_P1,confusus,worker,P1
186,FR15ABOM220821084_P2,confusus,worker,P2
187,FR15ABOM220821084_S1,confusus,worker,S1
188,FR15ABOM220821084_S2,confusus,worker,S2
189,FR15ABOM220821084_S3,confusus,worker,S3
190,FR15ABOM220821085_P1,confusus,worker,P1
191,FR15ABOM220821085_P2,confusus,worker,P2
192,FR15ABOM220821085_S1,confusus,worker,S1
193,FR15ABOM220821085_S2,confusus,worker,S2
194,FR15ABOM220821085_S3,confusus,worker,S3
195,NoName6_P1,confusus,worker,P1
196,NoName6_P2,confusus,worker,P2
197,NoName6_S1,confusus,worker,S1
198,NoName6_S2,confusus,worker,S2
199,NoName6_S3,confusus,worker,S3
200,NoName7_P1,confusus,worker,P1
201,NoName7_P2,confusus,worker,P2
202,NoName7_S1,confusus,worker,S1
203,NoName7_S2,confusus,worker,S2
204,NoName7_S3,confusus,worker,S3
205,OPIE_Lapi_030803_P1,lapidarius,male,P1
206,OPIE_Lapi_030803_P2,lapidarius,male,P2
207,OPIE_Lapi_030803_S1,lapidarius,male,S1
208,OPIE_Lapi_030803_S2,lapidarius,male,S2
209,OPIE_Lapi_030803_S3,lapidarius,male,S3
210,OPIE_Lapi_030803b_P1,lapidarius,male,P1
211,OPIE_Lapi_030803b_P2,lapidarius,male,P2
212,OPIE_Lapi_030803b_S1,lapidarius,male,S1
213,OPIE_Lapi_030803b_S2,lapidarius,male,S2
214,OPIE_Lapi_030803b_S3,lapidarius,male,S3
215,OPIE_Lapi_060803_P1,lapidarius,male,P1
216,OPIE_Lapi_060803_P2,lapidarius,male,P2
217,OPIE_Lapi_060803_S1,lapidarius,male,S1
218,OPIE_Lapi_060803_S2,lapidarius,male,S2
219,OPIE_Lapi_060803_S3,lapidarius,male,S3
220,OPIE_Lapi_070820_P1,lapidarius,male,P1
221,OPIE_Lapi_070820_P2,lapidarius,male,P2
222,OPIE_Lapi_070820_S1,lapidarius,male,S1
223,OPIE_Lapi_070820_S2,lapidarius,male,S2
224,OPIE_Lapi_070820_S3,lapidarius,male,S3
225,OPIE_Lapi_100803_P1,lapidarius,male,P1
226,OPIE_Lapi_100803_P2,lapidarius,male,P2
