id,image,espece,caste,device
0,WB1_23_136,rupestris,_,D1
1,WB1_23_137,rupestris,_,D1
2,WB1_23_138,pratorum,_,D1
3,WB1_23_139,pratorum,_,D1
4,WB1_23_140,pratorum,_,D1
5,WB1_23_141,pratorum,_,D1
6,WB1_23_142,pratorum,_,D1
7,WB1_23_143,pratorum,_,D1
8,WB1_23_144,pratorum,_,D1
9,WB1_23_145,lapidarius,_,D1
10,WB1_23_146,lapidarius,_,D1
11,WB1_23_147,sp (wurflenii ou pratorum),_,D1
12,WB1_23_148,lapidarius,_,D1
13,WB1_23_149,lapidarius,_,D1
14,WB1_23_150,pratorum,_,D1
15,WB1_23_151,sylvestris,_,D1
16,WB1_23_152,sichelii,_,D1
17,WB1_23_153,pratorum,_,D1
18,WB1_23_154,mesomelas,_,D1
19,WB1_23_0091,sylvarum,_,D1
20,WB1_23_0091,sylvarum,_,D1
21,WB1_23_0091,sylvarum,_,D1
22,WB1_23_0092,lapidarius,_,D1
23,WB1_23_0092,lapidarius,_,D1
24,WB1_23_0092,lapidarius,_,D1
25,WB1_23_0093,lapidarius,_,D1
26,WB1_23_0093,lapidarius,_,D1
27,WB1_23_0093,lapidarius,_,D1
28,WB1_23_0094,lapidarius,_,D1
29,WB1_23_0094,lapidarius,_,D1
30,WB1_23_0094,lapidarius,_,D1
31,WB1_23_0095,lapidarius,_,D1
32,WB1_23_0095,lapidarius,_,D1
33,WB1_23_0095,lapidarius,_,D1
34,WB1_23_0096,lapidarius,_,D1
35,WB1_23_0096,lapidarius,_,D1
36,WB1_23_0096,lapidarius,_,D1
37,WB1_23_0097,lapidarius,_,D1
38,WB1_23_0097,lapidarius,_,D1
39,WB1_23_0097,lapidarius,_,D1
40,WB1_23_0098,pratorum,_,D1
41,WB1_23_0098,pratorum,_,D1
42,WB1_23_0098,pratorum,_,D1
43,WB1_23_0099,lapidarius,_,D1
44,WB1_23_0099,lapidarius,_,D1
45,WB1_23_0099,lapidarius,_,D1
46,WB1_23_0001,soroeensis,_,D1
47,WB1_23_0001,soroeensis,_,D1
48,WB1_23_0001,soroeensis,_,D1
49,WB1_23_0002,ruderarius,_,D1
50,WB1_23_0002,ruderarius,_,D1
