original_id,source_type,photographer,device_type,shot_index,raw_path,ext,file_size_bytes,content_hash,status,status_reason
FR15ABOM150820018,collection,,P,1,/Volumes/EXT DATA/IDMB/images/Bombus/collection/Bombus_confusus/male/FR15ABOM150820018_P1.JPG,.jpg,5478993,622cf37f9463bd75,OK,
FR15ABOM150820018,collection,,P,2,/Volumes/EXT DATA/IDMB/images/Bombus/collection/Bombus_confusus/male/FR15ABOM150820018_P2.JPG,.jpg,5327791,54838c3f42c9cd04,OK,
FR15ABOM150820018,collection,,S,1,/Volumes/EXT DATA/IDMB/images/Bombus/collection/Bombus_confusus/male/FR15ABOM150820018_S1.jpg,.jpg,1761714,23847567d6cc4c3f,OK,
FR15ABOM150820018,collection,,S,2,/Volumes/EXT DATA/IDMB/images/Bombus/collection/Bombus_confusus/male/FR15ABOM150820018_S2.jpg,.jpg,1690327,415f3ba1a049b9e1,OK,
FR15ABOM150820018,collection,,S,3,/Volumes/EXT DATA/IDMB/images/Bombus/collection/Bombus_confusus/male/FR15ABOM150820018_S3.jpg,.jpg,1706336,af0c75d9759875f5,OK,
FR15ABOM170821029,collection,,P,1,/Volumes/EXT DATA/IDMB/images/Bombus/collection/Bombus_confusus/male/FR15ABOM170821029_P1.JPG,.jpg,5326297,90054c44163f685a,OK,
FR15ABOM170821029,collection,,P,2,/Volumes/EXT DATA/IDMB/images/Bombus/collection/Bombus_confusus/male/FR15ABOM170821029_P2.JPG,.jpg,5307680,5f275ce47bf1aa6e,OK,
FR15ABOM170821029,collection,,S,1,/Volumes/EXT DATA/IDMB/images/Bombus/collection/Bombus_confusus/male/FR15ABOM170821029_S1.jpg,.jpg,2076512,ed5f2c84a7ea30c8,OK,
FR15ABOM170821029,collection,,S,2,/Volumes/EXT DATA/IDMB/images/Bombus/collection/Bombus_confusus/male/FR15ABOM170821029_S2.jpg,.jpg,1968385,e77bf19de662af84,OK,
FR15ABOM170821029,collection,,S,3,/Volumes/EXT DATA/IDMB/images/Bombus/collection/Bombus_confusus/male/FR15ABOM170821029_S3.jpg,.jpg,1846290,8149584fdf26097b,OK,
FR15ABOM210821137,collection,,P,1,/Volumes/EXT DATA/IDMB/images/Bombus/collection/Bombus_confusus/male/FR15ABOM210821137_P1.JPG,.jpg,5317276,303af0e2f7cbcfe6,OK,
FR15ABOM210821137,collection,,P,2,/Volumes/EXT DATA/IDMB/images/Bombus/collection/Bombus_confusus/male/FR15ABOM210821137_P2.JPG,.jpg,5353780,5fee0d0f0b51942e,OK,
FR15ABOM210821137,collection,,S,1,/Volumes/EXT DATA/IDMB/images/Bombus/collection/Bombus_confusus/male/FR15ABOM210821137_S1.jpg,.jpg,1915293,d820dd849dfa6a31,OK,
FR15ABOM210821137,collection,,S,2,/Volumes/EXT DATA/IDMB/images/Bombus/collection/Bombus_confusus/male/FR15ABOM210821137_S2.jpg,.jpg,1769086,e7d6997e4d7df086,OK,
FR15ABOM210821137,collection,,S,3,/Volumes/EXT DATA/IDMB/images/Bombus/collection/Bombus_confusus/male/FR15ABOM210821137_S3.jpg,.jpg,1742626,3d1dc6a9224ba360,OK,
FR15ABOM210821139,collection,,P,1,/Volumes/EXT DATA/IDMB/images/Bombus/collection/Bombus_confusus/male/FR15ABOM210821139_P1.JPG,.jpg,4887364,92c3ebabbe6eb62e,OK,
FR15ABOM210821139,collection,,P,2,/Volumes/EXT DATA/IDMB/images/Bombus/collection/Bombus_confusus/male/FR15ABOM210821139_P2.JPG,.jpg,5046387,cc268e948186c45a,OK,
FR15ABOM210821139,collection,,S,1,/Volumes/EXT DATA/IDMB/images/Bombus/collection/Bombus_confusus/male/FR15ABOM210821139_S1.jpg,.jpg,1743938,bcf4d5841967ddcd,OK,
FR15ABOM210821139,collection,,S,2,/Volumes/EXT DATA/IDMB/images/Bombus/collection/Bombus_confusus/male/FR15ABOM210821139_S2.jpg,.jpg,1645740,3b9b4b55a1fad9b1,OK,
FR15ABOM210821139,collection,,S,3,/Volumes/EXT DATA/IDMB/images/Bombus/collection/Bombus_confusus/male/FR15ABOM210821139_S3.jpg,.jpg,1788184,d59ab6fb2a645417,OK,
FR15ABOM210821165,collection,,P,1,/Volumes/EXT DATA/IDMB/images/Bombus/collection/Bombus_confusus/male/FR15ABOM210821165_P1.JPG,.jpg,4920096,b2513a410f9c7db4,OK,
FR15ABOM210821165,collection,,P,2,/Volumes/EXT DATA/IDMB/images/Bombus/collection/Bombus_confusus/male/FR15ABOM210821165_P2.JPG,.jpg,4898473,09a0ba84119c668e,OK,
FR15ABOM210821165,collection,,S,1,/Volumes/EXT DATA/IDMB/images/Bombus/collection/Bombus_confusus/male/FR15ABOM210821165_S1.jpg,.jpg,1859650,16a5e607bbb091de,OK,
FR15ABOM210821165,collection,,S,2,/Volumes/EXT DATA/IDMB/images/Bombus/collection/Bombus_confusus/male/FR15ABOM210821165_S2.jpg,.jpg,1650558,4e699793fe35d096,OK,
FR15ABOM210821165,collection,,S,3,/Volumes/EXT DATA/IDMB/images/Bombus/collection/Bombus_confusus/male/FR15ABOM210821165_S3.jpg,.jpg,1909635,bc9989011864927c,OK,
FR15ABOM210821171,collection,,P,1,/Volumes/EXT DATA/IDMB/images/Bombus/collection/Bombus_confusus/male/FR15ABOM210821171_P1.JPG,.jpg,4976053,917e0938a6c8c870,OK,
FR15ABOM210821171,collection,,P,2,/Volumes/EXT DATA/IDMB/images/Bombus/collection/Bombus_confusus/male/FR15ABOM210821171_P2.JPG,.jpg,5061661,221c491db00448f5,OK,
FR15ABOM210821171,collection,,S,1,/Volumes/EXT DATA/IDMB/images/Bombus/collection/Bombus_confusus/male/FR15ABOM210821171_S1.jpg,.jpg,1537668,7c0bebb486c52ad1,OK,
FR15ABOM210821171,collection,,S,2,/Volumes/EXT DATA/IDMB/images/Bombus/collection/Bombus_confusus/male/FR15ABOM210821171_S2.jpg,.jpg,1789224,d9f6d6fc75935966,OK,
FR15ABOM210821171,collection,,S,3,/Volumes/EXT DATA/IDMB/images/Bombus/collection/Bombus_confusus/male/FR15ABOM210821171_S3.jpg,.jpg,1689652,dd47f932e32ab106,OK,
FR15ABOM210821210,collection,,P,1,/Volumes/EXT DATA/IDMB/images/Bombus/collection/Bombus_confusus/male/FR15ABOM210821210_P1.JPG,.jpg,5126961,db44fa7f8f049b92,OK,
