id,espece
WB1_23_0001,soroeensis
WB1_23_0002,ruderarius
WB1_23_0003,monticola
WB1_23_0004,pyrenaeus
WB1_23_0005,ruderarius
WB1_23_0006,sichelii
WB1_23_0007,soroeensis
WB1_23_0008,soroeensis
WB1_23_0009,rupestris
WB1_23_0010,ruderarius
WB1_23_0016,ruderarius
WB1_23_0017,sichelii
WB1_23_0018,sichelii
WB1_23_0019,sichelii
WB1_23_0020,ruderarius
WB1_23_0021,ruderarius
WB1_23_0022,ruderarius
WB1_23_0023,pyrenaeus
WB1_23_0024,soroeensis
WB1_23_0025,soroeensis
WB1_23_0026,wurflenii
WB1_23_0031,soroeensis
WB1_23_0032,wurflenii
WB1_23_0033,sichelii
WB1_23_0034,rupestris
WB1_23_0035,monticola
WB1_23_0036,sichelii
WB1_23_0037,rupestris
WB1_23_0038,wurflenii
WB1_23_0039,ruderarius
WB1_23_0040,pyrenaeus
WB1_23_0046,soroeensis
WB1_23_0047,pratorum
WB1_23_0048,soroeensis
WB1_23_0049,pratorum
WB1_23_0050,pratorum
WB1_23_0051,pratorum
WB1_23_0052,lapidarius
WB1_23_0053,pratorum
WB1_23_0054,pratorum
WB1_23_0055,rupestris
WB1_23_0056,pratorum
WB1_23_0061,lapidarius
WB1_23_0062,lapidarius
WB1_23_0063,lapidarius
WB1_23_0064,pratorum
WB1_23_0065,lapidarius
WB1_23_0066,lapidarius
WB1_23_0067,pratorum
WB1_23_0068,soroeensis
WB1_23_0069,pratorum
WB1_23_0070,pratorum
WB1_23_0076,lapidarius
WB1_23_0077,lapidarius
WB1_23_0078,lapidarius
WB1_23_0079,lapidarius
WB1_23_0080,lapidarius
WB1_23_0081,lapidarius
WB1_23_0082,lapidarius
WB1_23_0083,lapidarius
WB1_23_0084,lapidarius
WB1_23_0085,lapidarius
WB1_23_0086,sylvarum
WB1_23_0087,sylvarum
WB1_23_0091,sylvarum
WB1_23_0092,lapidarius
WB1_23_0093,lapidarius
WB1_23_0094,lapidarius
WB1_23_0095,lapidarius
WB1_23_0096,lapidarius
WB1_23_0097,lapidarius
WB1_23_0098,pratorum
WB1_23_0099,lapidarius
WB1_23_0100,
WB1_23_0106,lapidarius
WB1_23_0107,lapidarius
WB1_23_0108,lapidarius
WB1_23_0109,lapidarius
WB1_23_0110,sylvarum
WB1_23_0111,lapidarius
WB1_23_0112,lapidarius
WB1_23_0113,lapidarius
WB1_23_0114,lapidarius
WB1_23_0115,lapidarius
WB1_23_0116,soroeensis
WB1_23_0117,pratorum
WB1_23_0118,lapidarius
WB1_23_0119,pratorum
WB1_23_0120,soroeensis
WB1_23_0121,sylvarum
WB1_23_0122,pratorum
WB1_23_0123,pratorum
WB1_23_0124,pratorum
WB1_23_0125,confusus
WB1_23_0126,rupestris
WB1_23_0127,lapidarius
WB1_23_0128,lapidarius
WB1_23_0129,sylvarum
WB1_23_0130,sylvarum
WB1_23_0131,pratorum
WB1_23_0132,lapidarius
WB1_23_0133,pratorum
WB1_23_0134,lapidarius
WB1_23_0135,lapidarius
