num_inv,species,caste
1036L,sylvarum,worker
15300,cryptarum,worker
15G2021-1200,sylvarum,drone
15G2021-1826,sylvarum,worker
15L2021-1420,rupestris,drone
15L2021-1483,soroeensis,drone
15L2021-1498,rupestris,drone
15L2021-1499,rupestris,drone
15L2021-1514,rupestris,drone
15L2021-1546,rupestris,drone
15L2021-1585,sylvarum,drone
15L2021-1731,rupestris,drone
15L2021-1732,soroeensis,drone
15L2021-1739,soroeensis,drone
15L2021-1740,soroeensis,drone
15L2021-1741,soroeensis,drone
15L2021-1742,soroeensis,drone
15L2021-1743,soroeensis,drone
15L2021-1748,pomorum,drone
15L2021-1757,rupestris,drone
15L2021-1758,rupestris,drone
2003.003,terrestris,queen
2006.0473,lucorum,drone
2007.0008,pratorum,drone
2007.0712,rupestris,queen
2012.0034,sylvarum,worker
2013.0265,pratorum,drone
2016.8252,terrestris,drone
2016.8462,terrestris,queen
2017.06254,sylvarum,worker
2017.06494,terrestris,drone
2017.07639,terrestris,queen
2017.07643,terrestris,drone
2017.07656,terrestris,drone
2017.07755,terrestris,queen
2017.07838,terrestris,worker
2017:06526,terrestris,drone
2019.00316,pratorum,worker
2019.01788,pratorum,queen
2019.02059,pratorum,drone
2019.02073,pratorum,drone
2019.02080,pratorum,drone
2019.02118,pratorum,queen
2019.02167,pratorum,worker
2019.02175,pratorum,drone
2019.02184,pratorum,queen
2019.02188,pratorum,worker
2020-00471,rupestris,drone
2020.00254,pyrenaeus,drone
2020.00294,soroeensis,worker
2020.00301,pratorum,drone
2020.00339,soroeensis,worker
2020.00377,ruderarius,worker
2020.00410,soroeensis,worker
2020.00449,soroeensis,worker
2020.00470,rupestris,drone
2020.03706,terrestris,drone
2020.03886,sylvarum,worker
2020.03926,pratorum,drone
2020.03930,sylvarum,drone
2020.03936,pyrenaeus,drone
2020.04010,sylvarum,worker
2020.04013,sylvarum,worker
2020.04044,sylvarum,worker
2020.06110,lucorum,drone
2020.06114,lucorum,drone
2020.06124,lucorum,drone
2020.06138,lucorum,drone
2020.06145,lucorum,drone
2020.06207,soroeensis,drone
2020.06243,rupestris,drone
2020.06244,rupestris,drone
2020.06348,sylvarum,drone
20A.07897,sylvarum,queen
42230,lucorum,queen
5100,cryptarum,queen
63970,terrestris,queen
73110,lucorum,worker
73440,lucorum,worker
ABAURA4898,pratorum,worker
ABAURA4902,ruderarius,worker
ABAURA4904,ruderarius,worker
ABAURA4915,ruderarius,worker
ABAURA4923,ruderarius,worker
ABAURA4923b,ruderarius,worker
ABAURA4926,pratorum,worker
ABAURA4928,ruderarius,worker
ABAURA4936,ruderarius,worker
ABAURA5103,pratorum,queen
ABAURA5591,soroeensis,worker
ABAURA5593,sylvarum,worker
