num_inv,collection_origine,mode_capture,jj,mm,aaaa,region,localite,collecteur,ordre,famille,genre,espece,caste,identificateur,année_identification,photographe,specimen,appareil,n_photos
5100,Collection perso Yvan BRUGEROLLES,Filet,11,8,2022,Auvergne-Rhônes Alpes,Lac de l'orceyrette,Yvan BRUGEROLLES,Hymenoptera,Apidae,Bombus,Cryptarum,Reine,Yvan BRUGEROLLES,2022,Basile PETIT,Epinglé,Smartphone Samsung s10,5
5100,Collection perso Yvan BRUGEROLLES,Filet,11,8,2022,Auvergne-Rhônes Alpes,Lac de l'orceyrette,Yvan BRUGEROLLES,Hymenoptera,Apidae,Bombus,Cryptarum,Reine,Yvan BRUGEROLLES,2022,Basile PETIT,Epinglé,Canon EOS 70D - 40mm,5
15300,Collection perso Yvan BRUGEROLLES,Filet,27,7,2022,Auvergne-Rhônes Alpes,Tourbière du Jolon,Yvan BRUGEROLLES,Hymenoptera,Apidae,Bombus,Cryptarum,Ouvrière,Yvan BRUGEROLLES,2022,Basile PETIT,Epinglé,Smartphone Samsung s10,5
15300,Collection perso Yvan BRUGEROLLES,Filet,27,7,2022,Auvergne-Rhônes Alpes,Tourbière du Jolon,Yvan BRUGEROLLES,Hymenoptera,Apidae,Bombus,Cryptarum,Ouvrière,Yvan BRUGEROLLES,2022,Basile PETIT,Epinglé,Canon EOS 70D - 40mm,5
15300,Collection perso Yvan BRUGEROLLES,Filet,27,7,2022,Auvergne-Rhônes Alpes,Lac du pêcher,Yvan BRUGEROLLES,Hymenoptera,Apidae,Bombus,Cryptarum,Ouvrière,Yvan BRUGEROLLES,2022,Basile PETIT,Epinglé,Smartphone Samsung s10,5
15300,Collection perso Yvan BRUGEROLLES,Filet,27,7,2022,Auvergne-Rhônes Alpes,Lac du pêcher,Yvan BRUGEROLLES,Hymenoptera,Apidae,Bombus,Cryptarum,Ouvrière,Yvan BRUGEROLLES,2022,Basile PETIT,Epinglé,Canon EOS 70D - 40mm,5
42230,Collection perso Yvan BRUGEROLLES,Filet,,,,Auvergne-Rhônes Alpes,,Yvan BRUGEROLLES,Hymenoptera,Apidae,Bombus,Lucorum,Reine,Yvan BRUGEROLLES,2022,Basile PETIT,Epinglé,Smartphone Samsung s10,5
42230,Collection perso Yvan BRUGEROLLES,Filet,,,,Auvergne-Rhônes Alpes,,Yvan BRUGEROLLES,Hymenoptera,Apidae,Bombus,Lucorum,Reine,Yvan BRUGEROLLES,2022,Basile PETIT,Epinglé,Canon EOS 70D - 40mm,5
73110,Collection perso Yvan BRUGEROLLES,Filet,12,7,2021,Auvergne-Rhônes Alpes,aiguille rousse,Yvan BRUGEROLLES,Hymenoptera,Apidae,Bombus,Lucorum,Ouvrière,Yvan BRUGEROLLES,2022,Basile PETIT,Epinglé,Smartphone Samsung s10,5
73110,Collection perso Yvan BRUGEROLLES,Filet,12,7,2021,Auvergne-Rhônes Alpes,aiguille rousse,Yvan BRUGEROLLES,Hymenoptera,Apidae,Bombus,Lucorum,Ouvrière,Yvan BRUGEROLLES,2022,Basile PETIT,Epinglé,Canon EOS 70D - 40mm,5
73440,Collection perso Yvan BRUGEROLLES,Filet,20,8,2021,Auvergne-Rhônes Alpes,Cime de caron,Yvan BRUGEROLLES,Hymenoptera,Apidae,Bombus,Lucorum,Ouvrière,Yvan BRUGEROLLES,2022,Basile PETIT,Epinglé,Smartphone Samsung s10,5
73440,Collection perso Yvan BRUGEROLLES,Filet,20,8,2021,Auvergne-Rhônes Alpes,Cime de caron,Yvan BRUGEROLLES,Hymenoptera,Apidae,Bombus,Lucorum,Ouvrière,Yvan BRUGEROLLES,2022,Basile PETIT,Epinglé,Canon EOS 70D - 40mm,5
1036L,Collection Arthropologia Lyon (stock soroeensis),Filet,2,5,1975,Auvergne-Rhônes Alpes,,DEMARCEL,Hymenoptera,Apidae,Bombus,Sylvarum,Ouvrière,DEMARCEL,1975,Basile PETIT,Epinglé,Smartphone Samsung s10,3
1036L,Collection Arthropologia Lyon (stock soroeensis),Filet,2,5,1975,Auvergne-Rhônes Alpes,,DEMARCEL,Hymenoptera,Apidae,Bombus,Sylvarum,Ouvrière,DEMARCEL,1975,Basile PETIT,Epinglé,Canon EOS 70D - 40mm,2
