id,num_inv,species,caste,device
0,OPIE_Lapi_030803b_P1,lapidarius,male,P1
1,OPIE_Lapi_030803_P1,lapidarius,male,P1
2,OPIE_Lapi_060803_P1,lapidarius,male,P1
3,OPIE_Lapi_070820_P1,lapidarius,male,P1
4,OPIE_Lapi_100803_P1,lapidarius,male,P1
5,OPIE_Lapi_100820_P1,lapidarius,male,P1
6,OPIE_Lapi_160720_P1,lapidarius,male,P1
7,OPIE_Lapi_180702_P1,lapidarius,male,P1
8,OPIE_Lapi_180703_P1,lapidarius,male,P1
9,OPIE_Lapi_200703b_P1,lapidarius,male,P1
10,OPIE_Lapi_200703_P1,lapidarius,male,P1
11,OPIE_Lapi_78V_P1,lapidarius,male,P1
12,OPIE_Lapi_7B_P1,lapidarius,male,P1
13,OPIE_Lapi_95C_P1,lapidarius,male,P1
14,OPIE_Lapi_A1b_P1,lapidarius,male,P1
15,OPIE_Lapi_A1_P1,lapidarius,male,P1
16,OPIE_Lapi_B2b_P1,lapidarius,male,P1
17,OPIE_Lapi_B2_P1,lapidarius,male,P1
18,OPIE_Lapi_D1_P1,lapidarius,male,P1
19,OPIE_Lapi_E7_P1,lapidarius,male,P1
20,OPIE_Lapi_H1_P1,lapidarius,male,P1
21,FR15ABOM130621006_P1,rupestris,queen,P1
22,FR73ABOM130722067_P1,pyrenaeus,male,P1
23,CD387287_P1,soroeensis,worker,P1
24,FR73ABOM120722002_P1,pyrenaeus,male,P1
25,CD388623e_P1,pyrenaeus,worker,P1
26,ABAURA8764_P1,pratorum,male,P1
27,CD388865d_P1,sichelii,worker,P1
28,OPIE_Lapi_260620b_P1,lapidarius,worker,P1
29,FR73ABOM140722011_P1,monticola,male,P1
30,CollecYvan14_P1,monticola,worker,P1
31,FR15_ABOM30072020040_P1,pomorum,worker,P1
32,FR15_ABOM30072020045_P1,pomorum,worker,P1
33,BAR-2018.00332_P1,sylvarum,worker,P1
34,2020.00470_P1,rupestris,male,P1
35,N126_P1,pratorum,male,P1
36,CollecYvan24_P1,wurflenii,male,P1
37,OPIE_Lapi_220620c_P1,lapidarius,worker,P1
38,CD388820b_P1,wurflenii,worker,P1
39,CD388862_P1,soroeensis,worker,P1
40,FR15ABOM200821209_P1,pomorum,male,P1
41,FR73ABOM200722029_P1,pyrenaeus,male,P1
42,FR73ABOM130722009_P1,pyrenaeus,male,P1
43,FR73ABOM130722062_P1,pyrenaeus,male,P1
44,CD388391_P1,soroeensis,queen,P1
45,ABAURA8526b_P1,wurflenii,worker,P1
46,FR15ABOM210822014_P1,pomorum,male,P1
47,OPIE_Lapi_130720d_P1,lapidarius,worker,P1
48,CD388135_P1,sylvarum,worker,P1
49,POLLINIS4351_P1,pratorum,male,P1
50,OPIE_Lapi_200720_P1,lapidarius,worker,P1
51,FR15_ABOM09082020078_P1,sylvarum,male,P1
52,NoName11_P1,sylvarum,male,P1
53,CD388865e_P1,sichelii,worker,P1
54,OPIE_Lapi_260620_P1,lapidarius,worker,P1
55,ABAURA8885d_P1,ruderarius,male,P1
56,2020.00301_P1,pratorum,male,P1
57,FR74ABOM160722015_P1,monticola,worker,P1
58,CD387770_P1,pratorum,worker,P1
59,FR73ABOM140722032_P1,monticola,male,P1
