inv_id,source_type,dd,mm,yyyy,collection_origin,capture_mode,capture_region,capture_locality,collector,order,family,genus,species,caste,identifier,identification_year,photographer,specimen_state,device,device_type,n_photos
1036L,collection,2,5,1975,Arthropologia Lyon (stock soroeensis),net,Auvergne-Rhônes Alpes,,DEMARCEL,Hymenoptera,Apidae,Bombus,sylvarum,worker,DEMARCEL,1975,Basile PETIT,pinned,Smartphone Samsung s10,S,3
1036L,collection,2,5,1975,Arthropologia Lyon (stock soroeensis),net,Auvergne-Rhônes Alpes,,DEMARCEL,Hymenoptera,Apidae,Bombus,sylvarum,worker,DEMARCEL,1975,Basile PETIT,pinned,Canon EOS 70D - 40mm,P,2
15300,collection,27,7,2022,Yvan BRUGEROLLES,net,Auvergne-Rhônes Alpes,Tourbière du Jolon,Yvan BRUGEROLLES,Hymenoptera,Apidae,Bombus,cryptarum,worker,Yvan BRUGEROLLES,2022,Basile PETIT,pinned,Smartphone Samsung s10,S,5
15300,collection,27,7,2022,Yvan BRUGEROLLES,net,Auvergne-Rhônes Alpes,Tourbière du Jolon,Yvan BRUGEROLLES,Hymenoptera,Apidae,Bombus,cryptarum,worker,Yvan BRUGEROLLES,2022,Basile PETIT,pinned,Canon EOS 70D - 40mm,P,5
15300,collection,27,7,2022,Yvan BRUGEROLLES,net,Auvergne-Rhônes Alpes,Lac du pêcher,Yvan BRUGEROLLES,Hymenoptera,Apidae,Bombus,cryptarum,worker,Yvan BRUGEROLLES,2022,Basile PETIT,pinned,Smartphone Samsung s10,S,5
15300,collection,27,7,2022,Yvan BRUGEROLLES,net,Auvergne-Rhônes Alpes,Lac du pêcher,Yvan BRUGEROLLES,Hymenoptera,Apidae,Bombus,cryptarum,worker,Yvan BRUGEROLLES,2022,Basile PETIT,pinned,Canon EOS 70D - 40mm,P,5
15G2021-1200,collection,,,2021,CPIE15,net,Auvergne-Rhônes Alpes,,Mehdi ISSERTES,Hymenoptera,Apidae,Bombus,sylvarum,drone,Mehdi ISSERTES,2021,Basile PETIT,pinned,Smartphone Samsung s10,S,3
15G2021-1200,collection,,,2021,CPIE15,net,Auvergne-Rhônes Alpes,,Mehdi ISSERTES,Hymenoptera,Apidae,Bombus,sylvarum,drone,Mehdi ISSERTES,2021,Basile PETIT,pinned,Canon EOS 70D - 100mm macro,P,2
15G2021-1826,collection,,,2021,CPIE15,net,Auvergne-Rhônes Alpes,Les Allues,Mehdi ISSERTES,Hymenoptera,Apidae,Bombus,sylvarum,worker,Mehdi ISSERTES,2021,Basile PETIT,pinned,Smartphone Samsung s10,S,3
15G2021-1826,collection,,,2021,CPIE15,net,Auvergne-Rhônes Alpes,Les Allues,Mehdi ISSERTES,Hymenoptera,Apidae,Bombus,sylvarum,worker,Mehdi ISSERTES,2021,Basile PETIT,pinned,Canon EOS 70D - 100mm macro,P,2
15L2021-1420,collection,,,2021,CPIE15,net,Auvergne-Rhônes Alpes,,Mehdi ISSERTES,Hymenoptera,Apidae,Bombus,rupestris,drone,Mehdi ISSERTES,2021,Basile PETIT,pinned,Smartphone Samsung s10,S,3
15L2021-1420,collection,,,2021,CPIE15,net,Auvergne-Rhônes Alpes,,Mehdi ISSERTES,Hymenoptera,Apidae,Bombus,rupestris,drone,Mehdi ISSERTES,2021,Basile PETIT,pinned,Canon EOS 70D - 100mm macro,P,2
15L2021-1483,collection,,,2021,CPIE15,net,Auvergne-Rhônes Alpes,,Mehdi ISSERTES,Hymenoptera,Apidae,Bombus,soroeensis,drone,Mehdi ISSERTES,2021,Basile PETIT,pinned,Smartphone Samsung s10,S,3
15L2021-1483,collection,,,2021,CPIE15,net,Auvergne-Rhônes Alpes,,Mehdi ISSERTES,Hymenoptera,Apidae,Bombus,soroeensis,drone,Mehdi ISSERTES,2021,Basile PETIT,pinned,Canon EOS 70D - 100mm macro,P,2
15L2021-1498,collection,,,2021,CPIE15,net,Auvergne-Rhônes Alpes,,Mehdi ISSERTES,Hymenoptera,Apidae,Bombus,rupestris,drone,Mehdi ISSERTES,2021,Basile PETIT,pinned,Smartphone Samsung s10,S,3
15L2021-1498,collection,,,2021,CPIE15,net,Auvergne-Rhônes Alpes,,Mehdi ISSERTES,Hymenoptera,Apidae,Bombus,rupestris,drone,Mehdi ISSERTES,2021,Basile PETIT,pinned,Canon EOS 70D - 100mm macro,P,2
15L2021-1499,collection,,,2021,CPIE15,net,Auvergne-Rhônes Alpes,,Mehdi ISSERTES,Hymenoptera,Apidae,Bombus,rupestris,drone,Mehdi ISSERTES,2021,Basile PETIT,pinned,Smartphone Samsung s10,S,3
