Numéro d'inventaire,JJ,MM,AAAA,Lieu capture,genre,sp,Identificateur,Photographe,Type d'appareil,Nombre de photo,
WB1_23_0001,1,7,2023,Sassière Tigne,Bombus,soroeensis,Arthropologia,Charlotte,LG K40,3,
WB1_23_0002,1,7,2023,Sassière Tigne,Bombus,ruderarius,Arthropologia,Charlotte,LG K40,3,
WB1_23_0003,1,7,2023,Sassière Tigne,Bombus,monticola,Arthropologia,Charlotte,LG K40,3,
WB1_23_0004,1,7,2023,Sassière Tigne,Bombus,pyrenaeus,Arthropologia,Charlotte,LG K40,3,
WB1_23_0005,1,7,2023,Sassière Tigne,Bombus,ruderarius,Arthropologia,Charlotte,LG K40,3,
WB1_23_0006,1,7,2023,Sassière Tigne,Bombus,sichelii,Arthropologia,Charlotte,LG K40,3,
WB1_23_0007,1,7,2023,Sassière Tigne,Bombus,soroeensis,Arthropologia,Charlotte,LG K40,3,
WB1_23_0008,1,7,2023,Sassière Tigne,Bombus,soroeensis,Arthropologia,Charlotte,LG K40,3,
WB1_23_0009,1,7,2023,Sassière Tigne,Bombus,rupestris,Arthropologia,Charlotte,LG K40,3,
WB1_23_0010,1,7,2023,Sassière Tigne,Bombus,ruderarius,Arthropologia,Charlotte,LG K40,3,
WB1_23_0016,1,7,2023,Sassière Tigne,Bombus,ruderarius,Arthropologia,Yvan Brugerolles,Huawai mate 10 lite,3,
WB1_23_0017,1,7,2023,Sassière Tigne,Bombus,sichelii,Arthropologia,Yvan Brugerolles,Huawai mate 10 lite,3,
WB1_23_0018,1,7,2023,Sassière Tigne,Bombus,sichelii,Arthropologia,Yvan Brugerolles,Huawai mate 10 lite,3,
WB1_23_0019,1,7,2023,Sassière Tigne,Bombus,sichelii,Arthropologia,Yvan Brugerolles,Huawai mate 10 lite,3,
WB1_23_0020,1,7,2023,Sassière Tigne,Bombus,ruderarius,Arthropologia,Yvan Brugerolles,Huawai mate 10 lite,3,
WB1_23_0021,1,7,2023,Sassière Tigne,Bombus,ruderarius,Arthropologia,Yvan Brugerolles,Huawai mate 10 lite,3,
WB1_23_0022,1,7,2023,Sassière Tigne,Bombus,ruderarius,Arthropologia,Yvan Brugerolles,Huawai mate 10 lite,3,
WB1_23_0023,1,7,2023,Sassière Tigne,Bombus,pyrenaeus,Arthropologia,Yvan Brugerolles,Huawai mate 10 lite,3,
WB1_23_0024,1,7,2023,Sassière Tigne,Bombus,soroeensis,Arthropologia,Yvan Brugerolles,Huawai mate 10 lite,3,
WB1_23_0025,1,7,2023,Sassière Tigne,Bombus,soroeensis,Arthropologia,Yvan Brugerolles,Huawai mate 10 lite,3,
WB1_23_0026,1,7,2023,Sassière Tigne,Bombus,wurflenii,Arthropologia,Yvan Brugerolles,Huawai mate 10 lite,3,
WB1_23_0031,2,7,2023,La sache Tignes,Bombus,soroeensis,Arthropologia,Guilhem Poulard,Samsung S10,3,
WB1_23_0032,2,7,2023,La sache Tignes,Bombus,wurflenii,Arthropologia,Guilhem Poulard,Samsung S10,3,
WB1_23_0033,2,7,2023,La sache Tignes,Bombus,sichelii,Arthropologia,Guilhem Poulard,Samsung S10,3,
WB1_23_0034,2,7,2023,La sache Tignes,Bombus,rupestris,Arthropologia,Guilhem Poulard,Samsung S10,3,
WB1_23_0035,2,7,2023,La sache Tignes,Bombus,monticola,Arthropologia,Guilhem Poulard,Samsung S10,3,
WB1_23_0036,2,7,2023,La sache Tignes,Bombus,sichelii,Arthropologia,Guilhem Poulard,Samsung S10,3,
WB1_23_0037,2,7,2023,La sache Tignes,Bombus,rupestris,Arthropologia,Guilhem Poulard,Samsung S10,3,
WB1_23_0038,2,7,2023,La sache Tignes,Bombus,wurflenii,Arthropologia,Guilhem Poulard,Samsung S10,3,
WB1_23_0039,2,7,2023,La sache Tignes,Bombus,ruderarius,Arthropologia,Guilhem Poulard,Samsung S10,3,
WB1_23_0040,2,7,2023,La sache Tignes,Bombus,pyrenaeus,Arthropologia,Guilhem Poulard,Samsung S10,3,
WB1_23_0046,7,7,2023,Isère,Bombus,soroeensis,Arthropologia,Frederic Vyghen,Redmi ai camera,3,
WB1_23_0047,7,7,2023,Isère,Bombus,pratorum,Arthropologia,Frederic Vyghen,Redmi ai camera,3,
WB1_23_0048,7,7,2023,Isère,Bombus,soroeensis,Arthropologia,Frederic Vyghen,Redmi ai camera,3,
WB1_23_0049,7,7,2023,Isère,Bombus,pratorum,Arthropologia,Frederic Vyghen,Redmi ai camera,3,
WB1_23_0050,7,7,2023,Isère,Bombus,pratorum,Arthropologia,Frederic Vyghen,Redmi ai camera,3,
WB1_23_0051,7,7,2023,Isère,Bombus,pratorum,Arthropologia,Frederic Vyghen,Redmi ai camera,3,
WB1_23_0052,7,7,2023,Isère,Bombus,lapidarius,Arthropologia,Frederic Vyghen,Redmi ai camera,3,
WB1_23_0053,7,7,2023,Isère,Bombus,pratorum,Arthropologia,Frederic Vyghen,Redmi ai camera,3,
WB1_23_0054,7,7,2023,Isère,Bombus,pratorum,Arthropologia,Frederic Vyghen,Redmi ai camera,3,
WB1_23_0055,7,7,2023,Isère,Bombus,rupestris,Arthropologia,Frederic Vyghen,Redmi ai camera,3,
WB1_23_0056,7,7,2023,Isère,Bombus,pratorum,Arthropologia,Frederic Vyghen,Redmi ai camera,3,
WB1_23_0061,8,7,2023,Isère Taillefer,Bombus,lapidarius,Arthropologia,Lygia Ecuyer,Huawei P30 lite,3,
WB1_23_0062,8,7,2023,Isère Taillefer,Bombus,lapidarius,Arthropologia,Lygia Ecuyer,Huawei P30 lite,3,
WB1_23_0063,8,7,2023,Isère Taillefer,Bombus,lapidarius,Arthropologia,Lygia Ecuyer,Huawei P30 lite,3,
WB1_23_0064,8,7,2023,Isère Taillefer,Bombus,pratorum,Arthropologia,Lygia Ecuyer,Huawei P30 lite,3,
