source_type,original_id,inv_num,inv_id,inv_name,resolved_conflict,frozen_at
collection,2007.0712,1,ARLY_0001,ARLY,False,2026-09-07T18:12:37
collection,UBC-2013.0556,2,ARLY_0002,ARLY,False,2026-09-07T18:12:37
collection,UBC-2013.0557,3,ARLY_0003,ARLY,False,2026-09-07T18:12:37
collection,UBC-2014.0001,4,ARLY_0004,ARLY,False,2026-09-07T18:12:37
collection,UBC-2011.0157,5,ARLY_0005,ARLY,False,2026-09-07T18:12:37
collection,VAN-2019.00781,6,ARLY_0006,ARLY,False,2026-09-07T18:12:37
collection,VAN-2019.00783,7,ARLY_0007,ARLY,False,2026-09-07T18:12:37
collection,VAN-2019.00785,8,ARLY_0008,ARLY,False,2026-09-07T18:12:37
collection,VAN-2019.00787,9,ARLY_0009,ARLY,False,2026-09-07T18:12:37
collection,VAN-2019.00788,10,ARLY_0010,ARLY,False,2026-09-07T18:12:37
collection,VAN-2019.00814,11,ARLY_0011,ARLY,False,2026-09-07T18:12:37
collection,VAN-2019.00822,12,ARLY_0012,ARLY,False,2026-09-07T18:12:37
collection,VAN-2019.00824,13,ARLY_0013,ARLY,False,2026-09-07T18:12:37
collection,VAN-2019.00849,14,ARLY_0014,ARLY,False,2026-09-07T18:12:37
collection,VAN-2019.00850,15,ARLY_0015,ARLY,False,2026-09-07T18:12:37
collection,ABAURA5676,16,ARLY_0016,ARLY,False,2026-09-07T18:12:37
collection,2003.003,17,ARLY_0017,ARLY,False,2026-09-07T18:12:37
collection,2006.0473,18,ARLY_0018,ARLY,False,2026-09-07T18:12:37
collection,2016.8252,19,ARLY_0019,ARLY,False,2026-09-07T18:12:37
collection,2016.8462,20,ARLY_0020,ARLY,False,2026-09-07T18:12:37
collection,2017.06494,21,ARLY_0021,ARLY,False,2026-09-07T18:12:37
collection,2017.07639,22,ARLY_0022,ARLY,False,2026-09-07T18:12:37
collection,2017.07643,23,ARLY_0023,ARLY,False,2026-09-07T18:12:37
collection,2017.07656,24,ARLY_0024,ARLY,False,2026-09-07T18:12:37
collection,2017.07755,25,ARLY_0025,ARLY,False,2026-09-07T18:12:37
collection,2017.07838,26,ARLY_0026,ARLY,False,2026-09-07T18:12:37
collection,2017:06526,27,ARLY_0027,ARLY,False,2026-09-07T18:12:37
collection,2020.00470,28,ARLY_0028,ARLY,False,2026-09-07T18:12:37
collection,2020.00471,29,ARLY_0029,ARLY,False,2026-09-07T18:12:37
collection,2020.03706,30,ARLY_0030,ARLY,False,2026-09-07T18:12:37
collection,2020.06110,31,ARLY_0031,ARLY,False,2026-09-07T18:12:37
