tps_id,specimen_id,n_outlier_landmarks,status
7070579134150390,CD388016,0,OK
24531757367709128,FR74ABOM160722001,17,SUSPECT
25368057524513755,VAN-2019.00850,0,OK
28545656663639268,FR73ABOM200722028,0,OK
29220300955005197,FR15ABOM200722065,1,OK
41854757394526136,FR15_STPONCY300921002,0,OK
43174878305128790,FR74ABOM170722014,0,OK
44290928084736567,FR73ABOM130722037,0,OK
49149196353222784,FR15ABOM200821010,0,OK
58134900495497172,POLLINIS5983,0,OK
91313676474122135,FR15ABOM210821115,0,OK
98078467393695578,OPIE_Lapi_200720,0,OK
98843323755479298,CD388860b,17,SUSPECT
99296896632137646,FR04ABOM220722051,0,OK
105725996763830309,CD387313,0,OK
108266779707636998,ABAURA7163,0,OK
119499408327829565,FR15_ABOM080820039,0,OK
128053777008617591,CD387770b,0,OK
136842298104306452,ABAURA8606,0,OK
138891088205838299,ABAURA4923b,0,OK
139006302579494716,CD388872,0,OK
139855258052949483,FR15ABOM060621003,0,OK
141226520002599575,ABAURA8206,0,OK
149910909177281812,FR73ABOM120722021,2,OK
153977508925485500,OPIE_Lapi_220620d,0,OK
156850740381947928,FR15ABOM200821202,11,SUSPECT
163999373792259478,NoName12,0,OK
192348943865153074,NoName15,10,SUSPECT
205015331422187188,CD388860,0,OK
212995334706910007,NoName1,16,SUSPECT
217355801803408167,FR15ABOM200722066,0,OK
237978904919883992,CD388865d,17,SUSPECT
243351455481038752,FR73ABOM200722030,2,OK
243569345861278572,CD388003,8,OK
244574357633957942,POLLINIS4455,0,OK
246392925950245429,FR15ABOM210821077,2,OK
248293685758650924,CollecYvan8,0,OK
261649694351689483,BAR-2018.00332,0,OK
264120117763633277,FR15ABOM210821147,0,OK
267762701001757986,N205,16,SUSPECT
284903452751638798,FR73ABOM130722040,0,OK
285258879765438978,OPIE_Lapi_220620,0,OK
288676999224999913,2020.00470,0,OK
290921292800833131,CollecYvan20,1,OK
301920521128818234,CD388862,16,SUSPECT
303728587075188185,FR04ABOM220722087,17,SUSPECT
307832630126149943,ABAURA8203,0,OK
337146161901495927,CD388229c,17,SUSPECT
342522315216041626,FR15_ABOM09082020094,9,OK
346645417678424464,CD388230b,17,SUSPECT
363241283477439751,VAN-2019.00814,7,OK
370459519186941396,OPIE_Lapi_D1,0,OK
371051850668737621,FR15ABOM060621003,0,OK
372243104819130177,CD388872b,0,OK
375070490722585952,OPIE_Lapi_220620b,16,SUSPECT
377243647200382427,NoName7,0,OK
384439676747250553,CD387577,17,SUSPECT
387356644004788787,2007.0008,0,OK
400208061553549886,POLLINIS4455,8,OK
405993825114147364,OPIE_Lapi_240620b,16,SUSPECT
424914135394432469,CD388145,0,OK
426075177167041238,FR73ABOM120722070,2,OK
426139388295900421,ABAURA57210,16,SUSPECT
432302208724995738,OPIE_Lapi_130720b,0,OK
448201486491385000,FR15ABOM220821043,15,SUSPECT
456551950583126057,ABAURA4915,0,OK
459723475602905823,POLLINIS4343,0,OK
466548037768742588,FR73ABOM200722032,0,OK
468610495291809647,Znieff_galibier,0,OK
473271122209070489,ABAURA8606,8,OK
473435967133707419,ABAURA8151,0,OK
483346074332742080,N628,16,SUSPECT
