id,espece,role,appareil,chemin_wide,chemin_crop_large,statut,area_ratio,bbox_x1,bbox_y1,bbox_x2,bbox_y2,bbox_w,bbox_h,bbox_area,bbox_valid
FR15ABOM150820018_P1,Bombus_confusus,male,P1,data/images/orga_widecrop/Bombus_confusus/male/FR15ABOM150820018_P1.JPG,data/images/orga_cropping/Bombus_confusus/male/FR15ABOM150820018_P1.JPG,paire_exploitable,0.2375827553309672,0,0,2371,1778,2371,1778,4215638,True
FR15ABOM150820018_P2,Bombus_confusus,male,P2,data/images/orga_widecrop/Bombus_confusus/male/FR15ABOM150820018_P2.JPG,data/images/orga_cropping/Bombus_confusus/male/FR15ABOM150820018_P2.JPG,paire_exploitable,0.234154642233668,0,0,2354,1765,2354,1765,4154810,True
FR15ABOM150820018_S1,Bombus_confusus,male,S1,data/images/orga_widecrop/Bombus_confusus/male/FR15ABOM150820018_S1.jpg,data/images/orga_cropping/Bombus_confusus/male/FR15ABOM150820018_S1.jpg,paire_exploitable,0.3638682610295964,0,0,1820,1365,1820,1365,2484300,True
FR15ABOM150820018_S2,Bombus_confusus,male,S2,data/images/orga_widecrop/Bombus_confusus/male/FR15ABOM150820018_S2.jpg,data/images/orga_cropping/Bombus_confusus/male/FR15ABOM150820018_S2.jpg,paire_exploitable,0.3965597217476281,0,0,1900,1425,1900,1425,2707500,True
FR15ABOM150820018_S3,Bombus_confusus,male,S3,data/images/orga_widecrop/Bombus_confusus/male/FR15ABOM150820018_S3.jpg,data/images/orga_cropping/Bombus_confusus/male/FR15ABOM150820018_S3.jpg,paire_exploitable,0.3967684373906531,0,0,1901,1425,1901,1425,2708925,True
FR15ABOM170821029_P1,Bombus_confusus,male,P1,data/images/orga_widecrop/Bombus_confusus/male/FR15ABOM170821029_P1.JPG,data/images/orga_cropping/Bombus_confusus/male/FR15ABOM170821029_P1.JPG,paire_exploitable,0.2486996073912165,0,0,2426,1819,2426,1819,4412894,True
FR15ABOM170821029_P2,Bombus_confusus,male,P2,data/images/orga_widecrop/Bombus_confusus/male/FR15ABOM170821029_P2.JPG,data/images/orga_cropping/Bombus_confusus/male/FR15ABOM170821029_P2.JPG,paire_exploitable,0.2426534636859418,0,0,2396,1797,2396,1797,4305612,True
FR15ABOM170821029_S1,Bombus_confusus,male,S1,data/images/orga_widecrop/Bombus_confusus/male/FR15ABOM170821029_S1.jpg,data/images/orga_cropping/Bombus_confusus/male/FR15ABOM170821029_S1.jpg,paire_exploitable,0.3992078472394829,0,0,1906,1430,1906,1430,2725580,True
FR15ABOM170821029_S2,Bombus_confusus,male,S2,data/images/orga_widecrop/Bombus_confusus/male/FR15ABOM170821029_S2.jpg,data/images/orga_cropping/Bombus_confusus/male/FR15ABOM170821029_S2.jpg,paire_exploitable,0.3913589673247971,0,0,1887,1416,1887,1416,2671992,True
FR15ABOM170821029_S3,Bombus_confusus,male,S3,data/images/orga_widecrop/Bombus_confusus/male/FR15ABOM170821029_S3.jpg,data/images/orga_cropping/Bombus_confusus/male/FR15ABOM170821029_S3.jpg,paire_exploitable,0.4049522876040045,0,0,1920,1440,1920,1440,2764800,True
FR15ABOM210821137_P1,Bombus_confusus,male,P1,data/images/orga_widecrop/Bombus_confusus/male/FR15ABOM210821137_P1.JPG,data/images/orga_cropping/Bombus_confusus/male/FR15ABOM210821137_P1.JPG,paire_exploitable,0.2494178271799977,0,0,2429,1822,2429,1822,4425638,True
FR15ABOM210821137_P2,Bombus_confusus,male,P2,data/images/orga_widecrop/Bombus_confusus/male/FR15ABOM210821137_P2.JPG,data/images/orga_cropping/Bombus_confusus/male/FR15ABOM210821137_P2.JPG,paire_exploitable,0.2519913353748269,0,0,2442,1831,2442,1831,4471302,True
FR15ABOM210821137_S1,Bombus_confusus,male,S1,data/images/orga_widecrop/Bombus_confusus/male/FR15ABOM210821137_S1.jpg,data/images/orga_cropping/Bombus_confusus/male/FR15ABOM210821137_S1.jpg,paire_exploitable,0.3695377792139975,0,0,1835,1376,1835,1376,2524960,True
FR15ABOM210821137_S2,Bombus_confusus,male,S2,data/images/orga_widecrop/Bombus_confusus/male/FR15ABOM210821137_S2.jpg,data/images/orga_cropping/Bombus_confusus/male/FR15ABOM210821137_S2.jpg,paire_exploitable,0.3903919914123399,0,0,1885,1414,1885,1414,2665390,True
FR15ABOM210821137_S3,Bombus_confusus,male,S3,data/images/orga_widecrop/Bombus_confusus/male/FR15ABOM210821137_S3.jpg,data/images/orga_cropping/Bombus_confusus/male/FR15ABOM210821137_S3.jpg,paire_exploitable,0.3842725952259628,0,0,1870,1403,1870,1403,2623610,True
FR15ABOM210821139_P1,Bombus_confusus,male,P1,data/images/orga_widecrop/Bombus_confusus/male/FR15ABOM210821139_P1.JPG,data/images/orga_cropping/Bombus_confusus/male/FR15ABOM210821139_P1.JPG,paire_exploitable,0.2533002943213296,0,0,2448,1836,2448,1836,4494528,True
FR15ABOM210821139_P2,Bombus_confusus,male,P2,data/images/orga_widecrop/Bombus_confusus/male/FR15ABOM210821139_P2.JPG,data/images/orga_cropping/Bombus_confusus/male/FR15ABOM210821139_P2.JPG,paire_exploitable,0.2455653422206833,0,0,2410,1808,2410,1808,4357280,True
FR15ABOM210821139_S1,Bombus_confusus,male,S1,data/images/orga_widecrop/Bombus_confusus/male/FR15ABOM210821139_S1.jpg,data/images/orga_cropping/Bombus_confusus/male/FR15ABOM210821139_S1.jpg,paire_exploitable,0.3471379080189429,0,0,1778,1333,1778,1333,2370074,True
FR15ABOM210821139_S2,Bombus_confusus,male,S2,data/images/orga_widecrop/Bombus_confusus/male/FR15ABOM210821139_S2.jpg,data/images/orga_cropping/Bombus_confusus/male/FR15ABOM210821139_S2.jpg,paire_exploitable,0.3312462257254553,0,0,1737,1302,1737,1302,2261574,True
FR15ABOM210821139_S3,Bombus_confusus,male,S3,data/images/orga_widecrop/Bombus_confusus/male/FR15ABOM210821139_S3.jpg,data/images/orga_cropping/Bombus_confusus/male/FR15ABOM210821139_S3.jpg,paire_exploitable,0.3798703694377327,0,0,1860,1395,1860,1395,2594700,True
