id,espece,role,appareil,chemin_wide,chemin_crop_large,statut,area_ratio
FR15ABOM150820018_P1,Bombus_confusus,male,P1,data/images/orga_widecrop/Bombus_confusus/male/FR15ABOM150820018_P1.JPG,data/images/orga_cropping/Bombus_confusus/male/FR15ABOM150820018_P1.JPG,paire_exploitable,0.23758275533096723
FR15ABOM150820018_P2,Bombus_confusus,male,P2,data/images/orga_widecrop/Bombus_confusus/male/FR15ABOM150820018_P2.JPG,data/images/orga_cropping/Bombus_confusus/male/FR15ABOM150820018_P2.JPG,paire_exploitable,0.23415464223366805
FR15ABOM150820018_S1,Bombus_confusus,male,S1,data/images/orga_widecrop/Bombus_confusus/male/FR15ABOM150820018_S1.jpg,data/images/orga_cropping/Bombus_confusus/male/FR15ABOM150820018_S1.jpg,paire_exploitable,0.36386826102959646
FR15ABOM150820018_S2,Bombus_confusus,male,S2,data/images/orga_widecrop/Bombus_confusus/male/FR15ABOM150820018_S2.jpg,data/images/orga_cropping/Bombus_confusus/male/FR15ABOM150820018_S2.jpg,paire_exploitable,0.3965597217476281
FR15ABOM150820018_S3,Bombus_confusus,male,S3,data/images/orga_widecrop/Bombus_confusus/male/FR15ABOM150820018_S3.jpg,data/images/orga_cropping/Bombus_confusus/male/FR15ABOM150820018_S3.jpg,paire_exploitable,0.39676843739065315
FR15ABOM170821029_P1,Bombus_confusus,male,P1,data/images/orga_widecrop/Bombus_confusus/male/FR15ABOM170821029_P1.JPG,data/images/orga_cropping/Bombus_confusus/male/FR15ABOM170821029_P1.JPG,paire_exploitable,0.24869960739121652
FR15ABOM170821029_P2,Bombus_confusus,male,P2,data/images/orga_widecrop/Bombus_confusus/male/FR15ABOM170821029_P2.JPG,data/images/orga_cropping/Bombus_confusus/male/FR15ABOM170821029_P2.JPG,paire_exploitable,0.24265346368594182
FR15ABOM170821029_S1,Bombus_confusus,male,S1,data/images/orga_widecrop/Bombus_confusus/male/FR15ABOM170821029_S1.jpg,data/images/orga_cropping/Bombus_confusus/male/FR15ABOM170821029_S1.jpg,paire_exploitable,0.39920784723948294
FR15ABOM170821029_S2,Bombus_confusus,male,S2,data/images/orga_widecrop/Bombus_confusus/male/FR15ABOM170821029_S2.jpg,data/images/orga_cropping/Bombus_confusus/male/FR15ABOM170821029_S2.jpg,paire_exploitable,0.39135896732479714
FR15ABOM170821029_S3,Bombus_confusus,male,S3,data/images/orga_widecrop/Bombus_confusus/male/FR15ABOM170821029_S3.jpg,data/images/orga_cropping/Bombus_confusus/male/FR15ABOM170821029_S3.jpg,paire_exploitable,0.4049522876040045
FR15ABOM210821137_P1,Bombus_confusus,male,P1,data/images/orga_widecrop/Bombus_confusus/male/FR15ABOM210821137_P1.JPG,data/images/orga_cropping/Bombus_confusus/male/FR15ABOM210821137_P1.JPG,paire_exploitable,0.2494178271799977
FR15ABOM210821137_P2,Bombus_confusus,male,P2,data/images/orga_widecrop/Bombus_confusus/male/FR15ABOM210821137_P2.JPG,data/images/orga_cropping/Bombus_confusus/male/FR15ABOM210821137_P2.JPG,paire_exploitable,0.2519913353748269
FR15ABOM210821137_S1,Bombus_confusus,male,S1,data/images/orga_widecrop/Bombus_confusus/male/FR15ABOM210821137_S1.jpg,data/images/orga_cropping/Bombus_confusus/male/FR15ABOM210821137_S1.jpg,paire_exploitable,0.3695377792139975
FR15ABOM210821137_S2,Bombus_confusus,male,S2,data/images/orga_widecrop/Bombus_confusus/male/FR15ABOM210821137_S2.jpg,data/images/orga_cropping/Bombus_confusus/male/FR15ABOM210821137_S2.jpg,paire_exploitable,0.39039199141233993
FR15ABOM210821137_S3,Bombus_confusus,male,S3,data/images/orga_widecrop/Bombus_confusus/male/FR15ABOM210821137_S3.jpg,data/images/orga_cropping/Bombus_confusus/male/FR15ABOM210821137_S3.jpg,paire_exploitable,0.38427259522596285
FR15ABOM210821139_P1,Bombus_confusus,male,P1,data/images/orga_widecrop/Bombus_confusus/male/FR15ABOM210821139_P1.JPG,data/images/orga_cropping/Bombus_confusus/male/FR15ABOM210821139_P1.JPG,paire_exploitable,0.25330029432132967
FR15ABOM210821139_P2,Bombus_confusus,male,P2,data/images/orga_widecrop/Bombus_confusus/male/FR15ABOM210821139_P2.JPG,data/images/orga_cropping/Bombus_confusus/male/FR15ABOM210821139_P2.JPG,paire_exploitable,0.2455653422206833
FR15ABOM210821139_S1,Bombus_confusus,male,S1,data/images/orga_widecrop/Bombus_confusus/male/FR15ABOM210821139_S1.jpg,data/images/orga_cropping/Bombus_confusus/male/FR15ABOM210821139_S1.jpg,paire_exploitable,0.3471379080189429
FR15ABOM210821139_S2,Bombus_confusus,male,S2,data/images/orga_widecrop/Bombus_confusus/male/FR15ABOM210821139_S2.jpg,data/images/orga_cropping/Bombus_confusus/male/FR15ABOM210821139_S2.jpg,paire_exploitable,0.3312462257254553
FR15ABOM210821139_S3,Bombus_confusus,male,S3,data/images/orga_widecrop/Bombus_confusus/male/FR15ABOM210821139_S3.jpg,data/images/orga_cropping/Bombus_confusus/male/FR15ABOM210821139_S3.jpg,paire_exploitable,0.3798703694377327
FR15ABOM210821165_P1,Bombus_confusus,male,P1,data/images/orga_widecrop/Bombus_confusus/male/FR15ABOM210821165_P1.JPG,data/images/orga_cropping/Bombus_confusus/male/FR15ABOM210821165_P1.JPG,paire_exploitable,0.2522322072656971
FR15ABOM210821165_P2,Bombus_confusus,male,P2,data/images/orga_widecrop/Bombus_confusus/male/FR15ABOM210821165_P2.JPG,data/images/orga_cropping/Bombus_confusus/male/FR15ABOM210821165_P2.JPG,paire_exploitable,0.24427655925380887
