,confusus,lapidarius,monticola,pomorum,pratorum,pyrenaeus,ruderarius,rupestris,sichelii,soroeensis,sylvarum,wurflenii
confusus,200,0,0,0,0,0,0,0,0,0,0,0
lapidarius,0,178,0,0,1,7,0,0,17,0,0,0
monticola,0,0,187,0,0,8,0,0,0,0,0,0
pomorum,0,0,0,202,1,0,7,0,0,0,0,0
pratorum,0,5,0,0,277,2,5,0,2,3,1,0
pyrenaeus,0,4,5,0,0,207,0,0,15,1,0,0
ruderarius,0,0,0,3,4,0,197,0,0,0,8,1
rupestris,2,0,1,0,1,0,0,133,1,1,1,0
sichelii,0,14,0,0,1,7,0,0,170,0,0,0
soroeensis,0,0,0,0,0,2,5,0,1,230,1,0
sylvarum,0,0,0,6,0,0,13,0,0,0,219,0
wurflenii,0,0,0,0,0,0,0,0,0,0,0,214
