species,n,precision,recall,f1
confusus,200,0.9900990099009901,1.0,0.9950248756218906
lapidarius,203,0.8855721393034826,0.8768472906403941,0.8811881188118812
monticola,195,0.9689119170984456,0.958974358974359,0.9639175257731959
pomorum,210,0.957345971563981,0.9619047619047619,0.9596199524940617
pratorum,295,0.9719298245614035,0.9389830508474576,0.9551724137931035
pyrenaeus,232,0.8884120171673819,0.8922413793103449,0.8903225806451613
ruderarius,213,0.8678414096916299,0.9248826291079812,0.8954545454545455
rupestris,140,1.0,0.95,0.9743589743589743
sichelii,192,0.8252427184466019,0.8854166666666666,0.8542713567839196
soroeensis,239,0.9787234042553191,0.9623430962343096,0.9704641350210971
sylvarum,238,0.9521739130434783,0.9201680672268907,0.9358974358974359
wurflenii,214,0.9953488372093023,1.0,0.9976689976689976
