image_id,specimen_id,crop_path,x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16,x17,y17,x18,y18
b1f09ac7b47d14dc,OPIE_Lapi_030803b,/Users/superbg/Documents/IEES/idmybee/data/Bombus/extraction/light/images/train/OPIE_Lapi_030803b-P1.jpg,109.4361,104.914,111.1106,109.6718,202.2688,66.3067,218.6463,51.5667,251.7219,48.54,268.2726,65.3203,297.8574,70.1619,326.9382,67.3817,398.7845,52.4369,338.2031,103.9325,328.6916,106.9172,298.0991,136.822,215.3186,141.3072,207.1037,162.0795,108.1029,125.8857,211.0456,113.6528,253.2967,94.2285,287.758,93.4153,238.5987,76.0528
204d400420ea80bf,OPIE_Lapi_030803,/Users/superbg/Documents/IEES/idmybee/data/Bombus/extraction/light/images/train/OPIE_Lapi_030803-P1.jpg,111.2545,102.586,115.7168,108.8524,202.0131,65.716,217.5794,51.8511,251.4796,48.6781,269.2484,65.4668,294.9942,69.5734,324.1535,68.3989,398.3369,53.9939,336.1684,106.5787,323.1441,109.0172,292.5964,140.7239,213.4868,141.292,204.5616,160.7773,115.1718,125.023,209.3919,113.4527,250.3733,92.1711,284.7859,95.1312,237.2364,76.6181
9492299e29cc2996,OPIE_Lapi_060803,/Users/superbg/Documents/IEES/idmybee/data/Bombus/extraction/light/images/train/OPIE_Lapi_060803-P1.jpg,96.2254,99.0062,101.669,106.4173,190.0131,63.1588,207.4538,47.8838,244.2702,44.5728,259.1848,61.2742,289.2965,66.3565,320.2062,65.1936,395.016,51.2268,332.7084,102.4697,320.1666,106.0229,288.9633,136.6096,203.2443,137.9612,195.6902,157.7488,100.0326,122.9535,199.1024,110.7001,242.7081,90.5365,276.9059,91.6135,224.8731,71.599
730437fd4e90ad7d,OPIE_Lapi_070820,/Users/superbg/Documents/IEES/idmybee/data/Bombus/extraction/light/images/train/OPIE_Lapi_070820-P1.jpg,106.2649,105.5614,109.3754,111.6737,201.7449,66.8097,214.424,54.5339,250.1316,51.5451,268.3872,69.3132,298.2697,73.7188,326.4794,71.322,396.256,56.4031,338.7141,108.6054,326.9149,110.5542,295.4213,139.6423,209.4473,141.8186,203.4379,160.6209,109.1334,126.6467,206.326,114.3105,248.0026,95.015,283.641,96.3042,235.4394,78.0521
45f2cc5a3546f39d,OPIE_Lapi_100803,/Users/superbg/Documents/IEES/idmybee/data/Bombus/extraction/light/images/train/OPIE_Lapi_100803-P1.jpg,100.2515,102.532,102.7485,107.5765,196.8559,61.5988,209.1433,49.0672,246.578,45.6326,264.8488,64.0484,291.8198,67.4004,322.0508,65.7326,398.3934,50.9596,338.7864,106.4342,326.5424,108.8984,292.9479,139.6756,206.2284,141.1005,196.7884,160.8353,101.2365,124.4691,202.0362,111.9586,246.7303,93.8135,277.3164,93.2259,229.1915,72.5244
fce15c38021f4e54,OPIE_Lapi_100820,/Users/superbg/Documents/IEES/idmybee/data/Bombus/extraction/light/images/train/OPIE_Lapi_100820-P1.jpg,90.7439,92.3497,95.0237,98.8598,192.9574,56.3131,205.6507,44.1566,244.2152,42.6166,262.1109,60.3806,289.8201,65.6085,314.3206,65.7739,397.6135,56.9744,330.6194,106.5712,320.161,107.9408,283.571,137.2191,197.0938,137.3555,189.3984,156.387,93.4608,116.8525,194.7883,105.2942,242.8203,89.0555,275.2352,91.0746,224.5812,68.7688
70ec76b103b7fa54,OPIE_Lapi_160720,/Users/superbg/Documents/IEES/idmybee/data/Bombus/extraction/light/images/train/OPIE_Lapi_160720-P1.jpg,105.5786,100.7629,109.8719,107.5993,196.5638,63.5689,210.0701,50.9806,244.6686,47.5357,260.3832,63.9184,289.5764,67.0456,313.8093,63.3642,386.9806,47.6235,330.5098,103.4238,322.5896,105.7579,287.8929,138.938,206.4685,140.9919,198.5478,159.3607,107.8983,124.3843,202.5649,111.4233,245.1952,92.2774,280.2799,92.4869,230.4532,75.1862
d9f756ea734431c4,OPIE_Lapi_180702,/Users/superbg/Documents/IEES/idmybee/data/Bombus/extraction/light/images/train/OPIE_Lapi_180702-P1.jpg,112.7454,100.4904,113.7073,104.4055,208.0648,65.768,219.3274,54.0276,254.4292,50.6731,268.5364,66.2401,296.7071,71.1988,322.2023,70.0766,393.6367,56.6784,336.7964,108.2931,326.4917,110.1541,294.3332,136.9277,214.747,137.0321,206.8221,156.6387,113.7023,118.5536,210.8239,110.4048,251.5685,93.7526,284.0436,96.3444,238.902,77.161
8290da03f48dd279,OPIE_Lapi_180703,/Users/superbg/Documents/IEES/idmybee/data/Bombus/extraction/light/images/train/OPIE_Lapi_180703-P1.jpg,113.3773,101.7122,115.8787,107.0951,211.7593,63.8936,225.416,52.0876,259.1481,49.2834,277.053,67.6032,302.8773,72.3134,333.0186,70.9366,400.856,57.7995,344.7865,108.9646,333.301,111.0941,299.1603,140.0712,219.5067,140.6368,212.652,160.3437,114.7688,124.6616,215.9706,113.3807,258.3444,94.4585,290.2744,95.9533,244.0296,75.0699
0ff169e3fc47a284,OPIE_Lapi_200703b,/Users/superbg/Documents/IEES/idmybee/data/Bombus/extraction/light/images/train/OPIE_Lapi_200703b-P1.jpg,99.2932,102.8897,101.1088,107.695,192.679,67.2467,208.5975,52.578,239.9304,48.3216,258.6218,65.7607,285.4946,68.8577,315.3441,66.4378,388.3574,51.7103,328.0361,103.3949,319.9207,105.564,288.0736,136.7459,204.4465,138.8737,197.6944,161.3387,100.6486,124.6611,199.4336,112.287,242.2669,92.969,276.5226,93.1552,227.9817,78.1361
