,confusus,lapidarius,lucorum,monticola,pascuorum,pomorum,pratorum,pyrenaeus,ruderarius,rupestris,sichelii,soroeensis,sylvarum,terrestris,vestalis,wurflenii
confusus,199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lapidarius,0,279,0,2,0,0,2,3,0,1,25,12,0,0,0,1
lucorum,0,0,17,0,0,0,0,0,0,0,0,0,0,7,0,0
monticola,0,1,0,184,0,0,1,12,0,0,0,0,0,1,0,0
pascuorum,0,0,0,0,134,0,10,0,1,0,0,1,4,0,0,0
pomorum,0,0,0,0,0,207,0,0,8,0,0,0,0,0,0,0
pratorum,0,8,0,1,0,0,303,1,5,1,0,5,2,0,0,0
pyrenaeus,0,9,0,10,0,0,3,204,0,0,12,2,0,0,0,1
ruderarius,0,0,0,0,4,3,0,0,209,0,0,0,11,0,0,1
rupestris,1,0,0,0,0,0,1,0,1,135,0,0,0,0,1,0
sichelii,0,24,0,2,0,0,1,6,0,0,168,1,0,0,0,1
soroeensis,0,4,0,0,0,0,0,0,5,0,0,246,0,5,0,2
sylvarum,0,0,0,0,1,5,1,0,11,0,0,0,234,0,0,0
terrestris,0,0,4,1,0,0,0,1,0,0,3,1,0,163,0,0
vestalis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,1
wurflenii,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,221
