species,n,precision,recall,f1,shape_variance
confusus,199,0.995,1.0,0.9974937343358395,0.0005549597148859371
lapidarius,325,0.8584615384615385,0.8584615384615385,0.8584615384615385,0.0006756961944875544
lucorum,24,0.8095238095238095,0.7083333333333334,0.7555555555555555,0.0002685773285744178
monticola,199,0.92,0.9246231155778895,0.9223057644110275,0.0006314666799903029
pascuorum,150,0.9640287769784173,0.8933333333333333,0.9273356401384083,0.001276847117214074
pomorum,215,0.9627906976744186,0.9627906976744186,0.9627906976744186,0.0004743608896664205
pratorum,326,0.9409937888198758,0.9294478527607362,0.9351851851851852,0.0014280441511996035
pyrenaeus,241,0.8986784140969163,0.8464730290456431,0.8717948717948718,0.0005037600062173513
ruderarius,228,0.8708333333333333,0.9166666666666666,0.8931623931623932,0.0006756986049895087
rupestris,139,0.9854014598540146,0.9712230215827338,0.9782608695652174,0.0027743481440414518
sichelii,203,0.8038277511961722,0.8275862068965517,0.8155339805825242,0.0006302170394120563
soroeensis,262,0.917910447761194,0.9389312977099237,0.9283018867924528,0.0006084648080144936
sylvarum,252,0.9322709163346613,0.9285714285714286,0.9304174950298211,0.0005771131533906216
terrestris,173,0.9261363636363636,0.9421965317919075,0.9340974212034384,0.0010562108439802482
vestalis,23,0.9565217391304348,0.9565217391304348,0.9565217391304348,0.0006848639309065472
wurflenii,222,0.9692982456140351,0.9954954954954955,0.9822222222222222,0.0005959257262906566
