,n,shape_variance_intra
confusus,199,0.0005549597148859371
lapidarius,325,0.0006756961944875544
lucorum,24,0.0002685773285744178
monticola,199,0.0006314666799903029
pascuorum,150,0.001276847117214074
pomorum,215,0.0004743608896664205
pratorum,326,0.0014280441511996035
pyrenaeus,241,0.0005037600062173513
ruderarius,228,0.0006756986049895087
rupestris,139,0.0027743481440414518
sichelii,203,0.0006302170394120563
soroeensis,262,0.0006084648080144936
sylvarum,252,0.0005771131533906216
terrestris,173,0.0010562108439802482
vestalis,23,0.0006848639309065472
wurflenii,222,0.0005959257262906566
