idx,image,status,x,y,w,h,theta,confidence,similarity,aspect_ratio,n_detections,input_path,output_path
0,WB1_23_136,OK,1657,2171,319,622,0.0,0.915,0.652,1.95,3,/Volumes/EXT DATA/IDMB/images/terrain/adrien/WB1_23_136.jpg,data/images/crop/terrain/adrien/WB1_23_136.jpg
1,WB1_23_137,OK,1479,2790,315,781,1.287,0.807,0.797,2.48,3,/Volumes/EXT DATA/IDMB/images/terrain/adrien/WB1_23_137.jpg,data/images/crop/terrain/adrien/WB1_23_137.jpg
2,WB1_23_138,OK,1470,2572,163,414,0.0,0.872,0.82,2.54,2,/Volumes/EXT DATA/IDMB/images/terrain/adrien/WB1_23_138.jpg,data/images/crop/terrain/adrien/WB1_23_138.jpg
3,WB1_23_139,OK,1446,2070,275,470,0.0,0.828,0.745,1.71,3,/Volumes/EXT DATA/IDMB/images/terrain/adrien/WB1_23_139.jpg,data/images/crop/terrain/adrien/WB1_23_139.jpg
4,WB1_23_140,OK,1024,1982,418,287,-90.0,0.78,0.522,1.46,2,/Volumes/EXT DATA/IDMB/images/terrain/adrien/WB1_23_140.jpg,data/images/crop/terrain/adrien/WB1_23_140.jpg
5,WB1_23_141,OK,1365,2054,195,466,0.0,0.946,0.83,2.39,2,/Volumes/EXT DATA/IDMB/images/terrain/adrien/WB1_23_141.jpg,data/images/crop/terrain/adrien/WB1_23_141.jpg
6,WB1_23_142,OK,1598,2974,227,574,0.0,0.914,0.802,2.53,1,/Volumes/EXT DATA/IDMB/images/terrain/adrien/WB1_23_142.jpg,data/images/crop/terrain/adrien/WB1_23_142.jpg
7,WB1_23_143,OK,1313,2806,271,590,8.246,0.919,0.827,2.18,4,/Volumes/EXT DATA/IDMB/images/terrain/adrien/WB1_23_143.jpg,data/images/crop/terrain/adrien/WB1_23_143.jpg
8,WB1_23_144,OK,1620,2355,255,450,0.0,0.899,0.751,1.77,2,/Volumes/EXT DATA/IDMB/images/terrain/adrien/WB1_23_144.jpg,data/images/crop/terrain/adrien/WB1_23_144.jpg
9,WB1_23_145,OK,1424,1948,255,665,0.0,0.922,0.821,2.61,4,/Volumes/EXT DATA/IDMB/images/terrain/adrien/WB1_23_145.jpg,data/images/crop/terrain/adrien/WB1_23_145.jpg
10,WB1_23_146,OK,1410,1962,307,677,0.0,0.973,0.836,2.21,3,/Volumes/EXT DATA/IDMB/images/terrain/adrien/WB1_23_146.jpg,data/images/crop/terrain/adrien/WB1_23_146.jpg
