,confusus,lapidarius,monticola,pomorum,pratorum,pyrenaeus,ruderarius,rupestris,sichelii,soroeensis,sylvarum,wurflenii
confusus,196,0,0,0,0,0,0,0,0,0,0,0
lapidarius,0,180,0,0,0,6,0,0,17,0,0,0
monticola,0,0,183,0,0,10,0,0,0,0,0,0
pomorum,0,0,0,207,0,0,8,0,0,0,0,0
pratorum,0,7,0,0,256,0,5,2,3,9,2,0
pyrenaeus,0,4,6,0,2,202,0,0,13,5,0,1
ruderarius,0,0,0,3,0,0,195,0,0,0,15,1
rupestris,1,0,0,0,1,1,1,129,0,1,0,0
sichelii,0,7,0,0,3,7,0,0,180,1,0,0
soroeensis,0,0,0,0,3,4,5,0,0,227,0,0
sylvarum,0,0,0,5,3,0,11,1,0,0,217,0
wurflenii,0,1,0,0,0,0,0,0,0,0,0,210
