,confusus,lapidarius,mesomelas,monticola,pratorum,pyrenaeus,ruderarius,rupestris,sichelii,soroeensis,sp (wurflenii ou pratorum),sylvarum,sylvestris,wurflenii
confusus,3,0,0,0,0,0,0,0,0,0,0,0,0,0
lapidarius,0,88,1,0,1,0,0,1,1,0,0,0,0,0
mesomelas,0,1,0,0,0,0,0,0,0,0,0,0,0,0
monticola,0,0,0,3,0,0,0,0,0,0,0,0,0,0
pratorum,0,0,0,0,38,0,0,0,0,0,1,0,1,0
pyrenaeus,0,1,0,0,0,6,0,0,0,0,0,0,0,0
ruderarius,0,0,0,0,0,0,10,0,0,0,0,4,0,0
rupestris,0,0,0,0,0,0,0,7,1,0,0,0,0,0
sichelii,0,2,1,0,0,0,0,0,8,1,0,0,0,0
soroeensis,0,3,0,0,0,0,0,0,0,18,0,0,0,2
sp (wurflenii ou pratorum),0,0,0,0,1,0,0,0,0,0,0,0,0,0
sylvarum,1,0,0,0,0,0,6,1,0,0,0,8,0,0
sylvestris,0,0,0,0,0,0,0,0,0,0,0,1,0,0
wurflenii,0,0,0,0,0,0,0,0,0,0,0,0,0,8
