espece,n,precision,recall,f1,shape_variance
confusus,3,0.75,1.0,0.8571428571428571,2.376405238577252e-05
lapidarius,92,0.9263157894736842,0.9565217391304348,0.9411764705882353,0.0013340343096630662
mesomelas,1,0.0,0.0,0.0,0.0
monticola,3,1.0,1.0,1.0,0.00011930505372576045
pratorum,40,0.95,0.95,0.95,0.0015452311526482866
pyrenaeus,7,1.0,0.8571428571428571,0.9230769230769231,0.0002441417159207569
ruderarius,14,0.625,0.7142857142857143,0.6666666666666666,0.0004612781757362029
rupestris,8,0.7777777777777778,0.875,0.8235294117647058,0.0009499952348165253
sichelii,12,0.8,0.6666666666666666,0.7272727272727273,0.0007706531383365566
soroeensis,23,0.9473684210526315,0.782608695652174,0.8571428571428571,0.0006485787383971631
sp (wurflenii ou pratorum),1,0.0,0.0,0.0,0.0
sylvarum,16,0.6153846153846154,0.5,0.5517241379310345,0.007788621415424063
sylvestris,1,0.0,0.0,0.0,0.0
wurflenii,8,0.8,1.0,0.8888888888888888,0.0007686133016331224
