species,n,precision,recall,f1,shape_variance
confusus,198,1.0,1.0,1.0,0.0006198673312430558
lapidarius,204,0.8916256157635468,0.8872549019607843,0.8894348894348895,0.0005382499774221863
monticola,194,0.9540816326530612,0.9639175257731959,0.958974358974359,0.0006123203762276725
pomorum,210,0.970873786407767,0.9523809523809523,0.9615384615384616,0.0004791772776433122
pratorum,295,0.9746376811594203,0.911864406779661,0.9422066549912435,0.0007861423049668912
pyrenaeus,229,0.9212962962962963,0.868995633187773,0.8943820224719101,0.0004865703017815414
ruderarius,212,0.8454935622317596,0.9292452830188679,0.8853932584269663,0.0006956410890624921
rupestris,144,1.0,0.9722222222222222,0.9859154929577465,0.0022200797315069668
sichelii,193,0.8260869565217391,0.8860103626943006,0.855,0.0006185892192483085
soroeensis,239,0.9271255060728745,0.9581589958158996,0.9423868312757202,0.0005756982531568352
sylvarum,238,0.9487179487179487,0.9327731092436975,0.940677966101695,0.0005824648602379512
wurflenii,214,1.0,1.0,1.0,0.0005514887691503801
