,confusus,lapidarius,lucorum,monticola,pascuorum,pomorum,pratorum,pyrenaeus,ruderarius,rupestris,sichelii,soroeensis,sylvarum,terrestris,vestalis,wurflenii
confusus,195,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2
lapidarius,0,282,0,0,0,0,1,7,0,0,35,16,0,1,0,4
lucorum,0,0,14,0,0,0,0,0,0,0,0,3,0,13,0,0
monticola,0,1,0,186,0,0,0,11,0,0,0,5,0,0,0,0
pascuorum,0,0,0,0,145,0,5,0,3,0,0,0,0,0,0,0
pomorum,0,0,0,0,0,207,0,0,6,0,0,0,1,0,0,0
pratorum,0,8,0,1,1,0,299,1,9,1,1,7,3,0,1,4
pyrenaeus,0,9,0,9,0,0,4,193,0,0,13,8,0,0,0,3
ruderarius,0,0,0,0,3,3,2,0,205,0,1,0,19,1,0,5
rupestris,5,0,0,1,3,4,1,0,2,142,5,0,2,1,2,10
sichelii,0,41,1,3,0,0,1,7,0,1,151,0,0,0,1,6
soroeensis,0,4,0,0,0,2,2,5,5,0,0,239,0,8,0,2
sylvarum,4,0,0,0,1,5,7,0,20,0,0,0,222,0,0,4
terrestris,0,0,5,0,0,0,0,1,0,0,0,7,0,163,2,0
vestalis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0
wurflenii,0,7,0,0,0,0,3,3,4,0,9,1,0,0,0,196
