species,n,precision,recall,f1,shape_variance
confusus,4,0.8,1.0,0.8888888888888888,0.014733141936283658
lapidarius,4,0.75,0.75,0.75,0.00030948455376369354
monticola,13,0.7333333333333333,0.8461538461538461,0.7857142857142857,0.0007779450413688681
pomorum,3,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0004921561441143825
pratorum,92,0.9032258064516129,0.9130434782608695,0.9081081081081082,0.0029833842791205808
pyrenaeus,10,0.6666666666666666,1.0,0.8,0.0002676447288278285
ruderarius,29,0.9285714285714286,0.896551724137931,0.9122807017543859,0.0020545746601177252
rupestris,38,1.0,0.9210526315789473,0.958904109589041,0.018780977989115707
sichelii,22,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.0006020554714927337
soroeensis,46,0.9512195121951219,0.8478260869565217,0.896551724137931,0.0004477054473646413
sylvarum,7,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.0005376727844170272
wurflenii,13,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.00036336122229336295
