species,n,precision,recall,f1,shape_variance
confusus,35,1.0,1.0,1.0,0.0005880311121409729
lapidarius,204,0.8910891089108911,0.8823529411764706,0.8866995073891626,0.0005348667960988624
monticola,194,0.958974358974359,0.9639175257731959,0.961439588688946,0.0006085329260068665
pomorum,210,0.970873786407767,0.9523809523809523,0.9615384615384616,0.0004769479785031119
pratorum,296,0.9647887323943662,0.9256756756756757,0.9448275862068966,0.0007785049192689462
pyrenaeus,229,0.9170506912442397,0.868995633187773,0.8923766816143498,0.00048364560112507723
ruderarius,212,0.8448275862068966,0.9245283018867925,0.8828828828828829,0.0006939480094377137
rupestris,143,1.0,0.972027972027972,0.9858156028368794,0.0022124486155566925
sichelii,193,0.8300970873786407,0.8860103626943006,0.8571428571428571,0.0006159528960536014
soroeensis,239,0.9423868312757202,0.9581589958158996,0.950207468879668,0.0005733457024692767
sylvarum,238,0.9444444444444444,0.9285714285714286,0.9364406779661016,0.0005800509763744957
wurflenii,214,1.0,1.0,1.0,0.0005487129000272984
