,confusus,lapidarius,monticola,pomorum,pratorum,pyrenaeus,ruderarius,rupestris,sichelii,soroeensis,sylvarum,wurflenii
confusus,191,0,0,1,0,1,0,1,0,0,0,2
lapidarius,0,157,1,0,0,5,0,0,33,5,0,1
monticola,0,1,184,0,0,11,0,0,0,4,0,0
pomorum,0,0,0,208,0,0,5,0,0,0,1,0
pratorum,0,5,0,1,270,2,10,1,1,7,2,1
pyrenaeus,0,5,7,0,3,191,0,0,13,8,0,4
ruderarius,0,0,0,3,4,0,190,0,0,1,19,3
rupestris,6,1,0,5,3,0,3,133,5,0,1,10
sichelii,0,25,0,0,2,7,0,0,159,0,0,5
soroeensis,0,0,2,2,2,7,5,0,0,226,0,0
sylvarum,4,0,0,5,7,0,17,0,0,0,203,6
wurflenii,0,4,0,0,4,3,4,0,6,1,1,191
