species,n,precision,recall,f1,shape_variance
confusus,196,0.9502487562189055,0.9744897959183674,0.9622166246851386,0.0051575379104993185
lapidarius,202,0.7929292929292929,0.7772277227722773,0.785,0.000563864874916584
monticola,200,0.9484536082474226,0.92,0.934010152284264,0.0005972123838695774
pomorum,214,0.9244444444444444,0.9719626168224299,0.9476082004555809,0.0004673868271035706
pratorum,300,0.9152542372881356,0.9,0.907563025210084,0.001781038436274982
pyrenaeus,231,0.8414096916299559,0.8268398268398268,0.834061135371179,0.00047491796734120025
ruderarius,220,0.811965811965812,0.8636363636363636,0.8370044052863436,0.0018371330432484028
rupestris,167,0.9851851851851852,0.7964071856287425,0.8807947019867549,0.03599923241006869
sichelii,198,0.7327188940092166,0.803030303030303,0.7662650602409639,0.001895045540669103
soroeensis,244,0.8968253968253969,0.9262295081967213,0.9112903225806451,0.0005734750571176958
sylvarum,242,0.8942731277533039,0.8388429752066116,0.8656716417910447,0.00111800783462579
wurflenii,214,0.8565022421524664,0.8925233644859814,0.8741418764302059,0.0005512062658719703
