,confusus,lapidarius,monticola,pomorum,pratorum,pyrenaeus,ruderarius,rupestris,sichelii,soroeensis,sylvarum,wurflenii
confusus,200,0,0,0,0,0,0,0,0,0,0,0
lapidarius,0,181,0,0,1,8,0,0,13,0,0,0
monticola,0,0,188,0,0,7,0,0,0,0,0,0
pomorum,0,0,0,203,0,0,7,0,0,0,0,0
pratorum,0,7,0,0,279,1,5,0,0,3,0,0
pyrenaeus,0,0,6,0,0,212,0,0,14,0,0,0
ruderarius,0,0,0,3,1,0,205,0,0,0,2,2
rupestris,2,0,1,0,1,0,0,132,1,0,1,2
sichelii,0,12,0,0,3,7,0,0,169,1,0,0
soroeensis,0,1,0,0,0,2,5,0,1,230,0,0
sylvarum,0,0,0,4,0,0,15,0,0,0,219,0
wurflenii,0,0,0,0,0,0,0,0,0,0,0,214
