species,n,precision,recall,f1,shape_variance
confusus,196,0.9949238578680203,1.0,0.9974554707379135,0.000561777159457995
lapidarius,203,0.9045226130653267,0.8866995073891626,0.8955223880597015,0.0005284923374620348
monticola,193,0.9682539682539683,0.9481865284974094,0.9581151832460733,0.0006108608240960933
pomorum,215,0.9627906976744186,0.9627906976744186,0.9627906976744186,0.0004768484476709971
pratorum,284,0.9552238805970149,0.9014084507042254,0.927536231884058,0.0009612260695404218
pyrenaeus,233,0.8782608695652174,0.8669527896995708,0.8725701943844493,0.00048288871861329214
ruderarius,214,0.8666666666666667,0.9112149532710281,0.8883826879271071,0.000774650603302527
rupestris,134,0.9772727272727273,0.9626865671641791,0.9699248120300752,0.003056543906390527
sichelii,198,0.8450704225352113,0.9090909090909091,0.8759124087591241,0.0006135060807173498
soroeensis,239,0.934156378600823,0.9497907949790795,0.941908713692946,0.000572695444060279
sylvarum,237,0.9273504273504274,0.9156118143459916,0.921443736730361,0.0006074011698887142
wurflenii,211,0.9905660377358491,0.995260663507109,0.9929078014184397,0.0005652945570429118
