image_id,specimen_id,tancrede_image_path,matched_via,status,reason,n_out_of_bounds,aspect_ratio_obb,aspect_ratio_crops_csv,keep
b1f09ac7b47d14dc,OPIE_Lapi_030803b,/Volumes/EXT DATA/IDMB/images/Tancrede/collection/Bombus_lapidarius/drone/OPIE_Lapi_030803b_P1.JPG,tail3,OK,,0,2.4868,2.4868,
204d400420ea80bf,OPIE_Lapi_030803,/Volumes/EXT DATA/IDMB/images/Tancrede/collection/Bombus_lapidarius/drone/OPIE_Lapi_030803_P1.JPG,tail3,OK,,0,2.4732,2.4732,
9492299e29cc2996,OPIE_Lapi_060803,/Volumes/EXT DATA/IDMB/images/Tancrede/collection/Bombus_lapidarius/drone/OPIE_Lapi_060803_P1.JPG,tail3,OK,,0,2.4578,2.4578,
730437fd4e90ad7d,OPIE_Lapi_070820,/Volumes/EXT DATA/IDMB/images/Tancrede/collection/Bombus_lapidarius/drone/OPIE_Lapi_070820_P1.JPG,tail3,OK,,0,2.5205,2.5205,
45f2cc5a3546f39d,OPIE_Lapi_100803,/Volumes/EXT DATA/IDMB/images/Tancrede/collection/Bombus_lapidarius/drone/OPIE_Lapi_100803_P1.JPG,tail3,OK,,0,2.4440,2.4440,
fce15c38021f4e54,OPIE_Lapi_100820,/Volumes/EXT DATA/IDMB/images/Tancrede/collection/Bombus_lapidarius/drone/OPIE_Lapi_100820_P1.JPG,tail3,OK,,0,2.3541,2.3541,
70ec76b103b7fa54,OPIE_Lapi_160720,/Volumes/EXT DATA/IDMB/images/Tancrede/collection/Bombus_lapidarius/drone/OPIE_Lapi_160720_P1.JPG,tail3,OK,,0,2.4409,2.4409,
d9f756ea734431c4,OPIE_Lapi_180702,/Volumes/EXT DATA/IDMB/images/Tancrede/collection/Bombus_lapidarius/drone/OPIE_Lapi_180702_P1.JPG,tail3,OK,,0,2.4798,2.4798,
8290da03f48dd279,OPIE_Lapi_180703,/Volumes/EXT DATA/IDMB/images/Tancrede/collection/Bombus_lapidarius/drone/OPIE_Lapi_180703_P1.JPG,tail3,OK,,0,2.4344,2.4344,
0ff169e3fc47a284,OPIE_Lapi_200703b,/Volumes/EXT DATA/IDMB/images/Tancrede/collection/Bombus_lapidarius/drone/OPIE_Lapi_200703b_P1.JPG,tail3,OK,,0,2.4026,2.4026,
