epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
1,108.729,0.73454,6.02854,0.0477,0.03564,0.85821,0.89281,0.9459,0.80363,0.60719,1.98088,0.00898,0.03003,0.000664414,0.000664414,0.000664414
2,200.318,0.68442,1.30781,0.04192,0.03935,0.91045,0.88905,0.96951,0.80753,0.65374,0.70586,0.0088,0.03077,0.0013179,0.0013179,0.0013179
3,293.511,0.75828,0.69049,0.04115,0.04663,0.91147,0.90031,0.96312,0.79434,0.67319,0.55048,0.00909,0.03017,0.00195819,0.00195819,0.00195819
4,389.734,0.72135,0.50265,0.04436,0.04429,0.92822,0.89374,0.96511,0.82389,0.6088,0.42945,0.00836,0.03495,0.0019406,0.0019406,0.0019406
5,479.95,0.68298,0.40254,0.04698,0.04026,0.93272,0.91819,0.9775,0.81899,0.64076,0.38975,0.00806,0.02947,0.0019208,0.0019208,0.0019208
6,571.433,0.63474,0.36272,0.04523,0.03208,0.94954,0.9554,0.98831,0.83702,0.61712,0.28514,0.00794,0.03757,0.001901,0.001901,0.001901
7,662.584,0.66202,0.3371,0.04302,0.04255,0.90408,0.95487,0.97786,0.84035,0.5657,0.33289,0.00761,0.02897,0.0018812,0.0018812,0.0018812
8,752.754,0.63184,0.32344,0.04586,0.03381,0.96011,0.94781,0.9864,0.83583,0.64736,0.2847,0.00915,0.0334,0.0018614,0.0018614,0.0018614
9,843.257,0.62268,0.31246,0.0436,0.03228,0.94077,0.92807,0.97582,0.82589,0.60701,0.33157,0.00965,0.03562,0.0018416,0.0018416,0.0018416
10,933.873,0.64143,0.33478,0.04083,0.03704,0.93525,0.95063,0.97896,0.83932,0.57023,0.31743,0.00686,0.03058,0.0018218,0.0018218,0.0018218
11,1024.12,0.60746,0.29322,0.03589,0.03281,0.96606,0.96366,0.98602,0.80929,0.64173,0.29202,0.00725,0.05466,0.001802,0.001802,0.001802
12,1114.32,0.62187,0.29391,0.04103,0.03718,0.97544,0.95225,0.98987,0.86603,0.54986,0.25687,0.00731,0.0316,0.0017822,0.0017822,0.0017822
13,1204.86,0.61004,0.31228,0.04895,0.03136,0.95911,0.9594,0.98821,0.85249,0.56793,0.27456,0.00732,0.02964,0.0017624,0.0017624,0.0017624
14,1295.51,0.57985,0.28304,0.05177,0.02901,0.95643,0.96192,0.98797,0.85873,0.5643,0.26295,0.00748,0.02916,0.0017426,0.0017426,0.0017426
15,1385.79,0.58925,0.26942,0.05249,0.03205,0.95851,0.9591,0.98926,0.83333,0.6603,0.26277,0.00798,0.04325,0.0017228,0.0017228,0.0017228
16,1476.32,0.57196,0.24574,0.04963,0.02827,0.96319,0.96192,0.98983,0.87313,0.52983,0.24231,0.00727,0.0257,0.001703,0.001703,0.001703
17,1566.33,0.56277,0.25207,0.04894,0.02792,0.96034,0.96474,0.9878,0.85843,0.553,0.26778,0.00815,0.02443,0.0016832,0.0016832,0.0016832
18,1656.58,0.5655,0.25564,0.04994,0.02848,0.97702,0.95952,0.98969,0.86577,0.53596,0.23612,0.0075,0.0244,0.0016634,0.0016634,0.0016634
19,1746.63,0.58676,0.25234,0.04639,0.03143,0.97102,0.96615,0.99044,0.85144,0.57488,0.23209,0.00746,0.03387,0.0016436,0.0016436,0.0016436
20,1836.69,0.56369,0.25457,0.04728,0.02751,0.96771,0.97224,0.99069,0.86521,0.53606,0.2394,0.00671,0.02859,0.0016238,0.0016238,0.0016238
21,1924.87,0.54989,0.24563,0.0448,0.02617,0.96682,0.9591,0.98849,0.86868,0.53582,0.23651,0.00768,0.02876,0.001604,0.001604,0.001604
