,confusus,lapidarius,monticola,pomorum,pratorum,pyrenaeus,ruderarius,rupestris,sichelii,soroeensis,sylvarum,wurflenii
confusus,194,1,0,0,0,0,0,0,0,0,0,0
lapidarius,0,168,1,0,0,4,0,0,26,0,0,2
monticola,0,0,192,0,0,10,0,0,0,5,0,0
pomorum,0,0,0,207,5,0,8,0,0,0,0,0
pratorum,0,8,0,0,263,1,6,0,2,2,1,0
pyrenaeus,0,1,9,0,0,209,0,0,16,3,0,1
ruderarius,0,0,0,3,0,0,202,0,0,0,12,0
rupestris,0,0,1,0,0,0,1,149,0,0,0,0
sichelii,0,14,0,0,1,1,0,0,181,1,0,0
soroeensis,0,0,2,0,1,2,5,0,0,236,0,0
sylvarum,0,0,0,5,0,0,9,0,0,0,227,0
wurflenii,0,0,0,0,0,0,0,0,0,0,0,214
