espece,n,precision,recall,f1,shape_variance
confusus,195,1.0,0.9948717948717949,0.9974293059125964,0.0006869974079603373
lapidarius,201,0.875,0.835820895522388,0.8549618320610687,0.0005197585549748988
monticola,207,0.9365853658536586,0.927536231884058,0.9320388349514563,0.0006070038987849875
pomorum,220,0.9627906976744186,0.9409090909090909,0.9517241379310345,0.0005125031284226603
pratorum,283,0.9740740740740741,0.9293286219081273,0.9511754068716094,0.0009721351166860736
pyrenaeus,239,0.920704845814978,0.8744769874476988,0.8969957081545065,0.00048421777153232317
ruderarius,217,0.8744588744588745,0.9308755760368663,0.9017857142857143,0.0006726911795294777
rupestris,151,1.0,0.9867549668874173,0.9933333333333333,0.0011380136910192297
sichelii,198,0.8044444444444444,0.9141414141414141,0.8557919621749409,0.0006223614895735057
soroeensis,246,0.9554655870445344,0.959349593495935,0.9574036511156186,0.0005721805939798237
sylvarum,241,0.9458333333333333,0.941908713692946,0.9438669438669439,0.0005796044251395059
wurflenii,214,0.9861751152073732,1.0,0.9930394431554525,0.0005337735948414364
