id,n_outlier_landmarks,heavy
0,17,True
1,1,False
2,8,False
3,0,False
5,0,False
6,0,False
7,0,False
8,14,True
9,0,False
10,16,True
11,0,False
12,0,False
13,0,False
15,0,False
16,0,False
17,0,False
18,0,False
19,0,False
20,0,False
21,0,False
22,0,False
23,0,False
24,0,False
25,0,False
26,0,False
27,0,False
28,0,False
29,0,False
30,0,False
31,0,False
32,0,False
33,0,False
34,0,False
35,0,False
36,5,False
37,0,False
38,0,False
39,0,False
40,0,False
41,0,False
42,0,False
43,0,False
44,0,False
45,0,False
48,0,False
49,0,False
51,0,False
54,17,True
55,14,True
56,0,False
57,0,False
58,0,False
59,0,False
60,0,False
61,0,False
62,0,False
63,0,False
64,0,False
65,0,False
66,0,False
68,16,True
69,1,False
70,2,False
73,0,False
74,0,False
75,0,False
76,0,False
77,0,False
78,2,False
79,0,False
80,0,False
81,0,False
82,0,False
84,18,True
86,0,False
87,0,False
88,0,False
91,0,False
92,1,False
93,1,False
94,13,True
95,0,False
96,0,False
97,0,False
98,0,False
99,0,False
100,0,False
101,0,False
102,0,False
103,13,True
104,0,False
105,4,False
106,0,False
107,0,False
108,0,False
109,0,False
110,0,False
111,0,False
112,0,False
113,0,False
114,0,False
117,0,False
118,0,False
119,0,False
120,0,False
121,0,False
122,0,False
123,0,False
124,0,False
125,0,False
126,0,False
127,0,False
128,0,False
129,0,False
130,0,False
131,0,False
132,0,False
133,0,False
134,0,False
135,0,False
136,0,False
137,0,False
138,0,False
139,0,False
140,0,False
141,0,False
142,0,False
143,0,False
144,0,False
145,0,False
146,0,False
147,0,False
148,0,False
149,0,False
150,0,False
151,0,False
152,0,False
153,13,True
154,0,False
155,14,True
156,0,False
157,0,False
158,0,False
159,1,False
160,2,False
161,2,False
162,0,False
163,0,False
164,0,False
165,0,False
166,0,False
167,0,False
168,0,False
169,0,False
170,0,False
171,0,False
172,0,False
173,0,False
174,0,False
175,0,False
176,0,False
177,0,False
178,0,False
180,0,False
181,0,False
182,0,False
183,0,False
184,0,False
185,0,False
186,0,False
187,0,False
188,0,False
189,0,False
191,18,True
192,2,False
193,3,False
194,0,False
195,0,False
197,15,True
198,0,False
199,0,False
200,0,False
201,18,True
203,0,False
204,16,True
207,0,False
208,0,False
209,0,False
210,0,False
211,18,True
212,0,False
214,0,False
215,0,False
216,0,False
217,0,False
218,0,False
219,0,False
220,0,False
221,0,False
222,0,False
223,0,False
224,0,False
225,0,False
227,0,False
228,0,False
229,0,False
232,0,False
233,0,False
234,0,False
235,14,True
236,0,False
238,17,True
239,0,False
240,0,False
241,0,False
242,14,True
244,0,False
245,18,True
246,0,False
247,0,False
248,0,False
249,0,False
250,0,False
251,0,False
252,0,False
253,0,False
255,0,False
256,6,False
258,0,False
261,0,False
264,18,True
266,0,False
267,0,False
268,0,False
269,0,False
270,14,True
273,0,False
274,0,False
275,0,False
276,0,False
277,0,False
278,0,False
279,0,False
280,0,False
281,0,False
282,0,False
283,0,False
284,0,False
285,0,False
286,13,True
287,0,False
288,0,False
