idx,image,status,x,y,w,h,theta,confidence,similarity,aspect_ratio,n_detections,input_path,output_path
0,FR15_ABOM07082020038_P1.JPG,OK,2489,1746,470,1111,0.0,0.75,0.925,2.36,4,data\images\wide\organized\Bombus_confusus\male\FR15_ABOM07082020038_P1.JPG,data\images\crop\organized\Bombus_confusus\male\FR15_ABOM07082020038_P1.JPG
1,FR15_ABOM07082020038_P2.JPG,OK,2484,1812,451,1111,0.0,0.893,0.933,2.46,2,data\images\wide\organized\Bombus_confusus\male\FR15_ABOM07082020038_P2.JPG,data\images\crop\organized\Bombus_confusus\male\FR15_ABOM07082020038_P2.JPG
2,FR15_ABOM07082020038_S1.jpg,OK,1179,1872,453,1083,0.0,0.841,0.893,2.39,2,data\images\wide\organized\Bombus_confusus\male\FR15_ABOM07082020038_S1.jpg,data\images\crop\organized\Bombus_confusus\male\FR15_ABOM07082020038_S1.jpg
3,FR15_ABOM07082020038_S2.jpg,OK,1045,1920,453,1067,0.0,0.79,0.894,2.36,2,data\images\wide\organized\Bombus_confusus\male\FR15_ABOM07082020038_S2.jpg,data\images\crop\organized\Bombus_confusus\male\FR15_ABOM07082020038_S2.jpg
4,FR15_ABOM07082020038_S3.jpg,OK,1116,1880,437,1020,0.0,0.902,0.903,2.33,2,data\images\wide\organized\Bombus_confusus\male\FR15_ABOM07082020038_S3.jpg,data\images\crop\organized\Bombus_confusus\male\FR15_ABOM07082020038_S3.jpg
5,FR15_ABOM07082020082_P1.JPG,OK,2458,1793,603,1363,0.0,0.685,0.938,2.26,1,data\images\wide\organized\Bombus_confusus\male\FR15_ABOM07082020082_P1.JPG,data\images\crop\organized\Bombus_confusus\male\FR15_ABOM07082020082_P1.JPG
6,FR15_ABOM07082020082_P2.JPG,OK,2475,1822,584,1358,0.0,0.8,0.938,2.33,1,data\images\wide\organized\Bombus_confusus\male\FR15_ABOM07082020082_P2.JPG,data\images\crop\organized\Bombus_confusus\male\FR15_ABOM07082020082_P2.JPG
7,FR15_ABOM07082020082_S1.jpg,OK,1293,1957,433,996,0.0,0.84,0.9,2.3,2,data\images\wide\organized\Bombus_confusus\male\FR15_ABOM07082020082_S1.jpg,data\images\crop\organized\Bombus_confusus\male\FR15_ABOM07082020082_S1.jpg
8,FR15_ABOM07082020082_S2.jpg,OK,1219,1880,437,1004,0.0,0.825,0.907,2.3,2,data\images\wide\organized\Bombus_confusus\male\FR15_ABOM07082020082_S2.jpg,data\images\crop\organized\Bombus_confusus\male\FR15_ABOM07082020082_S2.jpg
9,FR15_ABOM07082020082_S3.jpg,OK,1077,1912,469,1036,0.0,0.886,0.906,2.21,2,data\images\wide\organized\Bombus_confusus\male\FR15_ABOM07082020082_S3.jpg,data\images\crop\organized\Bombus_confusus\male\FR15_ABOM07082020082_S3.jpg
10,FR15_ABOM080820007_P1.JPG,OK,2491,1772,560,1392,0.0,0.793,0.958,2.48,1,data\images\wide\organized\Bombus_confusus\male\FR15_ABOM080820007_P1.JPG,data\images\crop\organized\Bombus_confusus\male\FR15_ABOM080820007_P1.JPG
11,FR15_ABOM080820007_P2.JPG,OK,2484,1755,565,1378,0.0,0.742,0.954,2.44,1,data\images\wide\organized\Bombus_confusus\male\FR15_ABOM080820007_P2.JPG,data\images\crop\organized\Bombus_confusus\male\FR15_ABOM080820007_P2.JPG
12,FR15_ABOM080820007_S1.jpg,OK,1276,1998,421,992,0.0,0.883,0.907,2.36,2,data\images\wide\organized\Bombus_confusus\male\FR15_ABOM080820007_S1.jpg,data\images\crop\organized\Bombus_confusus\male\FR15_ABOM080820007_S1.jpg
13,FR15_ABOM080820007_S2.jpg,OK,1258,1935,421,1020,0.0,0.787,0.886,2.42,3,data\images\wide\organized\Bombus_confusus\male\FR15_ABOM080820007_S2.jpg,data\images\crop\organized\Bombus_confusus\male\FR15_ABOM080820007_S2.jpg
14,FR15_ABOM080820007_S3.jpg,OK,1228,1927,406,992,0.0,0.895,0.911,2.45,3,data\images\wide\organized\Bombus_confusus\male\FR15_ABOM080820007_S3.jpg,data\images\crop\organized\Bombus_confusus\male\FR15_ABOM080820007_S3.jpg
15,FR15_ABOM080820039_P1.JPG,OK,2494,1781,580,1320,0.0,0.613,0.959,2.28,1,data\images\wide\organized\Bombus_confusus\male\FR15_ABOM080820039_P1.JPG,data\images\crop\organized\Bombus_confusus\male\FR15_ABOM080820039_P1.JPG
16,FR15_ABOM080820039_P2.JPG,OK,2439,1803,584,1325,0.0,0.683,0.948,2.27,1,data\images\wide\organized\Bombus_confusus\male\FR15_ABOM080820039_P2.JPG,data\images\crop\organized\Bombus_confusus\male\FR15_ABOM080820039_P2.JPG
17,FR15_ABOM080820039_S1.jpg,OK,1305,1786,437,988,0.0,0.87,0.892,2.26,2,data\images\wide\organized\Bombus_confusus\male\FR15_ABOM080820039_S1.jpg,data\images\crop\organized\Bombus_confusus\male\FR15_ABOM080820039_S1.jpg
18,FR15_ABOM080820039_S2.jpg,OK,1297,1699,453,1004,0.0,0.901,0.908,2.22,2,data\images\wide\organized\Bombus_confusus\male\FR15_ABOM080820039_S2.jpg,data\images\crop\organized\Bombus_confusus\male\FR15_ABOM080820039_S2.jpg
19,FR15_ABOM080820039_S3.jpg,OK,1337,1888,453,1020,0.0,0.832,0.924,2.25,2,data\images\wide\organized\Bombus_confusus\male\FR15_ABOM080820039_S3.jpg,data\images\crop\organized\Bombus_confusus\male\FR15_ABOM080820039_S3.jpg
20,FR15_ABOM090820071_P1.JPG,OK,2582,1753,522,1268,0.0,0.654,0.93,2.43,3,data\images\wide\organized\Bombus_confusus\male\FR15_ABOM090820071_P1.JPG,data\images\crop\organized\Bombus_confusus\male\FR15_ABOM090820071_P1.JPG
21,FR15_ABOM090820071_P2.JPG,OK,2560,1753,522,1264,0.0,0.804,0.931,2.42,1,data\images\wide\organized\Bombus_confusus\male\FR15_ABOM090820071_P2.JPG,data\images\crop\organized\Bombus_confusus\male\FR15_ABOM090820071_P2.JPG
22,FR15_ABOM090820071_S1.jpg,OK,1211,1888,453,1051,0.0,0.873,0.912,2.32,4,data\images\wide\organized\Bombus_confusus\male\FR15_ABOM090820071_S1.jpg,data\images\crop\organized\Bombus_confusus\male\FR15_ABOM090820071_S1.jpg
23,FR15_ABOM090820071_S2.jpg,OK,1278,1862,433,1028,0.0,0.881,0.886,2.37,3,data\images\wide\organized\Bombus_confusus\male\FR15_ABOM090820071_S2.jpg,data\images\crop\organized\Bombus_confusus\male\FR15_ABOM090820071_S2.jpg
24,FR15_ABOM090820071_S3.jpg,OK,1258,2085,437,1020,0.0,0.826,0.902,2.33,2,data\images\wide\organized\Bombus_confusus\male\FR15_ABOM090820071_S3.jpg,data\images\crop\organized\Bombus_confusus\male\FR15_ABOM090820071_S3.jpg
25,FR15_ABOM14080820006_P1.JPG,OK,2498,1803,584,1396,0.0,0.73,0.933,2.39,2,data\images\wide\organized\Bombus_confusus\male\FR15_ABOM14080820006_P1.JPG,data\images\crop\organized\Bombus_confusus\male\FR15_ABOM14080820006_P1.JPG
26,FR15_ABOM14080820006_P2.JPG,OK,2439,1860,584,1401,0.0,0.824,0.928,2.4,2,data\images\wide\organized\Bombus_confusus\male\FR15_ABOM14080820006_P2.JPG,data\images\crop\organized\Bombus_confusus\male\FR15_ABOM14080820006_P2.JPG
27,FR15_ABOM14080820006_S1.jpg,OK,1282,1920,453,1067,0.0,0.839,0.929,2.36,2,data\images\wide\organized\Bombus_confusus\male\FR15_ABOM14080820006_S1.jpg,data\images\crop\organized\Bombus_confusus\male\FR15_ABOM14080820006_S1.jpg
